username	price	age	description
mr_clark_4199	30.0	65.1	'''Note: Quia et numquam	 then Debitis consectetur rerum illo quae'''
mr_evans_7621	96.0	74.1	'''Officia id	 Ut consequatur alias cupiditate alias fugiat Amet quia vero pariatur'''
samuel_bartlett_5613	92.0	59.1	'''Delectus dolorum; Corporis voluptatum vero quibusdam 	 Ex libero occaecati'''
ms_taylor_3273	46.0	26.1	'''Fuga	 Numquam minima ipsa quaerat veritatis Occaecati'''
dr_ryan_3836	67.0	13.1	'''Et blanditiis hic: Sunt voluptatibus	 Ut'''
alexander_wright_3083	51.0	62.1	'''Note: Sit sequi dolores magni ullam	 then Sed aliquid'''
miss_khan_7629	2.0	90.1	'''Itaque vero culpa; Culpa perspiciatis sequi nisi eum 	 Perferendis ut quam'''
janet_stephenson_1362	53.0	22.1	'''Reprehenderit debitis; Minus minima ut 	 Cumque itaque vel'''
mohammed_johnston_2685	30.0	48.1	'''Note: Hic laudantium asperiores	 then Accusantium rerum sunt'''
stewart_spencer_3192	36.0	90.1	'''Note: Vel	 then Totam'''
kevin_tucker_4923	31.0	54.1	'''Note: Iure amet ipsa	 then Nostrum modi'''
john_baker_6869	81.0	37.1	'''(Voluptatum) 	 Ratione corporis ad and Inventore exercitationem'''
miss_gray_2149	85.0	93.1	'''Natus: Repudiandae optio deserunt	 Ad'''
julie_lane_4476	30.0		'''Doloribus quis voluptate; Quo 	 Tempora'''
barbara_clayton_6195	60.0	24.1	'''Note: Veritatis commodi voluptas	 then Deserunt ad'''
benjamin_lloyd_4521	30.0	61.1	'''Note: Est laboriosam	 then Omnis reiciendis voluptates maiores'''
elaine_brown_6307		63.1	'''(Voluptatum molestiae) 	 Delectus and Aut voluptatibus commodi'''
tracey_rowley_5336	42.0	23.1	'''(Vero corporis dicta) 	 Aut voluptate sequi and Sunt porro'''
shane_walker_0506	81.0	58.1	'''A; Culpa 	 Repudiandae beatae'''
clifford_rogers_6837	27.0	44.1	'''Earum culpa minus: Enim assumenda	 Dolorem consequuntur minima'''
dylan_lowe_7785	37.0	92.1	'''(Repudiandae provident) 	 Aperiam quisquam ea and Voluptatum in aliquam'''
mr_lee_7078	27.0	42.1	'''Vero neque ducimus quis	 Delectus excepturi ipsum deleniti magni beatae Expedita fugiat vero quam'''
craig_miller_4044	89.0	51.1	'''Optio quo nulla	 Ducimus quod laborum Labore accusamus sequi'''
dennis_brown_8040	81.0	65.1	'''Note: Nisi ipsam	 then Impedit recusandae'''
jake_williamson_0425	71.0	98.1	'''Note: Quia consequuntur iste	 then Aperiam aliquam maiores blanditiis'''
dr_mitchell_4655	72.0	68.1	'''Iste atque corrupti repellendus quo nostrum dolores; Repellat explicabo animi 	 Asperiores magni'''
justin_lewis_5527	6.0	74.1	'''Minus vitae voluptatem; Quo 	 Dignissimos nihil sint'''
abigail_armstrong_3887	61.0	50.1	'''Dolore reprehenderit iusto: In tenetur	 Vitae dicta fuga praesentium'''
