username,rating,price,age,note
scott_smith_5903,72.0,45.1,88.2,"""My minute; International behavior , Professional different who life affect cost"""
christopher_adams_5200,95.0,45.1,18.2,"""Politics might impact decide: About able sister modern, Customer specific"""
antonio_mcbride_7386,90.0,21.1,88.2,"""Note: Wife go, then Skill worker"""
sheila_riley_4885,67.0,7.1,30.2,"""(Week able exist) , Material buy go land rule and Paper which these everybody billion"""
nicholas_banks_2780,22.0,40.1,53.2,"""Note: Box, then Line large ok yard"""
justin_moore_6505,20.0,7.1,95.2,"""(Little local agency) , Phone and Page consider image"""
peter_carter_3756,,20.1,35.2,"""Note: Soldier law line agent receive eat, then See place long more"""
james_bennett_7159,21.0,43.1,33.2,"""Next west, Tax interesting Begin"""
breanna_gray_3899,26.0,42.1,22.2,"""Left business onto; Specific buy direction budget , System avoid"""
todd_wong_2632,41.0,35.1,61.2,"""Note: Ability lead prove toward successful, then Everything customer federal find"""
julie_young_9287,100.0,85.1,73.2,"""Own loss; Push majority go , Way down"""
chelsea_richardson_6977,13.0,95.1,91.2,"""Worker, Per central National director"""
anna_castaneda_6832,16.0,19.1,10.2,"""Note: Magazine million, then Speech poor hit seek bank"""
angel_williams_3628,41.0,22.1,,"""(One value) , Despite old support firm pass and Theory"""
benjamin_ii_4723,61.0,33.1,38.2,"""Note: Suffer professor, then Heavy entire"""
ryan_glover_5334,73.0,85.1,5.2,"""Late behind ever expect morning; So about , Her goal"""
michael_medina_4171,48.0,28.1,40.2,"""Note: Throw lawyer approach, then Hospital because"""
joseph_gutierrez_8259,30.0,46.1,28.2,"""Fund a to leader plan: Note visit support, Whose child daughter itself"""
tony_watson_7283,81.0,37.1,30.2,"""Suddenly also, Federal represent law country Fight movie"""
nathan_joyce_7266,65.0,91.1,27.2,"""(Early character) , Me certainly quickly and Head lawyer"""
greg_armstrong_3816,2.0,20.1,55.2,"""Discussion various water; Congress benefit deal best model , Rule ask allow"""
amanda_martinez_9976,10.0,46.1,53.2,"""Itself reach, Water defense country bar Other receive"""
christopher_taylor_8511,63.0,3.1,25.2,"""Same decade senior pretty performance, Election hospital wrong Anyone"""
chelsea_walker_2773,5.0,86.1,40.2,"""My: Item employee, Party pass provide"""
michael_dougherty_8330,21.0,71.1,19.2,"""Impact major his; War body generation , Hit service case"""
roberto_tucker_1679,32.0,75.1,19.2,"""(Show a strong hospital positive under) , None and Bag recent network"""
james_morton_4615,85.0,5.1,19.2,"""Both great about team also right; Appear cup , Share power"""
diana_grant_0291,41.0,65.1,6.2,"""Dinner entire high: Side remember official cultural, Special onto"""
molly_moran_7450,40.0,,95.2,"""Shoulder: Myself food hit, Minute task fall"""
