username;price;comment;summary
mr_davison_9196;72.0;"""(Maiores) ; Laboriosam repudiandae quae and Ratione est voluptatem""";"""Ullam ab iusto voluptates nam: Deleniti nemo; Culpa"""
frank_burns_2681;97.0;"""Error beatae quaerat aliquam; Reprehenderit sed laudantium vitae Mollitia""";"""Enim excepturi labore labore recusandae; Similique fuga dolorem aliquid ; Architecto quos"""
sarah_thornton_7070;26.0;"""(Culpa quibusdam hic) ; Adipisci ab odit and Ea cum voluptate reiciendis""";"""Ad nulla sed soluta esse; Adipisci ducimus vel sapiente Architecto totam"""
dr_rees_2363;65.0;"""(Nisi qui provident est aperiam) ; Omnis reprehenderit laboriosam and Necessitatibus explicabo doloremque commodi asperiores vel""";"""Eum; Deleniti in Rerum dicta ducimus voluptate"""
brett_burke_9360;22.0;"""Itaque quis dolore; Laborum fugit deleniti error reiciendis ; Mollitia dignissimos recusandae laborum""";"""(Reprehenderit impedit sequi error) ; Quo deserunt ullam and Repellendus eius aspernatur"""
dr_lamb_5813;42.0;"""Deleniti saepe non; Atque corporis Praesentium at quod ea error""";"""Laboriosam iure; Rem quas voluptatem praesentium ; Quis assumenda"""
gail_kent_6713;100.0;"""Molestiae sequi; Accusamus blanditiis odio voluptatibus nam ; Iste illum voluptate odit quidem in""";"""(Harum) ; Doloribus itaque and Nisi assumenda"""
nathan_patel_3523;91.0;"""Note: Id autem libero doloribus iste repellat; then Alias""";"""Quaerat ut perferendis dolorum: Iusto repellendus; Maxime cumque fuga illum"""
stephen_wilkinson_2879;7.0;"""(Possimus ullam recusandae) ; Libero and Veniam dolorem consequuntur dignissimos""";"""Note: Quam mollitia quidem quo doloribus; then Temporibus pariatur itaque"""
bethan_edwards_6879;34.0;"""Note: Nam quo dolor molestiae quidem; then Ab""";"""Magnam; Quis deserunt ; Blanditiis possimus"""
beverley_murray_2289;35.0;"""(Libero nobis nam) ; Totam illum ipsam and Fugiat eos""";"""Incidunt ratione: Quos alias hic fugit; Ut ratione rerum"""
dominic_james_3937;74.0;"""Ipsa nisi modi; Perferendis assumenda vitae quam at sit ; Nemo""";"""(Labore voluptatem minus impedit ea) ; Expedita ad and Enim quaerat minus totam sed"""
charlene_watts_5211;65.0;"""Saepe rem: Facere repellendus tempora quam sapiente veritatis; Voluptatibus""";"""Quae et: Consectetur corrupti accusamus; Officiis molestias deserunt"""
chelsea_willis_7183;5.0;"""Note: Quaerat quaerat; then Eum eos veniam""";"""Voluptas; Et exercitationem incidunt Minima"""
mr_berry_1222;43.0;"""Ipsam tempora rem adipisci error; Deserunt aliquid quia Eos nesciunt""";"""Note: Atque ipsum nihil; then Distinctio quas ab"""
lynda_ellis_5954;81.0;"""Quibusdam ducimus; Incidunt ; Alias animi aspernatur""";"""Quia id: Corrupti incidunt eaque reprehenderit recusandae; Minima ipsa rem optio quasi"""
katy_robson_4928;48.0;"""Note: Impedit ab; then Accusamus numquam qui error""";"""Neque explicabo molestias; Nulla a officiis tempore numquam ; Rem veniam assumenda dolorum iste qui"""
dr_mitchell_2745;58.0;"""(Consequatur aut architecto) ; Voluptates accusamus laboriosam and Ullam incidunt nobis molestias""";"""Note: Impedit facilis commodi saepe occaecati; then Aspernatur incidunt"""
charlie_pearce_9632;5.0;"""Nostrum ratione fugit: Architecto veritatis; Dolores assumenda culpa praesentium delectus""";"""Repellendus exercitationem; Excepturi Quos amet"""
hugh_roberts_4701;89.0;"""(Quo nobis) ; Rem vero and Quidem ex quibusdam""";"""Sunt magni blanditiis aliquid quidem eaque; A dolores Repellat"""
karen_holmes_8046;61.0;"""Note: Alias; then Voluptate architecto placeat""";"""Reprehenderit minus: Temporibus porro; Asperiores neque"""
toby_fowler_4747;18.0;"""Note: Animi; then Animi soluta harum dolores voluptatum""";"""Aperiam: Eum voluptatem totam repellendus; Harum doloremque occaecati"""
christopher_nicholls_6843;81.0;"""Sed labore; Tempora ad ; Ad impedit dolores aperiam ipsam""";"""Consectetur ipsam quas corporis iure: Animi quas corporis at; Magnam esse necessitatibus minus"""
marie_smith_0651;47.0;"""Numquam odio; Ipsa quos ; In accusamus iste""";"""Provident perspiciatis molestiae: Quaerat in omnis; Officia sed commodi ut repudiandae iusto"""
ronald_miller_3781;96.0;"""Sapiente atque; Cumque laboriosam eligendi laudantium ; Facilis iure praesentium quae""";"""Note: Dolores recusandae; then In illo illum fugiat"""
amber_jones_3763;74.0;"""(Deleniti maiores nihil eveniet) ; Rerum praesentium dolorum and A deleniti nobis dolor possimus porro""";"""(Inventore perspiciatis voluptas) ; Repellat optio sunt ut earum voluptate and Labore"""
lauren_carter_8658;78.0;"""Note: Itaque molestias quam incidunt dignissimos; then Occaecati officiis""";"""Dolore sint; Molestiae nesciunt odit expedita Amet eius culpa minima ipsa"""
