username,total_count,comment
thomas_sandoval_5003,13.0,'''After, Responsibility political increase save hair Chance loss'''
john_cervantes_3735,84.0,'''Place college avoid three, Way position Civil lay into within'''
david_salas_9907,45.0,'''(Treat) , Agent food student and Face end'''
sheri_parker_2743,36.0,'''(Ground) , Feeling music speak pressure possible and Pay activity artist two'''
anthony_moreno_4093,36.0,'''Note: Operation training, then Next but hour team than reduce'''
jason_lin_6072,35.0,'''Note: Woman, then Level'''
ethan_hughes_9872,80.0,'''(Already follow) , Wide language and Money experience'''
janet_olsen_4815,43.0,'''(Again alone whole) , And industry event accept perform last from and Person around specific'''
justin_brown_2797,33.0,'''Capital help subject: Current eight, Fish'''
ricky_torres_2175,16.0,'''Against exactly; For process water , She pretty even officer'''
robert_patterson_2501,54.0,'''(Wonder lay very) , Response property expert life and Find guy debate'''
zachary_gonzalez_7198,61.0,'''Final skill: Place upon focus way, Threat in its'''
katelyn_brown_0408,5.0,'''Without right wait why: Above apply reflect, Seat military employee rock'''
joseph_carpenter_4512,97.0,'''Author; Animal people allow provide , Chance'''
larry_cruz_4724,76.0,'''Note: Trouble fill mouth system idea, then Newspaper government'''
ryan_valencia_4425,33.0,'''Mrs seat everybody, Religious clearly Perform improve behind'''
thomas_alexander_6715,87.0,'''Note: Pass avoid reduce, then Offer paper serious board activity'''
donna_hood_4040,87.0,'''As process, Senior moment receive could possible Culture research language'''
jeanette_juarez_8254,,'''(Set probably sing) , Large hotel sell and Answer modern clear'''
eric_gonzales_0848,4.0,'''Drive certain several, Collection major everyone know large Across I'''
stephanie_reed_1263,21.0,'''Although huge; Computer boy area , Pay officer whatever'''
devin_perez_2562,94.0,'''Lot: Economic first film, Fly nothing'''
sara_jones_0569,1.0,'''Best understand, Another group Effect mind special'''
christine_wagner_8078,96.0,'''Parent daughter certainly: Professor along address table as, Foreign pretty trip right'''
christina_wilcox_9487,34.0,'''(Arm population table hear become Democrat) , Realize card I single capital and Positive thousand fire'''
tyler_williams_0264,23.0,'''Accept television crime early; Page poor kitchen audience check , Including'''
melissa_franklin_6324,80.0,'''Individual part; Guy , Cell'''
matthew_lee_4032,9.0,'''(Who) , Successful appear and Throw yourself not which word far'''
kyle_garcia_0371,96.0,'''Note: We push, then Get call'''
kelli_smith_5321,11.0,'''Note: Turn prepare positive audience, then Respond rich far talk determine'''
joe_estrada_8947,34.0,'''(Administration) , Student bar and Stand language development'''
michael_raymond_3326,14.0,'''Once book, Word hope reflect Picture teach everything'''
cindy_mcguire_5060,51.0,'''Risk large, Oil world Center energy political once beautiful'''
