username	age	score	price	note	remark
mrs_wood_3556	21.0	90.1	82.2	"""(Occaecati nesciunt perferendis) 	 Laborum ut and Similique qui"""	"""Odio culpa: Sapiente maxime	 Itaque accusamus consequuntur repellendus vel ex"""
mrs_harrison_5734	68.0	8.1	23.2	"""(Omnis) 	 Facere sint saepe and Iste adipisci aspernatur necessitatibus eveniet quos"""	"""Note: Aut	 then Aut"""
ashley_quinn_1010	28.0	14.1	42.2	"""(Aperiam hic temporibus) 	 Optio doloremque repellat and Tenetur iusto eius"""	"""Labore error; Labore 	 Autem ea quas"""
shirley_wall_4349	17.0	21.1	38.2	"""Adipisci maiores dolore blanditiis quidem: Cupiditate error consequuntur	 Quam vitae quas"""	"""Adipisci molestias; Reprehenderit consequuntur 	 Voluptates reiciendis"""
max_chandler_2756	94.0	47.1	92.2	"""Saepe modi: Eveniet ducimus laudantium nihil	 Et"""	"""Aspernatur odio; Amet maiores ullam aut tempora 	 Doloremque quasi"""
alison_ali_5095	6.0	95.1	59.2	"""Animi quia; Amet sint similique nostrum tempora 	 Voluptates quasi"""	"""Modi	 Aperiam reiciendis At reprehenderit libero enim expedita"""
jane_little_8841	18.0	3.1	67.2	"""(Deleniti ipsum iste) 	 Iure quae accusamus and Odio ea fugit quasi"""	"""Repellat rerum consectetur ad	 Recusandae ullam Molestiae placeat"""
molly_parker_7563	5.0	1.1	86.2	"""Note: Iusto esse	 then Impedit magni nam cum ad magnam"""	"""Vitae quae hic aliquid adipisci fugiat: Vitae rem eius eligendi	 Et aspernatur"""
mr_middleton_7739	33.0	75.1	20.2	"""Note: Culpa quis	 then Occaecati vero reiciendis autem atque"""	"""(Voluptate) 	 Quae blanditiis reiciendis earum and Vel quaerat"""
dr_hughes_7859	64.0	75.1	80.2	"""Quas atque possimus: Deleniti quidem voluptas molestias	 Rem velit quod"""	"""Note: Deleniti sunt facilis dicta labore	 then Voluptatum quos magni totam"""
stephen_brennan_4296	92.0	76.1	60.2	"""Officia molestiae	 Sunt hic Laudantium quas minus"""	"""Ipsa ipsa	 Cumque perferendis eaque placeat Autem mollitia dolorum"""
carole_morris_2159	58.0	65.1	40.2	"""(Iste voluptatum occaecati odio) 	 Pariatur iusto fuga sed molestias and Repellendus temporibus officia"""	"""(Exercitationem exercitationem voluptatibus iste dolores iste) 	 Cumque iste dolor voluptatem aliquid voluptatem and Iure laudantium sit repudiandae perferendis"""
mrs_saunders_6797	1.0	98.1	24.2	"""Sunt dolores praesentium; Facere 	 Alias labore culpa nisi laborum"""	"""Voluptate totam: Officiis odit eaque ducimus ad possimus	 Aperiam itaque nesciunt"""
mr_hale_8426	28.0	24.1	49.2	"""Explicabo occaecati provident maxime praesentium: Soluta temporibus dolores in tempore	 Nostrum perspiciatis"""	"""Maxime numquam vitae inventore doloribus: Ratione consequuntur at	 Perspiciatis"""
michelle_palmer_0087	94.0	50.1		"""Magnam enim aliquam iste: Illum nam labore	 Aperiam perspiciatis"""	"""(Velit maxime earum quae sunt) 	 Molestiae cumque and Modi necessitatibus dolor"""
mrs_barlow_7134	90.0	60.1	37.2	"""Perspiciatis exercitationem	 Vel eos libero fugiat Recusandae adipisci est ipsa"""	"""(Veniam) 	 Officia veniam dolorum alias dolorem quo and Impedit id impedit aperiam"""
nicola_johnston_8571		89.1	59.2	"""Note: Totam temporibus itaque non	 then A illo"""	"""Note: Praesentium repellat similique quis	 then Unde numquam"""
joel_rowe_5339	76.0	95.1	17.2	"""Nostrum; Repellendus quod rem 	 Perferendis quisquam blanditiis"""	"""Vitae nulla voluptates magni	 Delectus cum Voluptas inventore tempora quia"""
mr_young_3170	59.0	37.1	54.2	"""Numquam dolorem ea dolore	 Laborum enim voluptate Excepturi libero"""	"""(Modi iste) 	 Explicabo and Odio ratione"""
robert_hardy_8398	49.0	48.1	22.2	"""Note: Iusto blanditiis a repellendus	 then Recusandae eaque vitae officia earum"""	"""Inventore voluptas beatae	 Excepturi ex alias enim dolore Pariatur velit voluptates"""
ms_taylor_2811	39.0	21.1	98.2	"""In at consectetur fuga quam: Officia autem aliquam	 Atque natus in"""	"""Nam doloribus eos: Commodi beatae magni	 Consequuntur animi expedita aspernatur laboriosam"""
katy_kerr_8759	6.0	51.1	98.2	"""Cupiditate culpa accusantium; Voluptate possimus maiores culpa exercitationem 	 Occaecati soluta"""	"""Note: Quisquam dolores mollitia	 then Velit veniam suscipit minima"""
gerald_clark_1696	100.0	11.1	80.2	"""Ratione odit	 Sed aspernatur rem Aperiam maiores aliquid voluptates mollitia officia"""	"""Itaque optio eum	 Veniam mollitia laboriosam quas Odit"""
