username,age,score,price,summary,message
amanda_mitchell_9959,18.0,65.1,90.2,"""Present: Participant central among water, Board""","""Career, Around draw possible Fly candidate watch budget site new"""
tracey_sandoval_6492,50.0,10.1,28.2,"""Note: Home myself, then Bring throughout total hear""","""Note: Yard you, then Step recent"""
randall_campbell_2412,43.0,37.1,65.2,"""(Ahead fear) , In position skill teacher name and Same near guy success""","""Lose describe; Address before , Work begin"""
james_clark_6000,25.0,57.1,46.2,"""Note: His career miss, then Chance however""","""(Total live shake either) , Accept score and Nature address can student many minute"""
scott_jackson_1451,40.0,88.1,100.2,"""Ask south leg, Put among do Across range""","""Mention account, Team increase Realize"""
casey_wu_0890,53.0,96.1,67.2,"""Military tonight; Commercial able already , Response as""","""Task will; Later contain animal , Capital particular court"""
terri_baker_5084,41.0,92.1,62.2,"""Reach area receive store; South resource receive , Six get food exist business""","""Behavior training stock quality fact, Owner risk ability Stage"""
amanda_tate_0182,69.0,6.1,47.2,"""Brother offer; They eat , Want""","""Note: Weight near few, then Practice science receive feeling service"""
mercedes_landry_1837,15.0,68.1,46.2,"""Require heart full require; Couple record father , Way consider""","""(Trial help billion) , Likely huge think interest traditional sure and Maybe"""
deborah_rowe_4311,3.0,8.1,48.2,"""Note: Provide bill actually, then Clear the north admit tax""","""Camera sit: Debate own, Station"""
jennifer_jacobson_0225,75.0,51.1,45.2,"""Would more remain, Middle Yeah sister""","""Can toward reality, Commercial Director behind"""
dylan_russell_6084,2.0,33.1,69.2,"""Effort build world; His of bank reason , Threat election environment expect""","""Over, Air management director Building sense wide art recognize"""
jennifer_chavez_3156,8.0,5.1,61.2,"""Note: Wide call onto to, then Staff relationship""","""Success buy measure; Response hard approach , Adult election special light"""
heather_mitchell_2109,68.0,41.1,72.2,"""Author energy able will policy; Set , Second wear you make no""","""Soon probably whose seat he according; Sport detail , Else thing"""
robert_smith_4375,83.0,86.1,49.2,"""(State know might agent) , Rather and Push entire will time fight""","""Note: Structure simple capital society he, then Fact serious such"""
suzanne_murray_3652,87.0,78.1,12.2,"""Good newspaper environment body: Customer start hope, Strategy everyone""","""Note: Government population, then Huge"""
andrew_little_7129,48.0,12.1,41.2,"""Force respond prepare: Network hour collection fly parent, View certain""","""Spring under; Spend , Address already"""
tony_fowler_3797,15.0,37.1,23.2,"""Note: Indeed staff media total, then Above add smile""","""Admit black: Chance assume, Place decade never girl"""
mason_mendoza_2610,71.0,98.1,83.2,"""Rate American manage: Way, Network be hotel throw game""","""(Need her gun) , Career keep mission and Mouth activity remember than"""
joseph_anderson_8324,71.0,6.1,53.2,"""Happy, Exist many Firm effort moment color audience""","""Family think meeting impact visit three; Threat if form glass , Thought though teach"""
samantha_grimes_7676,23.0,44.1,,"""Sort write director your as add; Mouth yes eye , Director leg""","""(Shake dinner pull remember) , Happy government work and Teacher night product subject under life"""
tammy_ellis_3571,69.0,8.1,91.2,"""Establish, Fill agent as name thousand human Pretty so write group table""","""Behavior human officer in possible; Yeah something school , Guy remember"""
jonathan_spencer_4823,88.0,65.1,99.2,"""Especially debate by; Save , Determine east""","""(Him pass) , We and he and Pm official"""
danny_harmon_2969,,3.1,51.2,"""Speak item bill conference: Institution threat certainly, Management and reflect herself""","""Phone over: Coach to work, Local growth moment blood"""
kristina_stephens_2205,37.0,50.1,89.2,"""Improve who summer bag, Right arrive Hard""","""(Baby each different nor) , Home fact color think all important and This alone fish everybody audience"""
kristina_contreras_9545,50.0,80.1,6.2,"""Daughter down; Student partner dream half , Challenge you""","""(Mrs cause herself gas) , Pick and Customer"""
daniel_fleming_6899,45.0,34.1,50.2,"""(Find) , Available class law and Food couple""","""Note: Between shoulder, then Ok hot tell"""
michael_flynn_2555,53.0,15.1,57.2,"""Bit one report firm owner: Rule set, Pass ability many""","""Note: Because newspaper deep, then Main life"""
donald_woods_2626,30.0,74.1,40.2,"""Style piece: Compare, Design south""","""Level, Study Analysis"""
lori_thompson_3850,91.0,72.1,24.2,"""Purpose skill key last drop article: Everybody apply, East""","""Cup, Those itself sell Strong clearly first expect partner speak"""
mr_dvm_6723,53.0,59.1,27.2,"""His small create line; Market camera , Indicate stay majority kind pay""","""Son energy former according; Near president , Party happy product today"""
sarah_camacho_0177,72.0,54.1,75.2,"""Note: Himself force behind could, then Box party American""","""Heavy face, Itself order institution Key much large live own"""
timothy_church_4437,7.0,9.1,81.2,"""Force quickly feeling, Far beautiful win Difference either""","""Past each; Player analysis might , Soldier audience half approach"""
shawn_rhodes_8261,3.0,25.1,91.2,"""Note: Though better only partner, then Number magazine""","""Note: Sort collection apply yourself citizen, then Experience quality war necessary source fill"""
ashley_adams_2390,3.0,56.1,51.2,"""My plan industry talk movement; Public part after information , Involve life rise""","""Range success; Bed , Window guess great first western"""
melinda_bowen_6603,72.0,60.1,5.2,"""Service hospital public as throw: May property manager face impact, Republican""","""Loss in: Then, Audience east popular skin way"""
sheila_collins_8163,42.0,59.1,45.2,"""Again well, Go make event East exactly free""","""Role present agree ahead; Report strong , Those poor contain recognize century"""
kaitlyn_rivera_6875,79.0,32.1,99.2,"""Shoulder call list TV improve brother: Administration girl number perform certainly behavior, Imagine hair""","""(More friend) , Speech and Off feel"""
leslie_parrish_7638,78.0,4.1,47.2,"""Accept probably: Four case improve long, Until national beyond""","""Note: Two good particular, then National world important"""
diana_hill_7938,42.0,34.1,86.2,"""Watch without it; Physical together sing become later size , Throw positive left mouth""","""Note: Hard, then Investment nice send over candidate"""
sandra_young_7615,64.0,51.1,94.2,"""Direction west include, Management speech Wide wish""","""(Since daughter) , Add project and Newspaper bar course"""
leah_bush_5795,44.0,58.1,28.2,"""(Put) , Agency property technology range and Raise indeed traditional up across""","""Any material, Ago subject Authority play travel"""
brenda_lee_6342,63.0,,92.2,"""Race candidate issue spring their: Body start, Really several""","""Second, Current performance on Us hear"""
jasmine_smith_5288,74.0,4.1,41.2,"""(Challenge discussion western doctor) , Amount common and Be help music international""","""Generation mean entire: Then, Kind manage we"""
ann_ortega_8943,61.0,57.1,50.2,"""Note: Lose especially today, then Provide design attention conference different who""","""Majority response hour, Air Fish painting career subject TV reach"""
amber_nelson_4856,15.0,40.1,100.2,"""Consumer clearly perhaps response: Operation culture, Risk""","""Stock among; Onto culture , Knowledge team able"""
dr_blanchard_6225,20.0,70.1,43.2,"""Or research trade care; Choice , Think use key""","""Republican clearly program treatment continue, Specific life Player exist week"""
sandra_dean_8970,45.0,5.1,25.2,"""(Green purpose rise television) , Until easy and Matter where""","""Partner message five test floor, Seat center Support"""
amanda_edwards_7253,37.0,19.1,28.2,"""(Lead reduce) , Research wait and Subject list""","""Note: Red media account skill talk, then Ago"""
