username	price	age	rating	note
douglas_thompson_2136	22.0	2.1		'''Perspiciatis; Voluptates voluptatem 	 Officiis nihil'''
ms_butler_3175	33.0	58.1	16.2	'''Quas cumque iusto sequi quam	 Accusamus reiciendis quibusdam fugit modi Perspiciatis dolorem'''
harriet_foster_9182	81.0	50.1	32.2	'''Note: Minima officiis nisi	 then Nam dignissimos quis'''
cameron_bennett_3354	58.0	42.1	26.2	'''Incidunt maxime: Vero eum	 Commodi iusto fugiat'''
ruth_morgan_9590	53.0	70.1	94.2	'''Dolores cupiditate; Praesentium corporis 	 Facilis occaecati'''
miss_norton_4376		48.1	59.2	'''Note: Rem sint maxime culpa magni impedit	 then Nihil voluptas officia quasi magni'''
joanne_green_4998	33.0	89.1	77.2	'''Consectetur fugiat debitis	 Fugit eaque Tenetur'''
patrick_brown_9247	49.0	11.1	46.2	'''Voluptatum molestiae quae ad: Enim suscipit quibusdam	 Nesciunt quas magnam'''
louis_morgan_1106	77.0	6.1	92.2	'''Consequuntur molestiae earum voluptates; Cupiditate voluptates 	 Quasi facere'''
irene_wong_2863	44.0	56.1	39.2	'''Tempore adipisci amet ut; Molestiae 	 Quaerat aspernatur'''
georgia_alexander_8921	13.0	64.1	57.2	'''Doloremque consequuntur; Nisi perspiciatis cumque 	 Error quos delectus'''
mrs_taylor_8085	72.0	86.1	90.2	'''Tenetur; Ipsa omnis 	 Magnam inventore cupiditate'''
kerry_singh_5617	40.0	19.1	27.2	'''Cumque error commodi aut quo repellendus; Corporis dolor nihil quia aspernatur 	 Illum tenetur quidem facere'''
sheila_barry_8751	95.0	91.1	56.2	'''Iusto: Exercitationem aliquid et	 Veniam error perspiciatis'''
barbara_johnson_2166	83.0	91.1	69.2	'''(Minima repudiandae culpa amet aliquam minus) 	 Assumenda and Saepe'''
ms_harvey_6988	31.0	95.1	51.2	'''Provident recusandae	 Voluptates quis dicta Et'''
mr_smith_9329	69.0	99.1	41.2	'''Note: Itaque	 then At laboriosam fuga'''
francis_barrett_0604	32.0	49.1	54.2	'''(Autem doloribus iste) 	 Architecto quos consectetur and Dolores odit'''
angela_frost_1099	54.0	47.1	4.2	'''Aut	 Totam quam autem earum Provident nam'''
mrs_hope_0990	80.0	36.1	54.2	'''Consectetur harum quis cum; Eaque 	 At molestias'''
gillian_smith_9183	6.0	54.1	70.2	'''Labore quas neque ratione saepe	 Unde repellat Nihil'''
sian_ali_8196	84.0	70.1	3.2	'''Alias porro ullam maxime; Distinctio vitae vel 	 Cupiditate alias consequatur eos'''
lorraine_doyle_4951	76.0	53.1	35.2	'''Note: Ut expedita	 then Pariatur tempore expedita'''
lucy_bird_6471	30.0	64.1	51.2	'''Unde necessitatibus; Provident quos veritatis 	 Reiciendis iusto'''
abdul_french_5320	84.0	48.1	15.2	'''Note: Magnam fugit	 then Voluptatum eveniet nihil'''
bryan_williams_0673	89.0		20.2	'''Note: Vitae ullam in	 then Dolorem laudantium adipisci non'''
colin_carroll_3894	7.0	36.1	23.2	'''Note: Ipsam occaecati	 then Vitae'''
dr_holden_9105	40.0	54.1	52.2	'''Eveniet excepturi natus	 Pariatur placeat Expedita deleniti corrupti eveniet voluptate'''
ashley_clarke_2954	19.0	71.1	16.2	'''Sapiente	 Deleniti debitis voluptatem ullam nisi laborum Fuga optio a'''
dorothy_marshall_7421	46.0	26.1	66.2	'''Nemo; Esse 	 Aliquam vitae fugit'''
caroline_wyatt_7269	93.0	84.1	63.2	'''Voluptatibus quis maiores officia	 Hic voluptas Suscipit voluptatum excepturi'''
tina_connor_3517	7.0	60.1	78.2	'''Note: Nemo	 then Expedita'''
mr_king_4292	1.0	25.1	55.2	'''Enim quaerat harum velit: Quasi cupiditate	 Provident ad sequi at repudiandae'''
sandra_ferguson_4432	70.0	49.1	73.2	'''Enim praesentium: Molestias facilis veniam eius illo praesentium	 Laboriosam assumenda veniam alias'''
leah_hutchinson_1252	56.0	60.1	10.2	'''(Cupiditate distinctio tempora suscipit mollitia) 	 Quam and Illo dolore'''
ms_baldwin_6393	39.0	29.1	81.2	'''(Illo quasi deserunt sint in) 	 Reiciendis sit and Nulla'''
marilyn_barber_0516	22.0	23.1	78.2	'''Note: Sapiente aliquid	 then Nihil iure'''
vanessa_phillips_5152	20.0	89.1	51.2	'''Adipisci veniam itaque	 Ipsam fugiat impedit neque est maxime Quibusdam alias'''
