# This is a comment line to skip
username,rating,note
joel_nelson_7461,84.0,'''Note: Herself old his, then History couple'''
trevor_rubio_1140,9.0,'''Note: Here area machine, then Role side statement sign'''
joseph_campbell_1314,53.0,'''Their example thousand: Require difference later over, Blue'''
scott_carlson_8926,75.0,'''Shake, Yourself trade Best finish'''
benjamin_wright_1369,52.0,'''Speak stuff; Attention water never , Mind law half'''
justin_fletcher_7129,22.0,'''(Care network speech name) , Then picture even and More'''
destiny_owens_9341,96.0,'''Small; Structure knowledge piece , Reach stage million place sense'''
james_hernandez_7939,37.0,'''Above prepare: Area word letter Republican, Particular month purpose special'''
daniel_ii_7887,53.0,'''(Beautiful) , Discussion rock and Congress bill'''
sandra_nguyen_2924,64.0,'''Large picture; Century rate camera respond deep , Face'''
keith_peterson_4258,81.0,'''Far well heart might: Bring every ever less, West natural'''
maria_thompson_5783,78.0,'''Window foot: Resource hotel, Reason decide'''
michelle_franklin_8799,57.0,'''Budget indeed community weight, Fall brother We movie'''
william_roman_4258,77.0,'''(Student cover less next) , Century and Strong sometimes keep'''
nathaniel_white_1997,3.0,'''Note improve everybody trouble field; Voice future management maybe , Forward method usually'''
stacy_christensen_7722,95.0,'''Note: Safe rather police read prepare machine, then Stuff instead game few certain strategy'''
jennifer_morrow_1246,25.0,'''Authority; Since , Teach policy hold movement'''
angela_thomas_1515,16.0,'''(Response improve on) , Recent and Stop really hair operation process'''
sarah_evans_3052,31.0,'''Building cost; Single partner leave , Bill life leader American fall'''
patricia_cabrera_2630,60.0,'''Hope: Success edge but, Environmental trial'''
scott_michael_4455,49.0,'''Method identify president number often old, Risk sound side alone Weight minute special brother'''
sandy_pope_4296,96.0,'''(Whole doctor) , White dinner improve official of radio and Discover for one'''
pamela_smith_4364,31.0,'''Vote affect entire; Including , Break marriage by'''
kimberly_dunlap_1042,26.0,'''Person measure push: Use science study race, Stage situation memory'''
jeffrey_fry_1043,45.0,'''Cold development: Skin performance teacher goal stock, Cause various'''
adam_mendez_6604,32.0,'''Feel win effort positive least, Catch network item Out out president'''
james_alvarez_1004,56.0,'''(True) , Month maybe number and Require role might top'''
theresa_ingram_4605,14.0,'''Note: Nice result impact radio if, then Manage nothing'''
virginia_kelly_9593,53.0,'''Determine rock; Hundred question , Something term culture'''
randy_diaz_4408,62.0,'''Article expert argue; Natural , Bill prevent item language large'''
samantha_washington_9966,5.0,'''Summer party no long: Represent sport drug else quickly, Skin experience huge possible'''
mitchell_guzman_9826,2.0,'''Capital catch traditional professor civil, Moment become war Culture control'''
nicole_williams_5177,3.0,'''Thought per nearly: A, Computer board cell'''
jessica_leonard_7860,,'''Note: Fire same parent author, then Ability two state'''
steven_mendoza_8827,38.0,'''Early mission population free industry amount, Than fill knowledge Blood senior already'''
sara_bailey_3531,36.0,'''Budget or, Address growth girl Century ten'''
caitlyn_wolfe_7136,93.0,'''Act garden commercial; Former start life can will , Direction'''
melissa_thomas_7567,20.0,'''Note: Or, then Over word'''
nancy_park_0948,54.0,'''Outside significant play situation, Poor provide respond Officer agree increase need'''
james_shaw_5033,32.0,'''Cost issue she character: Series, Often race offer pull perform'''
gabriela_patterson_9743,76.0,'''Note: Analysis, then Wrong will'''
robert_herman_3948,88.0,'''Old consider friend before present: Member long, Man away understand speech'''
mary_day_3048,14.0,'''(Test hit see instead) , Change sense modern and Consider play'''
