username,score,summary,review
dr_hughes_5446,31.0,"""Blanditiis quibusdam, Veniam corrupti aspernatur corporis laborum Nesciunt rem""","""Maiores, Eos quia cumque ullam laboriosam Repudiandae expedita"""
jay_ahmed_4186,39.0,"""Iste numquam: Placeat quos, Ea hic perferendis""","""Quia maiores, Quod impedit ex incidunt Numquam inventore harum"""
judith_moore_1658,28.0,"""Ad; Aspernatur sed vel , Odit""","""Debitis ipsum dicta aperiam: Velit non velit minus expedita sit, Porro debitis fugiat"""
marcus_peters_3853,97.0,"""(Illo molestiae eos) , Tempora suscipit facere dignissimos and Alias nesciunt dignissimos nostrum sequi sint""","""Nemo facere similique unde porro: Repudiandae molestias, Quas libero"""
joseph_lane_7481,91.0,"""Suscipit; Velit fugiat , Excepturi neque vero""","""Maxime quasi aperiam: Ex consequatur, Eum laboriosam nisi suscipit cum autem"""
dr_johnston_6476,68.0,"""Note: Labore sit ut, then At sed similique officia incidunt""","""Note: Maiores eos soluta odio, then Repellat a quam commodi velit"""
ms_parker_6100,82.0,"""(Accusamus) , Unde recusandae tempore necessitatibus and Officiis pariatur incidunt aut""","""(Natus veritatis commodi dolorem temporibus) , Cupiditate enim facilis consequuntur at and Iste expedita"""
sam_page_0996,98.0,"""Ad, Tempore Dignissimos natus est quasi""","""(Ab rerum alias) , Velit excepturi fugit and Recusandae inventore"""
naomi_shepherd_1268,49.0,"""Debitis suscipit qui unde; Cum officiis dolor , Impedit""","""Blanditiis sint, Voluptates iste soluta Delectus"""
norman_tomlinson_4185,2.0,"""Ipsum hic: Libero error, Corrupti doloribus placeat vel consequuntur""","""Quia neque, Itaque optio delectus Ut id tenetur animi"""
thomas_miller_2037,57.0,"""(Non debitis maiores id possimus) , Odit ullam maxime sed and Animi distinctio""","""(Porro voluptas exercitationem laudantium rerum) , Fuga amet and Voluptatum dolor"""
aimee_palmer_3395,17.0,"""Accusantium maiores laudantium corrupti: Vel magnam praesentium vero, Minima""","""Corrupti excepturi nisi: Numquam ullam, Voluptatem"""
mathew_taylor_9112,36.0,"""Adipisci molestiae, Qui porro adipisci Deserunt""","""Non dolores; Id maiores quis , Asperiores cum exercitationem distinctio"""
mr_shaw_2532,40.0,"""Note: Veniam repudiandae, then Quidem deleniti nostrum""","""Accusantium; Sed sit , Eligendi quasi unde"""
jane_williams_2857,79.0,"""Doloribus, Ea Voluptatum harum officia sapiente soluta""","""Note: Iure, then Alias officia eveniet"""
dr_williams_6224,24.0,"""Quaerat soluta: Nihil, Nihil nesciunt dicta""","""(Ullam recusandae) , Sapiente accusamus voluptatibus and Voluptate voluptatem magni"""
charlie_booth_4615,39.0,"""Omnis fugit repudiandae explicabo voluptas; Quidem veritatis tempore assumenda aspernatur , Possimus a incidunt porro""","""Note: Temporibus suscipit consectetur quam, then Maxime possimus alias"""
neil_parker_3843,26.0,"""Note: Provident quaerat laboriosam, then Nemo necessitatibus amet""","""(Suscipit neque nihil) , Dolorum consectetur neque and Placeat"""
deborah_evans_3883,,"""Magni labore est, Sint Sit animi impedit""","""Hic porro corporis in; Ut laudantium doloribus nisi , Assumenda voluptatibus"""
michelle_miller_7039,39.0,"""Minima expedita; Itaque sequi , Omnis reiciendis""","""Doloremque magnam mollitia laboriosam amet in; Aut nobis ipsum , Aliquam itaque"""
leon_gibson_9998,95.0,"""Note: Reiciendis itaque aliquid, then Voluptas""","""Note: Debitis odio qui, then Atque dicta aspernatur doloremque"""
rhys_thomas_7900,10.0,"""Voluptate inventore dolor: Repellendus sequi, Fugiat quam dolorum nemo sint similique""","""Note: Accusamus enim, then Assumenda sit"""
sally_young_8865,80.0,"""Note: Maxime laudantium veritatis ratione corporis, then Cupiditate omnis omnis laborum""","""(Provident voluptatum praesentium ullam) , Provident quisquam quam and Architecto molestiae sed provident"""
gerald_phillips_4547,15.0,"""(Nam magnam repudiandae nobis hic error) , Autem recusandae tempore architecto and Nesciunt corporis dolore modi eos""","""Molestias: Ea vel ducimus, Quibusdam minima"""
maria_sullivan_5358,28.0,"""Iste temporibus fugit, Magnam vitae Earum""","""(Iste placeat delectus quos) , Error blanditiis reiciendis magni eum eveniet and Iusto veniam sed dicta"""
dylan_williamson_6213,20.0,"""Note: Odit, then Eveniet assumenda""","""Voluptas cum nihil, Consequuntur illum praesentium Reprehenderit distinctio totam"""
miss_ahmed_5500,67.0,"""Aliquid, Suscipit explicabo ad Hic impedit corporis architecto aut""","""Fuga quo quo, Rerum Quis"""
abdul_andrews_2826,47.0,"""Reprehenderit; Veniam blanditiis at , A odit magni laudantium""","""(Omnis) , Recusandae laboriosam and Molestiae"""
jamie_cox_4032,66.0,"""Note: Qui, then Iure beatae""","""Quisquam, Accusantium commodi ipsam debitis Corporis debitis"""
catherine_jennings_4583,57.0,"""(Assumenda perferendis doloribus illum) , Temporibus dolores mollitia and Et laborum id""","""Note: Nesciunt eius voluptates, then Doloribus voluptatibus"""
sara_potter_1286,30.0,"""Voluptatum esse, Quidem saepe Est""","""Illum similique corrupti numquam; Aliquam illum , Mollitia maiores sunt"""
kirsty_summers_6565,51.0,"""Mollitia earum amet libero, Error ipsum dolorum Optio quo""","""Fugiat tenetur fugiat officia: Odio mollitia accusamus, Quo omnis harum"""
emily_hicks_9596,71.0,"""Animi dolorum, Laboriosam enim earum ea Velit expedita quia esse id sapiente""","""(Ipsum rem nulla) , Voluptatibus and Deserunt quidem"""
dr_fry_1525,50.0,"""(Autem et dicta) , Sunt eum and Qui culpa minus""","""(Inventore) , Nesciunt and Consectetur inventore eligendi"""
