username;rating;description
connor_sandoval_1064;92.0;'''Shake various: Stage their music; Century notice medical including'''
zachary_iv_9185;61.0;'''Need during five prove; Individual husband term others expect ; Attorney although'''
kristin_grant_0697;91.0;'''Wait Mrs sometimes; Always big company cause too ; Process appear'''
amanda_schneider_3072;54.0;'''Discussion determine; Even although tend service Ahead a sea'''
lisa_frederick_5154;23.0;'''(Others) ; On he ability and Season small deal'''
mrs_duncan_3925;76.0;'''House kid simply body: Same rule fire truth; Operation defense let'''
brittany_miller_0249;54.0;'''Note: Meet a; then Mrs seek wife marriage or successful'''
john_day_9903;93.0;'''(Least development need exactly wonder top) ; Account serious rate and Red consumer director here support'''
eric_mercado_4356;50.0;'''Note: School agree piece; then Past production'''
elizabeth_middleton_7606;13.0;'''Power apply difference; Return instead ; Building skin'''
michael_griffin_0672;41.0;'''(Manage) ; Seek grow chair wait crime unit and Line suddenly mother between'''
madeline_jackson_2684;59.0;'''Own defense; Result democratic once off Few stand action save'''
jon_christensen_4946;32.0;'''(Born represent require) ; Sometimes lay and Reality because'''
diamond_mitchell_4339;31.0;'''(Do official wife) ; Decision man trial water relationship and Moment mean every painting actually then'''
laura_nelson_5352;33.0;'''Level family people without general; Us risk claim ; Eight modern'''
jacob_brown_8305;89.0;'''Energy north all; Civil mother Easy price'''
keith_henderson_8615;98.0;'''Give nothing million; System positive away mouth Effort help address'''
zachary_hamilton_5369;;'''(Well glass wrong manage voice) ; Sense item development and Yeah none movie'''
david_page_6420;24.0;'''Note: Visit Democrat population read model; then Way indicate'''
bryan_baker_2037;81.0;'''Although represent dog close budget reduce: Hundred ever against; Through later'''
kevin_chapman_7494;31.0;'''Note: Big himself; then Cost popular sound age'''
katherine_mcclain_2075;96.0;'''President police we: Though billion car cost under; Relationship happen relate bill agency'''
megan_king_9073;24.0;'''Than security; Institution ground Drug decade forward rather'''
michael_robinson_9385;23.0;'''End including return within: Bad million; Voice across yard'''
julie_bryant_5190;47.0;'''Both; End appear region along sound ; Hair type'''
kathleen_reed_0395;65.0;'''(Group a large including about) ; Research family and Feeling necessary air'''
nicholas_collins_5612;6.0;'''(Hair you) ; Price once major paper cup and Free'''
steven_murphy_0425;5.0;'''Position friend; Pm adult ; Within'''
kara_robinson_0051;55.0;'''Win story peace per; So who character Anything only attack quality throw surface'''
david_cunningham_4105;55.0;'''(Son car center) ; Say they coach and Send cut'''
donna_martinez_8944;26.0;'''(Suggest media) ; Simply decide seek trouble and Director year issue imagine record'''
