username,age,salary,rating,note
dr_moore_1551,38.0,35.1,6.2,"""Note: Sapiente vero deleniti, then Magni in"""
dr_davidson_6572,72.0,69.1,85.2,"""Note: Vel libero, then Vero"""
miss_howard_0879,64.0,64.1,42.2,"""(Alias officia) , Sit eligendi quam reprehenderit aperiam and Molestias neque nesciunt exercitationem natus"""
luke_ellis_4273,56.0,67.1,79.2,"""(Similique qui expedita aspernatur eligendi) , Maiores reprehenderit quae and Magni atque"""
anna_byrne_0680,27.0,87.1,16.2,"""Iure dignissimos, Deserunt doloribus culpa Dicta est ducimus"""
kenneth_hope_4446,98.0,79.1,13.2,"""(Beatae) , At and Occaecati pariatur"""
oliver_cole_2021,89.0,14.1,79.2,"""Note: Architecto consectetur consectetur enim molestias, then Et ad rerum"""
dr_whitehead_9695,84.0,55.1,55.2,"""Veniam quas delectus perferendis: Atque, Aspernatur libero omnis"""
howard_berry_7134,12.0,38.1,21.2,"""A velit exercitationem enim, Exercitationem dolore Perferendis"""
marie_shaw_2005,72.0,67.1,79.2,"""Note: Possimus voluptate omnis numquam, then Magnam suscipit nisi aliquid"""
damian_taylor_9200,90.0,62.1,86.2,"""Laudantium cupiditate delectus: Magnam odit repudiandae dicta tempore, Temporibus sed"""
mohamed_evans_5068,38.0,60.1,82.2,"""Rerum maxime; Error sit dicta , Adipisci nam debitis"""
ms_gray_9586,87.0,62.1,100.2,"""Note: Perferendis inventore, then Dignissimos neque fuga"""
miss_begum_3148,,25.1,86.2,"""Sint est eligendi qui corporis expedita; Qui velit blanditiis neque mollitia blanditiis , Eum ipsum"""
dr_knowles_7588,32.0,1.1,13.2,"""Doloribus; Nam et soluta , Facilis explicabo incidunt eos"""
molly_davis_3247,20.0,40.1,46.2,"""(Occaecati) , Neque magni voluptates reiciendis est and Eos odio debitis corrupti"""
shane_norman_3529,77.0,40.1,57.2,"""Accusantium corporis magnam debitis eum iure, Quibusdam debitis perferendis Ipsum enim"""
mandy_edwards_4304,88.0,42.1,82.2,"""Note: Necessitatibus commodi odit, then Voluptates perspiciatis repudiandae iure"""
marion_wright_3198,58.0,27.1,27.2,"""Deleniti numquam aliquid: Expedita, Illum fugiat delectus"""
miss_williams_6131,65.0,61.1,91.2,"""(Dolorum) , Maiores ipsam distinctio vel and Perferendis ipsa"""
molly_iqbal_1452,92.0,27.1,,"""Maxime esse: Saepe maiores assumenda est, Odit reprehenderit"""
craig_potter_9026,42.0,12.1,66.2,"""Eligendi facere nulla itaque: Quam, Quisquam hic aliquid"""
debra_smith_4427,94.0,21.1,18.2,"""Note: Autem molestiae ea, then Quia illo dicta"""
elliot_wilson_3741,22.0,2.1,32.2,"""Note: Praesentium impedit amet vel, then Facere cumque necessitatibus quos"""
janet_mitchell_4865,94.0,11.1,11.2,"""Voluptatum natus; Ea quibusdam cupiditate , Ducimus nobis"""
mr_hobbs_6660,11.0,58.1,1.2,"""Note: Voluptas ipsam, then Velit rerum natus totam qui"""
aimee_rees_8494,52.0,30.1,82.2,"""Iusto laboriosam quos; Odit nesciunt pariatur omnis quo quis , Dolor vel ipsam"""
ms_hunt_6832,47.0,90.1,52.2,"""Impedit, Harum tenetur possimus eos dolores inventore Sequi accusamus iste"""
duncan_smith_9057,49.0,,91.2,"""Accusamus commodi, Mollitia omnis Iure provident deleniti"""
june_williams_5669,40.0,39.1,6.2,"""Temporibus eos iusto: Nisi explicabo quidem, Sed fugiat nesciunt deserunt"""
callum_matthews_0723,18.0,90.1,2.2,"""Note: Vel autem amet corrupti veniam, then Quis dolore"""
mrs_warren_7682,58.0,30.1,99.2,"""(Unde quae) , Laboriosam recusandae and Laborum vitae dolores"""
jenna_welch_1497,35.0,29.1,20.2,"""Consectetur magni molestias, Possimus dolorum nam Vitae nihil repellendus eaque inventore"""
