username;price;description
kieran_miles_5609;75.0;'''Mollitia: Expedita sequi amet; Similique'''
julie_cartwright_5819;19.0;'''Doloribus cum quam inventore repellat; Sint ; Dicta'''
ann_bell_6273;1.0;'''(Iste quod doloribus) ; Esse illo voluptatibus soluta and Quos inventore iure non'''
phillip_davies_6843;67.0;'''Note: Numquam autem; then Maiores'''
katy_wallis_7255;6.0;'''Excepturi reprehenderit: Quasi nulla odio; Ratione earum impedit dolores'''
deborah_holmes_8796;49.0;'''Unde voluptas necessitatibus; Error Ipsum commodi reiciendis'''
maureen_richards_8836;21.0;'''Architecto unde; Voluptate accusamus alias ; Deserunt cumque repudiandae'''
charles_savage_6088;40.0;'''Note: Sequi quam eos provident; then Tenetur sed'''
andrew_daniels_4261;40.0;'''Necessitatibus blanditiis; Voluptatibus et blanditiis ; Illo'''
miss_long_1253;83.0;'''(Neque nesciunt optio) ; Reiciendis ut and Amet quis facere'''
amanda_clayton_8754;17.0;'''(Praesentium corrupti sed) ; Temporibus repellendus ab debitis facere and Necessitatibus minus aliquid possimus iste'''
miss_brooks_3819;77.0;'''Note: Unde laboriosam dolor; then Labore odit iure'''
oliver_mills_2415;17.0;'''Distinctio odio accusantium laudantium ex distinctio: Distinctio cum repellendus; Recusandae omnis'''
dean_steele_7053;58.0;'''Ut a; Et Voluptatibus ea laboriosam voluptatem optio'''
hazel_russell_9522;66.0;'''Quam libero reiciendis; Eum beatae assumenda aperiam ; Consequatur fuga sapiente ad'''
mr_miah_4233;49.0;'''Laboriosam cum temporibus: Ullam temporibus; Consequatur nostrum rerum consectetur voluptatum'''
shannon_brown_8110;55.0;'''Facilis dicta: Qui quisquam quas; Excepturi laborum ipsam'''
ms_harding_5111;53.0;'''Note: Recusandae; then Occaecati accusamus voluptatum facere dolorum'''
antony_lane_9816;38.0;'''Laborum totam quasi; Adipisci velit rerum ; Libero id'''
alexandra_bell_7489;2.0;'''Note: Nesciunt laborum tempore beatae; then Error'''
ross_green_9640;66.0;'''Aut maxime occaecati temporibus quaerat: Nemo numquam voluptate quae; Autem architecto sapiente'''
ryan_brown_7063;61.0;'''Note: Amet quo debitis mollitia nemo; then Optio repellendus aliquid officiis debitis vel'''
joan_pratt_7453;44.0;'''Mollitia aut quam fuga libero libero; Deleniti ullam ; Atque eaque est consectetur vel'''
kayleigh_patel_6068;22.0;'''Beatae incidunt itaque; Officiis placeat itaque ; Voluptatum enim aperiam'''
jade_green_6608;58.0;'''Ratione explicabo laudantium; Quod corrupti quo Tenetur reiciendis'''
miss_lane_4344;48.0;'''(Quos commodi placeat) ; Ratione pariatur quasi and Praesentium'''
naomi_osborne_0732;27.0;'''Note: Facere nesciunt ullam; then Consectetur officiis mollitia aliquam eum'''
jacob_kennedy_8498;27.0;'''Ad porro vel; Voluptatibus Modi corrupti magnam'''
chloe_cook_6598;48.0;'''(Aliquam maiores magni) ; Doloremque voluptatum nostrum tempore and Exercitationem corrupti accusamus similique'''
denis_lord_9174;;'''Similique repudiandae id: Omnis iusto; Iste cumque accusamus'''
carol_black_9933;68.0;'''Note: Accusamus; then Ducimus quae unde'''
bruce_williams_7550;67.0;'''Error aperiam reprehenderit: Omnis reprehenderit nemo; Voluptatem'''
dr_turner_3930;22.0;'''Voluptatum nesciunt repellat quia voluptates dolores: Assumenda accusamus; Aspernatur assumenda quam'''
callum_harvey_6813;88.0;'''Note: Sint aspernatur iure accusamus; then Laboriosam laudantium vel consectetur expedita'''
lesley_davies_7997;30.0;'''Note: Veniam tempora minus ipsa quis placeat; then Magni fugiat'''
barry_ford_7741;69.0;'''Note: Sint aut; then Totam ipsa dicta accusamus'''
shirley_ahmed_9436;84.0;'''(Officia pariatur molestiae ut nobis) ; Ut repellendus perspiciatis esse quod porro and Eius repellendus'''
miss_simmons_9309;60.0;'''Deleniti maiores: Cupiditate consequuntur dolore; Ea ut quasi et aut earum'''
connor_allen_4452;38.0;'''Et nulla natus; Fugit Soluta unde natus placeat'''
alison_fox_7346;5.0;'''(Cupiditate unde aut) ; Iure perspiciatis nisi and Eum'''
adrian_stephenson_0567;73.0;'''Note: Voluptatibus illo; then Nihil vel aliquam'''
steven_clarke_0719;8.0;'''Alias nostrum aspernatur; Alias consequuntur quae ; Pariatur quae tempora'''
benjamin_willis_0229;54.0;'''Aut ipsum sunt; Eius quibusdam quasi ; Quasi eius doloremque'''
carol_dean_7059;47.0;'''Similique aliquam deserunt: Nesciunt perferendis; Saepe illum reprehenderit aut'''
neil_frost_1042;3.0;'''Occaecati amet; Laboriosam ; Consequatur facilis'''
frederick_welch_7247;5.0;'''(Necessitatibus) ; Aspernatur hic aspernatur ratione quo and Aliquam dolore provident quia aspernatur'''
amy_rogers_0086;26.0;'''Expedita nam voluptatem quam architecto eaque: Quasi; Provident necessitatibus qui'''
lewis_williams_8694;86.0;'''Temporibus harum perferendis corporis: Illo iusto; Dolore quia voluptatum'''
kathleen_hall_8491;87.0;'''Note: Eaque consequatur ipsum; then In recusandae non excepturi deleniti'''
dr_middleton_5591;98.0;'''Note: Laborum dignissimos illum harum dolorem; then Harum'''
