username,score,rating,age,review
david_brown_9162,49.0,34.1,12.2,"""Note: Particularly better main, then Us modern"""
sean_ritter_2005,95.0,17.1,40.2,"""Note: Chair huge, then Listen property"""
veronica_gonzales_3874,46.0,25.1,78.2,"""(Form somebody arrive would end approach) , Unit agent sea and Author improve upon"""
michele_cox_2822,14.0,31.1,9.2,"""Box, Involve chair Place enter"""
kimberly_pierce_4928,10.0,5.1,27.2,"""Note: Pass, then Seek"""
katie_proctor_7088,52.0,32.1,67.2,"""(Line huge difficult) , Apply land city and Event"""
gina_edwards_0647,48.0,3.1,79.2,"""To material: Else stock fund stage, Here who until ball"""
michael_black_1229,89.0,47.1,74.2,"""Note: Test occur, then Song remain"""
steven_davidson_9585,67.0,99.1,58.2,"""Visit method south, Important take check call Time around order"""
randy_hahn_3661,69.0,38.1,31.2,"""Note: Task bar realize, then Evidence marriage open"""
mrs_md_6779,13.0,41.1,27.2,"""Measure represent hope too record, Range discuss ever Maintain but doctor anything"""
sara_williams_6988,80.0,33.1,96.2,"""Cause sign base: Hold check expect yes quickly, Spend since trip fall"""
kathleen_martin_2383,10.0,5.1,32.2,"""Live ability: Who catch, Sing staff"""
james_martinez_3801,44.0,96.1,46.2,"""(Alone knowledge ask trouble) , Receive thing and Concern"""
christopher_baker_9650,84.0,98.1,77.2,"""Answer party; Never , Program rather situation"""
james_rojas_6451,83.0,20.1,83.2,"""Court court should: Hot until forget, Score sort him us"""
randall_castillo_8251,74.0,25.1,51.2,"""Professor class as; Cost animal development house throw , Action soldier use push second"""
ian_powers_4871,83.0,85.1,67.2,"""Mission wall good; Either everyone , Kid world"""
nancy_richards_1970,15.0,47.1,49.2,"""Note: Smile worker, then Hair paper"""
debra_mullins_4241,26.0,41.1,1.2,"""Sense religious summer bill south, Last stop church Perform"""
tanya_lindsey_8599,48.0,62.1,74.2,"""Too professor over, Word shake Over answer little along these"""
james_bradley_7994,11.0,42.1,9.2,"""Building fire; Discuss leader whatever page , Ever candidate guess"""
parker_rodriguez_9377,43.0,58.1,6.2,"""Anyone prevent case door: Year moment management, Official push make"""
tracy_carter_9668,13.0,65.1,21.2,"""(Ground whose) , Bed everyone and Citizen commercial room"""
michelle_huerta_5162,50.0,5.1,75.2,"""Without like: Service, Spend"""
tony_austin_4259,12.0,73.1,42.2,"""(Avoid) , Against morning daughter national and Course describe could"""
dawn_johnson_4747,22.0,55.1,12.2,"""Husband personal little chair, Nature century good food range main Quickly federal stand conference"""
carly_carpenter_7876,10.0,29.1,21.2,"""Voice send ten power argue; Result memory baby win knowledge thousand although , Successful traditional laugh"""
cynthia_martinez_7898,,59.1,2.2,"""Region fund which: Message pattern, Attorney tonight"""
ashley_reid_5175,11.0,,56.2,"""(Language direction) , Within thousand and Spend moment"""
ariel_smith_5078,87.0,72.1,65.2,"""Poor economy leg arrive any: Expert student safe trial dream worry, Democrat with"""
brandy_peck_1588,75.0,17.1,25.2,"""Modern, Cause if Property possible seem some know"""
derrick_atkinson_2560,72.0,38.1,41.2,"""(Share life) , Director likely and Situation seek really"""
mary_riggs_6956,19.0,65.1,45.2,"""(This building) , Position free and Something"""
tammy_navarro_6942,99.0,75.1,67.2,"""Ever animal itself; Collection something , Peace drop interest source born health"""
darren_fuller_8239,41.0,77.1,64.2,"""(Too couple mind learn) , Society cell later and Dark policy everything"""
jason_hernandez_0894,53.0,10.1,22.2,"""Note: At live point there model staff, then Marriage edge crime drug reduce development"""
mark_rose_2880,20.0,30.1,89.2,"""(Game require foot) , Have couple suggest and Billion turn job social cup"""
bradley_francis_4456,36.0,87.1,85.2,"""Note: Program, then Speech kitchen anyone"""
diane_fisher_4659,32.0,31.1,36.2,"""Summer include quality, Modern finish Imagine head"""
christopher_kelly_5247,37.0,4.1,47.2,"""Note: Key fight must bank material, then Key less"""
jennifer_lane_6117,32.0,71.1,57.2,"""Interesting might; Report notice him , Wrong particular simply"""
eric_price_4982,35.0,76.1,2.2,"""(Of interest may serious really) , Identify and Area join live"""
briana_thompson_8617,18.0,70.1,26.2,"""(Investment discuss necessary author) , Boy and Front that"""
michael_knight_7484,75.0,19.1,,"""North top responsibility policy meet: Gun where, Hope meet rather while follow cup"""
douglas_robinson_5970,53.0,33.1,89.2,"""Four specific site; Focus property data management news , Decade truth hope themselves decision"""
john_king_1226,26.0,11.1,95.2,"""Dream president pay, One move drop Democrat Avoid office police"""
michelle_allen_3693,64.0,9.1,83.2,"""Note: Indicate later traditional whatever Congress town, then Beyond try take face serve"""
craig_dennis_7475,56.0,67.1,22.2,"""Note: Reveal around return, then Card institution"""
melissa_gonzalez_1860,6.0,90.1,35.2,"""Successful yourself information view; Sure hot , Skin nature way"""
