username,salary,rating,remark,summary
diane_md_8332,15.0,58.1,"""Determine: Decade, Order actually common contain""","""Dark top dream: Material, Maintain only result southern career"""
thomas_harvey_7058,82.0,,"""Arrive quickly worry, Environment many election House recent""","""Seat culture court land; Program reason , Garden process air this deep"""
tammy_roberts_7485,94.0,6.1,"""Manager hand moment, Standard condition these sing Huge may""","""Risk likely, Between sit decision Decade key not"""
alex_ritter_4191,4.0,80.1,"""(Nothing speech) , Concern fire and Outside read really report middle""","""Pattern PM, Garden Prove why imagine"""
melissa_white_1247,67.0,46.1,"""Scene line situation another: He must fight city best, Ok""","""Note: Partner wonder memory late ten, then As no"""
carol_olson_7492,95.0,98.1,"""(Either step safe) , Gun on fear and School everyone peace out scene""","""Every everyone college, Remain author Work society community argue able think"""
michael_rodriguez_9082,97.0,1.1,"""Note: Old sign, then Side seek""","""Note: Leave policy firm, then Teach quality care"""
pamela_gonzales_2427,37.0,85.1,"""Avoid wall suggest former media; Call throughout , No result debate customer probably his""","""Case government tend my expert owner; Teach wide up peace , Pressure story"""
gregory_carney_8573,99.0,22.1,"""Four most environment, Only ability a next Glass everyone five audience pretty view""","""Note: Pretty author, then Space experience"""
dr_jackson_8535,53.0,21.1,"""Kitchen especially: Only type fish product, Under""","""Note: Sit price event term four, then And nor politics"""
michael_steele_1489,23.0,88.1,"""Reality theory democratic; Religious series itself reveal , Follow""","""Body make price pattern, Major clear short Attack hot image buy old"""
dustin_moon_2585,40.0,25.1,"""Use garden clearly present available tend arrive, Specific experience forward Great office professor""","""Whole executive face; Season , Senior meeting age always"""
joshua_zamora_8741,29.0,41.1,"""Public who, Race into national Reach adult north""","""Now adult especially everybody party, Yet education rather style suddenly room Lay teach billion plant recent million"""
amy_smith_2012,,17.1,"""(Smile meeting window like daughter) , Thus produce and Much mind begin go""","""True drive race sign: Fear, Baby guy whatever man generation why"""
kayla_crawford_7346,54.0,10.1,"""Eat process; Begin today term , Water out himself""","""(Place one since place) , Step loss senior experience business music and End talk where"""
troy_mendoza_4690,99.0,78.1,"""Spend some office; Country serious , Explain technology message""","""Note: Reflect, then Evidence standard subject read civil"""
oscar_reed_8683,29.0,78.1,"""(Describe) , Test view and Day although and""","""New oil capital; Hit ask , Natural message until conference"""
david_maynard_9267,69.0,24.1,"""Once phone stop nothing, College at sometimes Star including""","""Enjoy nor rise eat: Surface add task off another here, Team"""
shannon_horton_0883,48.0,61.1,"""(Effect blood real sing opportunity) , Minute hair set and Discover third""","""Speak ahead Mrs operation: Inside, Green clearly everything subject"""
jessica_dvm_0671,17.0,52.1,"""Note: Everything fight avoid, then Floor write chair challenge""","""Organization street: Walk moment story according describe conference, Authority out several truth"""
adam_ellis_2504,94.0,43.1,"""Note: East, then Mind artist conference score million""","""Artist bring itself surface upon; American drop would , Environment worker"""
daryl_ortiz_4936,34.0,36.1,"""North enjoy there region tell, Fact happy Affect manager international face nothing plan""","""Threat his fire green official, Sea manage him Year theory"""
brent_coleman_1891,46.0,34.1,"""(Question cold) , Garden five goal and Real data""","""(Raise why film) , Positive and Sport Mrs common relate"""
kevin_jones_2879,73.0,3.1,"""Note: Player ask occur style, then Ground employee""","""(Strong ok bit) , Note read and Student whom concern"""
michael_arnold_5271,95.0,18.1,"""(Him) , Somebody ever garden and Media decision""","""Note: Despite either, then Interest blood not catch phone"""
kayla_castillo_4142,68.0,35.1,"""Wrong skill true, Almost left kid cut only painting Indicate give""","""Nothing, Job carry Detail already power bring"""
