username,price,note
dr_king_1056,19.0,'''Note: Aperiam dolores culpa, then Rerum perferendis expedita'''
gemma_mitchell_1175,65.0,'''Eum laboriosam alias, Atque rerum sunt Placeat maiores architecto adipisci'''
barbara_johnson_7021,86.0,'''(Iste necessitatibus ipsam in corrupti) , Nulla molestias and Ut est autem quia'''
miss_robinson_7017,49.0,'''Note: Expedita quisquam, then Consectetur a natus ratione'''
alexander_bell_2001,80.0,'''Ratione; Omnis nemo doloribus corporis , Impedit'''
josephine_cooke_9154,10.0,'''Note: Recusandae dolore, then Distinctio earum placeat temporibus'''
chelsea_anderson_2150,93.0,'''Non vitae corrupti; Ab praesentium assumenda explicabo a , Sunt ea assumenda'''
diane_moore_9405,92.0,'''(Eaque) , Doloribus ut ipsam and Quas'''
dr_jarvis_1022,10.0,'''Voluptas, Numquam dolore repellat Excepturi molestias debitis commodi doloremque'''
charlotte_savage_2328,84.0,'''Cumque animi quos; Quidem cum dolor nihil quaerat optio , Commodi alias fugit commodi'''
alexander_roberts_3560,70.0,'''Eveniet, Minus sint unde voluptatem nesciunt officia Possimus ducimus officia iure'''
tina_taylor_3654,62.0,'''Note: Vel maxime alias, then Debitis totam'''
dorothy_robinson_3240,36.0,'''Praesentium commodi at: Id, Sed illo'''
dr_harris_5551,19.0,'''Porro rem veritatis; Accusamus ipsam rerum atque aliquid itaque , Qui autem commodi'''
gillian_ross_3384,2.0,'''Recusandae asperiores minus repudiandae ratione hic; Exercitationem recusandae assumenda , Ipsum'''
hugh_ross_7915,25.0,'''Note: Recusandae consequuntur quae sint ea, then Quod dicta rem'''
lawrence_pickering_9412,62.0,'''(Blanditiis sequi ullam) , Assumenda doloremque and Fuga delectus sapiente quae'''
mr_davey_8402,100.0,'''(Consequatur praesentium ex esse tenetur) , Numquam commodi ab and Officiis'''
joyce_hutchinson_1374,22.0,'''Tempora quis, Ut cum placeat assumenda quia facilis Dolores qui culpa quam'''
ryan_phillips_8683,9.0,'''Aut neque fugit natus tempore; Id nisi , Soluta aut distinctio'''
jenna_leonard_7544,25.0,'''(Soluta accusantium amet quis ipsa) , Explicabo alias and Quidem expedita'''
gillian_saunders_7488,18.0,'''Note: Libero reiciendis a, then In quidem debitis doloribus'''
cheryl_brooks_5127,93.0,'''At et; Nostrum modi consequatur , At aliquid'''
jacqueline_curtis_1600,32.0,'''Magni hic: Dicta esse, Maxime ducimus'''
douglas_gilbert_8053,2.0,'''Ipsa perferendis maxime, Natus natus quisquam Est rem'''
norman_wallis_2526,,'''Note: Doloribus amet nulla, then Quidem'''
george_gill_7646,79.0,'''Ratione architecto, Sunt Commodi ullam ratione dolor'''
mr_herbert_0746,28.0,'''Note: Voluptas voluptate sed accusamus, then Iure illum'''
amelia_barber_5158,10.0,'''Itaque blanditiis: Quo voluptate nisi similique, Ut voluptatem cupiditate'''
mrs_james_5556,80.0,'''Illum animi ipsa fuga: Aspernatur voluptatibus dolorum, Molestias quasi architecto consectetur'''
joan_bates_2881,64.0,'''Odit et animi; Blanditiis ipsum unde , Deserunt adipisci'''
neil_king_4358,55.0,'''Voluptate facere; Voluptate mollitia ipsum , Saepe'''
louis_evans_6515,79.0,'''Note: Minus rem temporibus atque odit accusantium, then Minus nesciunt'''
damian_wells_9076,79.0,'''A, Nihil officia Inventore qui officiis'''
diana_palmer_1124,6.0,'''(Nobis aut velit) , Qui and Aliquid'''
mohamed_barton_4572,22.0,'''Assumenda porro deleniti, Sit in praesentium iusto Nisi'''
joshua_sullivan_9576,76.0,'''Note: Nemo vero eveniet, then Illum illo eum atque'''
gerald_harrison_0505,86.0,'''Note: Dolor, then Perferendis'''
guy_evans_6183,94.0,'''(Inventore mollitia) , Neque corrupti and Voluptates architecto'''
julie_myers_4887,35.0,'''Voluptates: Nulla fugiat recusandae nobis, Reiciendis facere'''
ruth_fisher_2935,31.0,'''Sequi aspernatur; Laboriosam nemo officiis dignissimos , Voluptates minus'''
howard_patel_3889,9.0,'''Adipisci repellat, Occaecati Ea a ex'''
jay_murray_6564,1.0,'''Excepturi distinctio nulla voluptas, Voluptatum temporibus ab est culpa Excepturi provident nam eligendi et expedita'''
jasmine_jones_7818,29.0,'''(Natus a) , Sapiente autem and Quam'''
charlotte_green_1027,11.0,'''Note: Architecto, then Veritatis libero nostrum'''
carole_jones_2321,66.0,'''Rerum, Eum provident sunt cum veritatis Non cumque'''
kimberley_edwards_5667,28.0,'''(Libero recusandae nostrum) , Delectus laborum alias porro animi sapiente and Non illum aliquam'''
mr_owen_2149,68.0,'''(Repudiandae quibusdam odit) , Molestiae ipsam and Cum'''
mr_hussain_6786,25.0,'''(Quis optio) , Mollitia consequatur and Numquam laboriosam'''
