username;age;total_count;remark
joan_scott_5775;58.0;83.1;"""(Corrupti impedit fugiat necessitatibus minus) ; Fuga beatae autem modi voluptatem and Quo non"""
gail_chadwick_2920;91.0;10.1;"""Iste molestiae; Officia voluptate blanditiis Sunt voluptatem commodi quos quidem eum"""
melissa_ward_1379;62.0;24.1;"""(Iusto excepturi facere optio aut dicta) ; Quidem natus qui and Dolore magni iure"""
rosie_james_0169;66.0;99.1;"""Officia eligendi: Sunt; Temporibus minus"""
frances_griffiths_5655;38.0;10.1;"""(In fugit) ; Error sed similique and Corrupti vitae"""
molly_hughes_3815;29.0;53.1;"""Excepturi sit harum illum; Possimus omnis Voluptatem exercitationem assumenda maiores"""
dr_poole_5508;77.0;25.1;"""Note: Labore magni dolor eveniet recusandae; then Architecto quis"""
hugh_barnes_5530;66.0;17.1;"""Quaerat id ducimus cumque reprehenderit: Aut harum tenetur soluta quas ut; Ab possimus"""
mrs_schofield_7640;24.0;76.1;"""Dolorem architecto inventore ipsa: Officiis officia adipisci eum cumque; Occaecati"""
stuart_miles_2974;37.0;59.1;"""(Minus nam facilis) ; Aspernatur corporis ut and Aliquam quod"""
ryan_jones_5379;87.0;93.1;"""Ducimus est atque: Voluptatibus consectetur; Temporibus pariatur"""
mrs_moore_9160;74.0;88.1;"""Ipsa; Minima rem porro enim asperiores saepe ; Blanditiis ab"""
mr_lawson_2788;56.0;88.1;"""Ipsa sit delectus; Ea eaque Necessitatibus maiores"""
francis_bell_0055;33.0;97.1;"""Praesentium ducimus ipsum; Illo non beatae ; Sunt"""
stuart_brown_5224;91.0;54.1;"""Note: Quo quaerat cum; then Voluptatem earum rerum maxime"""
mr_turner_0827;100.0;33.1;"""(Cum nostrum suscipit doloribus id facere) ; Voluptates architecto quidem nemo and Tenetur expedita inventore ducimus consequatur"""
maureen_wood_7950;49.0;31.1;"""Itaque quisquam; Minus aliquid ; Quaerat"""
jasmine_lewis_3586;53.0;;"""Note: Eligendi maxime vitae delectus recusandae nemo; then Nesciunt doloribus nam quo"""
dr_smith_0118;25.0;95.1;"""(Et consequuntur) ; Excepturi consequuntur and Quam in quibusdam illo sequi"""
molly_smith_2147;53.0;13.1;"""Quod quaerat doloribus assumenda sed; Fugiat facere neque similique quia Cupiditate error"""
teresa_cooke_8927;44.0;94.1;"""Voluptatum necessitatibus perspiciatis; Itaque illo praesentium ; Blanditiis dolorem doloremque"""
clare_mills_4436;55.0;39.1;"""(Quis ipsa) ; Recusandae sint laudantium and Recusandae neque totam"""
eleanor_rogers_3794;65.0;35.1;"""(Ratione blanditiis quisquam) ; Illo facere a eaque optio quibusdam and Eligendi"""
ms_james_6455;24.0;11.1;"""Ducimus blanditiis maiores veniam: Corrupti autem a; Facilis aliquam"""
dr_stone_7844;48.0;56.1;"""Ab: Repellendus odio deserunt; Animi dolorum quos voluptatum"""
jamie_lawson_2338;56.0;75.1;"""Esse cumque in; Tenetur hic consequatur perferendis non ; Odit pariatur"""
jeffrey_farmer_4796;;69.1;"""Officiis reiciendis explicabo deleniti; Perspiciatis iure quis expedita Ab est dicta"""
