username,rating,total_count,salary,summary
terry_smith_4498,1.0,53.1,99.2,"""Rem exercitationem iusto, Laboriosam libero cumque corrupti expedita soluta Quam possimus"""
ms_barrett_0564,47.0,68.1,65.2,"""Note: Autem, then Animi vero"""
dr_phillips_1985,71.0,36.1,20.2,"""Fugit animi ab sequi, Neque Quis nesciunt"""
glenn_davies_5576,25.0,88.1,57.2,"""(Perspiciatis ullam voluptatem excepturi) , Iusto possimus expedita dolores and Cum fugiat assumenda doloremque provident dolor"""
hollie_haynes_0765,90.0,38.1,17.2,"""Ullam; Fuga porro , Odio deleniti porro reiciendis"""
clive_butler_3771,29.0,90.1,37.2,"""Excepturi quia: Libero laboriosam a, Ab"""
jack_singh_8291,90.0,17.1,95.2,"""Note: Ipsum eos, then Amet impedit repellat"""
nicola_thompson_5822,72.0,41.1,89.2,"""Voluptate tempore reiciendis fuga: Quibusdam, Veniam a exercitationem"""
hazel_crawford_7161,84.0,9.1,33.2,"""Laborum reiciendis, Earum deleniti debitis praesentium Voluptatum soluta"""
ms_lewis_2334,84.0,60.1,19.2,"""Note: Quas impedit illo, then Beatae beatae assumenda"""
dr_ford_6205,99.0,10.1,21.2,"""Minima asperiores; Natus numquam maiores , Reprehenderit iste delectus delectus ducimus"""
michelle_harding_7549,39.0,46.1,5.2,"""Vitae: Sunt quia, Itaque laboriosam"""
claire_kirby_1854,7.0,8.1,26.2,"""(Quidem corporis animi) , Error vero assumenda and Recusandae voluptate eius"""
reece_smith_0893,22.0,15.1,27.2,"""Numquam optio praesentium possimus, Blanditiis inventore fuga Exercitationem"""
rhys_sanderson_2983,100.0,68.1,19.2,"""Note: Magnam iure, then Doloremque"""
justin_wallace_0100,,41.1,31.2,"""Perspiciatis repellendus, Eius aliquid Dicta"""
glenn_iqbal_5776,30.0,34.1,85.2,"""Sed laudantium accusamus, Quis placeat voluptatibus Nam incidunt perferendis molestiae accusamus"""
joanna_fox_4705,17.0,91.1,72.2,"""(Adipisci a) , Labore vero magni dolore suscipit and Voluptatem pariatur"""
kelly_murphy_0321,65.0,37.1,64.2,"""Tempore eaque cupiditate optio: Eum quod nulla, Corporis quasi consequuntur delectus"""
dr_phillips_7360,74.0,46.1,,"""(Deleniti amet) , Veritatis assumenda culpa and Ad impedit"""
kim_green_0616,53.0,34.1,31.2,"""Consectetur consequuntur: Fugit dolore, Natus delectus"""
allan_preston_5019,35.0,67.1,69.2,"""(Dolorum nam) , Temporibus and Sequi est"""
sarah_murphy_4720,33.0,69.1,38.2,"""Optio sequi adipisci; Placeat voluptatem deleniti sed , Eligendi"""
marcus_carpenter_4634,21.0,67.1,64.2,"""Quis fuga ad saepe ullam: Commodi omnis perferendis, Vitae animi esse quisquam"""
mrs_townsend_3969,61.0,82.1,99.2,"""Quod voluptatibus quasi voluptatum: Ad ea omnis, Cumque"""
charlie_jones_3368,35.0,9.1,42.2,"""Labore, Officia unde nesciunt iste Architecto voluptas necessitatibus quaerat"""
abdul_mann_3713,87.0,31.1,71.2,"""Facere assumenda; Iusto enim , Id dolor doloremque a culpa"""
bryan_anderson_6167,95.0,94.1,12.2,"""(Exercitationem saepe soluta nobis magnam) , At illo and Tempora ipsa illo facilis minima"""
jacqueline_norman_6975,83.0,15.1,35.2,"""(Impedit exercitationem consectetur) , Aspernatur eius labore quod corporis quisquam and Illo recusandae"""
dr_giles_5926,19.0,67.1,99.2,"""(Esse eligendi nisi eaque) , Exercitationem a ipsum maiores and Aliquid ut"""
marcus_patel_4784,92.0,95.1,23.2,"""Hic repellat: Error quibusdam eum, Nihil amet aspernatur magni officia"""
victor_fox_5683,5.0,,12.2,"""Rerum soluta maxime, Dignissimos Fugit provident necessitatibus"""
lawrence_morgan_2938,96.0,75.1,41.2,"""Note: Nemo in, then Occaecati occaecati consequatur eius"""
diane_owens_5000,25.0,17.1,15.2,"""A error commodi: Quasi, Provident saepe in"""
olivia_smith_9486,87.0,1.1,30.2,"""Assumenda eveniet libero: Velit assumenda, Quaerat aperiam ullam temporibus"""
eric_martin_1840,86.0,64.1,8.2,"""(Alias nemo eum porro sapiente) , In atque and Nesciunt"""
mr_armstrong_5579,50.0,55.1,87.2,"""Rem: Atque doloribus nihil sit illum beatae neque, Quae quod praesentium sapiente"""
clive_bull_7687,97.0,69.1,37.2,"""At suscipit, Asperiores provident Veniam"""
karen_king_7305,60.0,61.1,35.2,"""Dolorem laudantium; Inventore saepe vitae dolor nihil ab , Laboriosam maiores"""
ms_taylor_9651,55.0,24.1,26.2,"""Eum sequi, Eligendi non omnis fugiat labore Modi rerum maxime voluptate alias"""
gail_richards_9044,58.0,12.1,98.2,"""(Vel ut exercitationem) , Sed explicabo and Dolor corrupti eius"""
duncan_matthews_2721,53.0,37.1,93.2,"""Dignissimos eum dolore laborum sapiente; Optio totam itaque cupiditate , Voluptates possimus deserunt perferendis iure"""
vincent_marsden_0140,62.0,70.1,73.2,"""Velit facere animi dolores necessitatibus: Saepe qui deserunt, Officiis aliquid molestiae animi"""
lewis_porter_5943,16.0,80.1,60.2,"""Sapiente; Maxime quam exercitationem , Commodi"""
aaron_page_3583,78.0,67.1,81.2,"""Magnam necessitatibus ducimus nostrum, Est deleniti illum Veniam illo distinctio"""
