username	rating	price	review	message
bernard_lee_8579	20.0	25.1	"""(Dolor aut quia dicta) 	 Enim earum and Ipsum eligendi rem"""	"""Corporis provident sequi; Ipsum velit libero porro 	 Doloribus sit pariatur"""
malcolm_cook_9682	89.0		"""(Maiores aspernatur) 	 Consequatur beatae and Ad dolorem ullam officia"""	"""Assumenda debitis; Voluptatibus vitae perspiciatis error 	 Reprehenderit saepe"""
jemma_slater_0231	37.0	35.1	"""Aperiam quam	 Deleniti fugiat voluptas eos consequuntur excepturi Dolorum minus nulla"""	"""(Ex ducimus) 	 Ducimus cum vero and Quia reprehenderit hic"""
stephen_moore_6154	30.0	47.1	"""Eveniet ipsum totam dolorem; Temporibus incidunt soluta 	 Reiciendis quos corrupti"""	"""(Optio veniam aliquam numquam) 	 Omnis quaerat natus eligendi and Tenetur eos"""
mrs_turner_5521	97.0	31.1	"""Officia reiciendis asperiores accusamus ex	 Sint accusamus saepe sit sapiente Repudiandae consectetur architecto earum"""	"""(Maxime eius minus rerum pariatur) 	 Nobis ducimus ullam voluptas and Eaque omnis"""
darren_wood_3219	58.0	21.1	"""Aliquam quaerat occaecati odio; Ducimus harum quo optio dolorem 	 Ipsum cupiditate"""	"""Illo sit vero aliquam adipisci: Nemo voluptatum officia odit	 Nostrum ullam vero vel ipsum"""
carl_richards_7024	84.0	18.1	"""Ex perferendis dolores nobis perspiciatis: Ab	 Nemo hic facere libero labore"""	"""Autem exercitationem; Id aliquid quasi accusantium ullam 	 Dolore beatae"""
stuart_bates_8448	1.0	34.1	"""Nisi repellendus tenetur quae eligendi totam	 Dolore quaerat facere accusantium Labore quod voluptates"""	"""Note: Minus	 then Distinctio at ex"""
leslie_fletcher_0308	55.0	22.1	"""(Suscipit) 	 Accusamus ipsum and Enim rerum aliquid"""	"""Incidunt nulla	 Dolorum quo Magnam"""
hannah_arnold_0633	15.0	95.1	"""Quo nulla minima aperiam laudantium voluptates	 Iusto error Ducimus tempore accusantium consectetur"""	"""(Error nesciunt) 	 Aliquid autem in ipsa and Neque numquam"""
benjamin_mistry_5649	70.0	32.1	"""Nihil: Quas	 Eum natus perspiciatis"""	"""(Totam adipisci) 	 Sapiente at ut and Ut consequuntur assumenda nam"""
ms_harris_3231	4.0	82.1	"""Note: Itaque beatae perspiciatis labore eligendi	 then Sed earum"""	"""Note: Enim similique cumque aspernatur	 then Nemo"""
stanley_taylor_4995	37.0	35.1	"""Mollitia: Vel maxime facilis illo	 Maiores optio corporis"""	"""Voluptas labore dolores: Molestias at	 Earum sint velit consequuntur"""
naomi_hill_2043		48.1	"""Possimus quae minus	 Eligendi optio vitae voluptas mollitia Consequuntur fugiat"""	"""Alias dolor maxime soluta illum; Dolores possimus incidunt 	 Cum neque"""
kyle_khan_9431	22.0	22.1	"""Note: Exercitationem autem inventore ducimus	 then Quasi unde molestias perspiciatis vitae repellendus"""	"""Note: Nulla perspiciatis numquam exercitationem	 then Necessitatibus facere ab"""
mrs_davis_6978	13.0	42.1	"""Note: Neque perferendis sequi dolorum	 then Praesentium delectus"""	"""Cum quaerat	 Adipisci quisquam iusto dignissimos Necessitatibus rem nisi"""
mitchell_ward_9717	4.0	27.1	"""Doloribus ut	 Possimus corporis excepturi asperiores Eligendi"""	"""Est eos quis	 Laudantium Non commodi dicta illo"""
gillian_steele_0988	85.0	65.1	"""Voluptatibus; Doloribus iusto ipsa maxime 	 Explicabo nihil quisquam quis"""	"""Facilis: Nihil deleniti nisi	 Voluptatum culpa"""
timothy_phillips_6782	51.0	80.1	"""(Maiores voluptatem doloribus praesentium) 	 Natus qui quidem quasi and Recusandae fugit provident consectetur"""	"""Voluptatum illum: Ex dignissimos neque	 Cum saepe"""
ms_north_7632	72.0	13.1	"""Aliquid ratione nostrum; Ullam dolorem impedit voluptatem 	 Quae voluptatem qui consequuntur"""	"""(Quo accusantium magnam) 	 Excepturi eius ut and Praesentium vero harum"""
sam_carey_0509	61.0	6.1	"""Perferendis voluptas consectetur eaque eum	 Quisquam Voluptate"""	"""(Tempore aperiam nemo) 	 Mollitia a eligendi and Magni"""
donna_bradley_8824	34.0	3.1	"""(Necessitatibus suscipit) 	 Similique and Occaecati similique"""	"""Temporibus numquam autem totam: Ratione	 Cum facere repellat enim rerum"""
christine_walker_9039	3.0	21.1	"""Note: Molestias harum ut doloribus	 then Ab eveniet delectus et debitis"""	"""(Atque dolorum labore repellendus) 	 Illo and Iure dolorum tempore debitis"""
valerie_khan_8709	9.0	7.1	"""Note: Reprehenderit nulla consequuntur	 then Ipsum omnis eos libero reiciendis"""	"""Note: Iure blanditiis quae	 then Odit laborum praesentium exercitationem non doloribus modi"""
mohammad_davis_5607	83.0	77.1	"""Sequi quaerat: Eligendi odit nostrum occaecati dolor	 Dignissimos"""	"""(Quae eius cumque) 	 Dignissimos and Facere earum ipsum"""
reece_johnson_4747	53.0	51.1	"""Ad qui dicta optio: Aliquam	 Neque saepe architecto sapiente"""	"""Note: Sunt laborum dicta officiis officia inventore	 then A tenetur impedit eum"""
