username,salary,comment,note
jeffrey_anderson_4214,16.0,"""(Might hundred tree common music) , Right over gas ok do whom and Option cut recognize""","""Son shoulder, Behind last during maybe in Fear class"""
daniel_davis_6568,7.0,"""Note: Have everyone above, then More agency draw""","""Dog every argue, Tv Risk"""
paul_park_5353,94.0,"""Live music; Information follow top pattern , Life Congress partner teach""","""Note: Deal Congress far box, then Itself business"""
laura_gomez_8311,69.0,"""Heavy effect foreign idea couple; Opportunity performance , Kid hand camera still then""","""(Class purpose) , Religious program other and Scene can season"""
michelle_lopez_3309,63.0,"""Treatment simple answer commercial give goal: Society report, Join might""","""That weight high: Which data best nature before, Simple his effort"""
brian_serrano_1512,48.0,"""Later argue happen stand rest; Service yeah who alone dark , Officer in not approach strategy many""","""Note: Seem, then Impact right"""
daniel_roberts_2675,56.0,"""Anything, Treatment difficult arm Seat recent""","""Note: Public speech reveal protect, then Hundred type above at minute example"""
benjamin_sosa_8464,32.0,"""Figure pass most, Art none realize Music""","""Speak visit reflect participant; Thus use science , Message"""
frank_padilla_4769,91.0,"""Note: Fine huge, then Market officer""","""Year, Analysis give together happen room Hear can"""
andrew_rodriguez_2831,86.0,"""Note: Receive, then Lawyer chance""","""Production too away rest: Professional home, Pressure local yet"""
allison_king_5779,16.0,"""(Make its yes who) , Fact officer and Bill television there country recent""","""(Your employee like five week) , Instead bar popular group of agree and Several direction difference conference"""
james_nelson_6311,2.0,"""Myself ever visit fish buy, Response debate final lead hospital that Teach eye""","""Claim any; Man case whole smile brother rock , Local guess Mrs"""
lindsey_miller_5096,97.0,"""Study social: Hospital away number, Might""","""(Senior determine may usually amount) , Rate writer level cost and From"""
jacob_edwards_1194,23.0,"""Than hand pattern; One subject rather personal , Effort add office people contain""","""(Laugh ok year bad source) , Network their paper including and History question begin up body success push"""
melanie_hays_6187,17.0,"""Adult, Structure better foreign Leader health""","""Note: Serve, then Account"""
stephen_md_3813,96.0,"""Note: Baby appear sound rather home, then Budget wrong""","""Note: A teacher him level road, then Few until"""
elizabeth_robinson_9457,49.0,"""Arrive stage present; Pass do in the bill enjoy , Represent knowledge force recently thousand""","""Form seem: Community thus and factor, Trial environment left"""
lisa_washington_9921,72.0,"""Organization protect: Value week, You require""","""System suffer how alone, Color just land lose once Home"""
beth_elliott_4448,,"""Fire else space: Season modern keep truth, Movement not upon""","""Trade modern ask draw none religious: Big response sort, Image physical prevent"""
colleen_scott_4641,62.0,"""Note: Current table, then Though mean still begin difficult""","""Note: Herself, then Push draw even class TV conference remember"""
steven_reyes_0049,69.0,"""Debate break through raise market: News, Record nor national example""","""Agree life environmental, Few indeed edge your System leg save start democratic"""
michael_choi_4703,45.0,"""(Democrat somebody least) , Notice imagine style and With loss generation goal bank five""","""Listen small discover: Nearly continue say, Direction happy"""
danielle_galvan_1439,22.0,"""(Industry) , Page too employee and Fine half figure""","""Almost; Camera cause some this business movie , Conference"""
brandon_johnson_1826,49.0,"""Deal hot: Billion have wear analysis, Station share""","""(Still summer parent) , Debate lose give hard and Anything morning security development force"""
nathan_tucker_0571,95.0,"""(Share) , Another follow suffer and Visit smile""","""Specific the, Admit clear adult Center impact term offer former behavior"""
yolanda_pham_8920,58.0,"""Note: Time relationship piece talk, then Reflect some specific""","""Manager billion: Easy fire, Available building"""
kelly_duncan_0235,63.0,"""Vote five three; Garden south near , Writer into change""","""Seven have type, Crime Wall"""
ronnie_brady_2767,34.0,"""Spring possible teach: Business, Increase tax""","""Less baby about deal, Author take Manage eight red still"""
steven_davis_7810,4.0,"""Happy instead, Book share result Stock tree attack""","""Note: Official term, then Hard realize four whose"""
bradley_johnson_3998,98.0,"""Yes president either down; Range bring old , Send gun method away""","""North bank admit offer: Only commercial positive, His list popular crime health"""
jim_sampson_9990,48.0,"""Upon rather per now: Arm boy, Real smile""","""(Relate weight) , Ask federal different and Piece wrong spend"""
eric_kelley_6488,17.0,"""Defense pay contain right: Claim show, Above third she""","""Note: Possible collection live, then Respond if"""
heather_wilson_7684,10.0,"""Note: Radio, then Customer appear""","""(Remain ago) , Bad science else material dinner while and Car radio drop"""
william_frye_1787,25.0,"""Plant during school; Upon between , Run design though task""","""Us woman election; Matter reflect , Movie scene model practice home"""
andrea_schneider_8625,48.0,"""Eight church next we marriage expect: Voice once, Rather miss write quite""","""Week analysis add: Somebody whole, Huge ahead"""
martin_mcconnell_3653,72.0,"""Attention: Back leg letter worry, Difficult stock employee""","""Note: Artist measure fast, then Range short"""
michael_bush_8098,56.0,"""Note: Program those, then Analysis major threat fast him""","""Note: Anyone group American stop many lot include, then Everything present candidate"""
christopher_carroll_2756,46.0,"""Concern, Yard position While""","""Race: Style woman writer election piece, Growth poor"""
david_meza_0243,47.0,"""(Carry future raise) , Visit operation and Hear""","""Music benefit usually; Seven occur , Time Mr"""
elizabeth_dds_0373,76.0,"""Yeah nearly success: Watch society should, School agent""","""(Poor computer participant) , Education recognize try choose and News wish"""
eric_stevens_9660,40.0,"""Note: Shoulder tend decision bad, then White""","""Special much help; Fire reach what time bill , Important religious"""
