username,total_count,summary,description
judith_collins_4560,24.0,"""Facere quam quod consequuntur, Pariatur tempore consequuntur necessitatibus Enim molestias""","""Et necessitatibus ad accusamus labore sint: Totam cumque esse quas, Libero reiciendis"""
antony_lane_9061,20.0,"""(Magnam totam id maiores) , Maxime est possimus and Quia voluptate assumenda veritatis""","""Blanditiis adipisci dicta; Dolore ex sed inventore libero , Aperiam ex"""
dale_williams_5421,42.0,"""Quisquam repudiandae molestiae: Molestias corporis error, Molestiae""","""Quia: Sunt placeat architecto numquam neque, Praesentium dolore nam"""
ricky_frost_6681,88.0,"""Perspiciatis molestias eius temporibus; Dolorum nesciunt facere laudantium blanditiis , At commodi""","""Officia animi optio, Soluta laudantium officia illo impedit aliquid Ducimus porro"""
ryan_lee_1224,79.0,"""Cum nisi incidunt eveniet quibusdam a laborum, Beatae odit sapiente dolor accusantium Rem quas mollitia debitis quia""","""Doloremque ducimus officia; Nihil fuga , Eligendi veritatis"""
martin_cooper_4657,96.0,"""Modi nihil odio debitis; Excepturi aspernatur non corrupti , Quia""","""Molestiae ab vitae, Esse sint repellendus Voluptas odit dolore cupiditate excepturi"""
mohammed_fitzgerald_1166,81.0,"""(Nihil similique) , Voluptas and Voluptatem sapiente""","""Reprehenderit ratione nemo velit: Facilis libero ratione, Eius"""
cameron_white_6396,13.0,"""Note: Asperiores, then Molestias""","""Note: Voluptate fugiat distinctio, then Vitae esse"""
lorraine_davies_7102,39.0,"""Omnis; Tenetur quo repellat animi debitis iure , Molestias eveniet natus repellat sint""","""Note: Consequuntur, then Quis voluptas aliquid"""
mr_russell_4801,20.0,"""Molestiae ducimus quisquam nihil; Nesciunt incidunt , Nam delectus harum numquam""","""Dolorem aliquam fuga: Repellendus molestiae pariatur blanditiis, Maiores assumenda quas optio omnis"""
ruth_smith_7742,87.0,"""Cupiditate est vel; Dolore ratione dolorum officia ducimus officia , Minus a""","""Note: Quas laudantium soluta officiis, then Eos quasi consequuntur"""
kirsty_lawson_8181,69.0,"""Note: Maxime odit officia, then Possimus rem quam""","""Note: Provident, then Itaque"""
kathryn_gordon_7893,90.0,"""(Sequi veritatis impedit) , Molestias quam and Perspiciatis""","""Doloremque dignissimos ab: Esse quae nam, Pariatur odio tenetur"""
judith_watts_6683,57.0,"""Odio minima quae, Fugiat iure Sequi debitis numquam eius""","""Facere alias beatae; Autem animi dicta accusantium , Quasi veritatis"""
geoffrey_ali_5852,50.0,"""Note: Quisquam ex minus, then Rerum doloremque quos consectetur iure""","""Note: Nostrum alias, then Veritatis"""
hannah_barnes_4398,42.0,"""(Fuga laboriosam labore) , Sint praesentium possimus and Earum""","""Nam; Unde eius quasi , Consequatur dicta"""
garry_willis_4561,67.0,"""Libero enim: Nulla veniam, Soluta optio corporis""","""Perferendis voluptates quam: Doloribus laudantium iure dolor nulla illum, Nemo necessitatibus"""
bethany_dodd_9204,74.0,"""Totam at aperiam a: Quidem incidunt dolore velit, Iure natus exercitationem quam""","""Note: Harum voluptatibus, then Quod qui sunt soluta a"""
julia_ali_1391,23.0,"""Aperiam non ea: Animi dolorem, Veritatis officia atque cupiditate saepe ipsam""","""Inventore, Dicta quasi mollitia Itaque vel"""
ms_gardner_8127,11.0,"""(Illum neque omnis doloremque eaque error) , Fugit blanditiis explicabo dolores sunt aspernatur and Sapiente fugiat cumque iusto""","""Vel: Sequi ab ipsam, Officia sequi"""
sharon_franklin_7673,30.0,"""Note: Qui officia, then Saepe quia provident libero""","""Facere: Provident, Quod molestiae repellat repellendus quasi eveniet"""
mrs_webb_4351,4.0,"""Note: Dignissimos exercitationem voluptates repudiandae repellat, then Distinctio fuga""","""Impedit nesciunt error voluptas impedit eaque: Officia quo ab quaerat incidunt quo, Facilis"""
emma_jordan_8006,56.0,"""Expedita dolores quasi quaerat deserunt; Dolor ullam , Nesciunt sunt""","""(Sapiente asperiores qui inventore) , Dolore magni ipsa and Quas eveniet magnam"""
ann_perry_3647,31.0,"""(Sequi cumque) , Explicabo dolorem totam and Iure vitae nulla doloremque""","""Note: Ratione sunt, then Quidem aspernatur"""
georgia_matthews_7289,,"""Minima beatae; Nisi tempore voluptatum , Error harum""","""Nam tenetur sed ipsam; Unde doloribus soluta reiciendis excepturi , Repellat reiciendis earum unde"""
