username;score;rating;description
megan_harris_6784;81.0;37.1;'''Cup network condition: Wall; Area small hair bill simply'''
kyle_walker_3006;14.0;24.1;'''Note: Avoid compare once; then Nearly look'''
jeffrey_lewis_9393;83.0;78.1;'''Note: Share hear purpose; then Situation form safe him'''
robert_garcia_4005;70.0;94.1;'''Quite; Team issue late painting Back star'''
patrick_sanchez_2537;84.0;51.1;'''Mission; Activity room Dream else'''
stephanie_white_7132;42.0;11.1;'''(Kitchen sing) ; Whatever indeed enter and Body school science'''
michael_phd_3326;58.0;55.1;'''War address; Church will defense write Most cover decision floor reduce'''
meagan_dvm_5030;16.0;79.1;'''Pull yard; Statement Land describe'''
john_white_8777;16.0;52.1;'''Everybody nor arm prove; Assume Republican ; Three up service'''
andrea_kennedy_1598;87.0;49.1;'''Note: The happen weight back people today; then Chance story fight reality possible'''
laura_west_1318;19.0;83.1;'''Note: Follow argue also table drop garden; then General action you'''
george_padilla_0036;42.0;15.1;'''Management friend discover hear: Adult person; Develop ball growth director soldier'''
paul_gardner_7088;29.0;79.1;'''Note: Newspaper yeah; then See month'''
martin_white_7790;23.0;88.1;'''Note: Process say himself; then Affect'''
luis_kennedy_7895;81.0;89.1;'''(System would likely national everyone) ; School huge catch wish too and Join discover base maintain name information'''
brian_santos_9072;16.0;99.1;'''(Scientist card) ; Way our attack and Here million support'''
mitchell_barrera_7054;82.0;67.1;'''Note: Throw she; then Their third'''
victoria_lewis_0487;17.0;;'''(Own finish morning director identify again) ; Way before air middle she everybody and President hope'''
richard_andrade_1574;31.0;82.1;'''Begin it not; Really street side Produce although yes final'''
joshua_barnes_1477;60.0;55.1;'''Mother girl memory green: Trip nothing support design institution stand; Door'''
edward_smith_8867;6.0;15.1;'''Six six source my: In there; Tend free story hand try'''
nicholas_martin_1694;39.0;47.1;'''Note: Glass upon lay law interest conference; then Investment'''
jerry_stevens_5195;87.0;79.1;'''Firm yes pay front; In push condition financial travel ; Dinner continue clearly'''
mary_jackson_1436;78.0;46.1;'''Work town crime; Grow production Like image'''
joshua_henderson_8760;89.0;71.1;'''Fall building home time situation; Technology exactly Participant behind color child send'''
elizabeth_tucker_5392;67.0;9.1;'''Result; Affect image address ; Position down leave off across'''
brianna_martinez_1244;57.0;26.1;'''Such society information: Perhaps car mean stop media; Space senior'''
daniel_ryan_0128;;12.1;'''Note: Term wind; then System'''
jacqueline_hubbard_6778;80.0;82.1;'''Meeting turn begin tend: Deal father tell leave; Successful business recent easy'''
colleen_holt_4586;11.0;90.1;'''Note: Perform; then Forward senior major'''
daniel_thornton_7581;10.0;67.1;'''Color language when machine: Party usually; Drug look'''
melissa_swanson_2260;23.0;37.1;'''Whether while really nothing manager; Television billion number grow house ; Far employee'''
joshua_wood_5230;9.0;13.1;'''Poor history friend; Force partner firm ; Walk'''
sherri_brown_8888;10.0;13.1;'''Station catch: Glass or billion; Firm dream like response foreign if'''
lisa_hernandez_0479;39.0;52.1;'''Guess; Land husband line ; Consider'''
kristy_barr_1330;64.0;73.1;'''(Next soon between model important right) ; Environment certainly and Break management'''
valerie_sanders_6521;26.0;21.1;'''(Trial movie) ; Son positive size discuss and Society size'''
