username,age,salary,score,comment,review
cynthia_wagner_8126,47.0,82.1,26.2,"""Note: Thousand person, then And amount""","""Note: Somebody fast, then Minute"""
debra_fletcher_7230,99.0,,40.2,"""Different point: Whom, Ok memory meeting""","""(Knowledge miss hundred) , Happy wear our conference and His performance along skin trip suffer"""
melissa_hurst_3432,96.0,1.1,87.2,"""(Worry wish) , Matter nothing and Put resource""","""Note: Three participant decade, then Training region evening"""
nathaniel_hudson_7766,53.0,50.1,69.2,"""(Fast) , Interesting whether and Star back""","""Note: Fight or federal, then Many writer"""
samuel_contreras_7579,52.0,48.1,71.2,"""Bad strong pretty, Measure blood special Article performance nearly""","""Program size; Building community enter popular more , Arrive table one kind road state"""
cynthia_fritz_4629,39.0,39.1,95.2,"""Note action indeed, Spring Agency pick""","""Relate including cover father, Experience after Its compare to"""
taylor_jennings_5548,96.0,76.1,85.2,"""Right gas, Sit bring include Almost head stuff evening""","""Example full; Federal chance , Affect become themselves simple"""
damon_sanchez_0774,17.0,21.1,,"""Generation wall care speech myself game; Word , Senior""","""(Event form arrive) , Wall each first and Republican maintain more"""
gina_garcia_7858,41.0,55.1,67.2,"""Daughter budget moment: According, Arm determine take""","""True student explain; Maintain trip , Pay use"""
patrick_dawson_3398,24.0,96.1,51.2,"""Sense success responsibility: Main front nature, Simply across""","""Town member; Something run , Attack American"""
edward_jensen_9068,5.0,79.1,19.2,"""Note: Listen material sea as, then Pressure subject case""","""Only girl, Thank fight Interest local"""
juan_stone_6950,16.0,7.1,40.2,"""Occur, Tend certainly My federal""","""Respond green, Deal remember control election than front letter Road better many place as"""
bruce_brown_4096,28.0,49.1,36.2,"""(Meeting quality particular red gas own) , Week read hundred and Summer away understand""","""Explain economic, Data performance attention site wife out Conference will old thousand movement"""
laura_james_2290,60.0,96.1,64.2,"""Note: Rate along, then Allow baby among various reach""","""Note: Speech scene cultural play such, then Skin everyone recently threat anything"""
theresa_schneider_8082,70.0,14.1,31.2,"""Event student other we step; Suffer friend , Indeed receive""","""Board take: Reason number job quite mean son, Approach individual"""
lauren_beasley_0127,26.0,21.1,71.2,"""Central eye suddenly; White our , Nation nice special miss budget middle""","""(Respond true nor affect) , Push decide and Foot office line"""
gabriella_lang_8775,7.0,76.1,95.2,"""Conference what, Sea eye Raise current raise hope party""","""Water age: Full brother, Talk"""
gary_norris_0193,42.0,40.1,89.2,"""Speech research who how stay, Nothing but dinner As bed property read""","""Board mention teacher: Hear sell hospital since, Team ok"""
patrick_allen_6809,52.0,12.1,48.2,"""Half require chair, Current fine community Short believe""","""(Such) , Blood dog the western treatment and Middle middle"""
max_hall_0979,26.0,86.1,94.2,"""Democrat type; Board far , Garden talk""","""Note: Detail send space, then History cell"""
nancy_porter_3548,2.0,91.1,66.2,"""Note: Second stop, then Hundred back""","""Month military because, Price Themselves administration result a"""
lisa_phd_8177,42.0,45.1,12.2,"""(Week once) , True and Market majority""","""(Better) , Wrong and Effort as stand have"""
ernest_garcia_1479,64.0,96.1,19.2,"""With nor red, Who Mr Off mind second""","""Painting since front field seek: Strong rest, Dog bring last relationship significant"""
ashley_schmidt_3619,88.0,49.1,80.2,"""(Most) , Race difference important and Art""","""(Beautiful stock consumer) , College cost control window and Our"""
stephen_davis_9626,95.0,80.1,48.2,"""Here than way character: Really represent employee hit, Water party knowledge""","""(During) , Around great and Yes form various politics walk population"""
wanda_thomas_4974,40.0,28.1,20.2,"""Small glass mother present college wide: Focus continue, Old individual now culture until""","""(Follow always between) , Scientist play gas pick growth and Model radio"""
sarah_ruiz_0130,41.0,56.1,14.2,"""Kid ahead, Hope popular beat policy ability Take""","""Note: Need second course marriage, then Company knowledge"""
elizabeth_cummings_2724,,30.1,5.2,"""Person; About behavior leave , Threat commercial""","""Government trial evidence chance soon focus; Author , Politics opportunity fear"""
jacqueline_paul_0033,71.0,49.1,13.2,"""Will either window: One reach thus, Quality present form treat no part""","""Herself; Television debate your perform , Purpose enjoy minute election"""
julie_austin_2141,97.0,47.1,74.2,"""Tough art, Soon hand base able area Energy""","""Choice prepare better girl usually however, Main Every management"""
kristin_brown_7632,38.0,36.1,90.2,"""(Million onto collection everyone) , Blood example and Body story send capital""","""Sure start, Listen control hospital Box"""
tony_sherman_2361,53.0,66.1,1.2,"""Choice say; Condition affect continue war treat , Writer""","""Note: Difficult interview wind process, then Far"""
madison_shepard_8773,75.0,82.1,31.2,"""Note: What strategy, then Ask water forget""","""Note: Price create threat drive, then Wife we provide war"""
rebecca_robertson_2901,73.0,82.1,18.2,"""Popular discover street name water, Recently TV responsibility give Purpose to""","""(Often hospital ask charge) , They every and Against leg effort"""
carol_miller_5427,48.0,2.1,21.2,"""Shoulder position myself free, Door medical Structure feeling base environmental entire outside""","""(Bank now law) , Total news and And man seek"""
john_henry_2103,32.0,100.1,26.2,"""Surface ability pull: Tree, Also similar least defense represent opportunity""","""First miss: Medical ever, Bad"""
alexander_andrade_7914,70.0,60.1,62.2,"""Note: His writer, then Left before song""","""Agree with sign order that history; Perhaps suggest , Energy write visit whole"""
david_nelson_7466,46.0,76.1,29.2,"""Responsibility: Well room myself sell, Herself space paper""","""Society reduce should season value responsibility: Change order college hand director, Citizen case"""
rebecca_mccarthy_3899,71.0,72.1,68.2,"""(Color continue) , Provide radio and Military election specific central carry""","""Week crime real but how none: Opportunity improve until, Do third other"""
mark_brown_5390,43.0,7.1,23.2,"""(School degree) , Hit save agent and Mission too""","""Note: Certain price, then Record list"""
