# This is a comment line to skip
username;rating;total_count;message;comment
timothy_brown_6721;11.0;4.1;"""(Mr consumer) ; Skin and Want key""";"""Note: Certainly program amount; then Tend"""
erik_hull_8801;86.0;65.1;"""Fact; Sing recognize though successful weight ; Quite bill""";"""Note: Value; then Seven"""
denise_davis_4157;12.0;17.1;"""(During various) ; Suffer black and Weight city real""";"""Determine environment instead environmental blood; Concern weight ; Late day"""
lauren_ruiz_2292;22.0;78.1;"""Note: Recently; then Identify ask become live""";"""(Civil voice pattern) ; Manager computer compare and Together foreign teacher"""
bobby_lutz_1798;61.0;48.1;"""Place high recognize along ability; Able including ; Major son deep difficult""";"""Share upon worker: If current; Ago main since still again"""
charles_blankenship_6722;46.0;31.1;"""Hotel argue; Away Blue movement put similar perform""";"""Central vote small: Ask parent; Cell current early number"""
craig_hall_2012;65.0;44.1;"""Where level son: Record; Design more work""";"""Note: Us culture financial protect Republican; then Himself lead"""
jennifer_lopez_4516;;96.1;"""(Window break management ground military) ; Room dream wall give middle and Quite commercial local chair""";"""(Customer activity drop) ; Evening and Laugh"""
joseph_dvm_5232;25.0;100.1;"""Note: Look capital; then Operation reach become""";"""Bring necessary: Above activity fire billion; Treatment work"""
matthew_ryan_0609;84.0;38.1;"""Energy no; Management church bag carry course bar ; Want""";"""Note: Far; then Interest six half during pull speech"""
tina_mcclain_9476;28.0;8.1;"""(Many how) ; Again choose and Nation beautiful rise""";"""Note: They party hope arrive; then Him manage they current operation clearly"""
andrea_saunders_7222;19.0;91.1;"""Couple fine; Necessary ; International""";"""(That take) ; Coach record and South politics center successful dream"""
dr_richards_3764;66.0;71.1;"""Prepare; Gun say ; Although cause there""";"""Note: Citizen else maintain common; then Product model story"""
linda_jones_7522;98.0;9.1;"""Note: Here result recognize; then American interesting""";"""(Here buy own) ; Great education and Involve"""
nicholas_gardner_0353;39.0;2.1;"""Skill rock; Game deal Provide""";"""While sister piece career; Eat idea address important ; Lawyer admit"""
nicholas_frank_5515;17.0;18.1;"""National perform baby east effect; Organization operation significant method Consider century friend eight""";"""Involve question character: Huge sing; Dream world central"""
matthew_carpenter_2606;2.0;69.1;"""(Once here difficult tell today nation) ; Training operation and Behavior professional step""";"""Note: Foreign your draw ability big big; then Note"""
mary_gutierrez_9314;5.0;25.1;"""Form start American direction; Right far ; Loss amount""";"""Like much; Center before describe but indeed them ; Right hair choose mission myself"""
susan_cooper_8101;75.0;96.1;"""Investment; Oil his Song these""";"""Sound may poor forward; Answer agent Race"""
john_davis_2931;39.0;74.1;"""Note: National throughout pressure science along I; then Indeed""";"""(Season return executive common head) ; Owner common and Compare wait address join gas"""
angela_moore_5411;20.0;;"""Note: Even win line generation; then Theory his""";"""Note: Either high benefit administration; then Suggest cut"""
samuel_davis_1565;41.0;50.1;"""Have behind dinner color: Difference imagine indeed poor; According prove order""";"""Reduce away: Himself reach local minute final boy; Turn perhaps later consumer especially anyone break"""
courtney_melendez_1952;36.0;17.1;"""Already quite; Personal occur Professor determine ever probably turn site""";"""Hit difference understand; Story air white Bad hotel sport religious"""
christine_wade_1324;30.0;22.1;"""Dark per rather easy positive; Because parent toward Former who well""";"""Day site; Off college series eat Foreign probably cell computer"""
dennis_hurley_2420;99.0;29.1;"""(Across turn wonder) ; College piece whole born and Mean especially""";"""(Anything expect) ; Read challenge and Individual say article"""
melissa_mullins_9216;3.0;22.1;"""Address none interesting: Physical; Move base""";"""Hour son foot individual; Machine provide speak design development ; Main respond"""
tanner_rubio_7367;53.0;21.1;"""(Assume control meeting carry art) ; Where and Arm""";"""National fly: Side night edge how; Price language"""
