username,score,message,description
dr_slater_6164,88.0,"""(Alias sint eaque maxime) , Iure repudiandae and Libero quis quia suscipit""","""Note: Ut vel, then Alias cumque"""
dr_taylor_0903,77.0,"""Perspiciatis nihil delectus, Repellendus cupiditate earum explicabo Harum sapiente""","""Note: Nam amet, then Possimus laborum quos debitis"""
dr_taylor_6534,60.0,"""Nesciunt nesciunt porro animi; Deserunt quod repellendus odit excepturi , Veniam veniam esse dolor""","""(Repudiandae quas veniam) , Repellat cum and Nostrum quasi"""
miss_cox_5909,32.0,"""(Corporis minus) , Repellat veniam minima reprehenderit adipisci accusantium and Suscipit aliquam""","""Note: Facilis dolor repellat possimus vel, then Optio nihil ullam cum aliquid accusamus"""
jessica_holloway_1641,40.0,"""Alias inventore soluta ratione: Ipsam unde natus, Iste similique""","""(Rerum illum corporis) , Eos and Molestias facere cumque"""
francis_carey_1496,37.0,"""Sint; Ut nobis sapiente commodi recusandae , Mollitia similique""","""Voluptas: Temporibus ratione perferendis incidunt consequatur, Maiores dolorum est molestiae voluptate"""
graeme_riley_6340,90.0,"""Note: At sit iste non, then Maiores cum""","""Cupiditate aperiam fugit; Maiores repudiandae sit , Vel cumque nemo enim"""
dr_brown_8113,26.0,"""Magnam rem aspernatur; Porro aliquam iste velit vitae , Eaque laborum""","""Est ab nostrum: Minima iste possimus eum quos, Accusantium"""
louis_ward_0702,21.0,"""Tempore, A tempora tempora Enim earum culpa""","""Qui nesciunt voluptate, Alias facere fuga distinctio pariatur Nisi corrupti neque"""
ms_mckenzie_1792,24.0,"""Amet, Esse sapiente debitis sunt sequi Cumque assumenda doloremque facere""","""Ratione; Maiores quod labore perferendis , Labore tempora voluptatum"""
james_bennett_8320,86.0,"""Aspernatur dolor: Cumque, Totam facere""","""(Quaerat voluptate sunt) , Harum ipsum laborum reprehenderit and Ea mollitia reiciendis"""
roy_wilson_8501,79.0,"""Laborum repudiandae temporibus; Ullam temporibus eius , Blanditiis a veniam velit""","""Rerum; Impedit nemo , Maxime"""
dale_flynn_8525,72.0,"""Note: Commodi beatae natus, then Quibusdam nihil""","""Iure cumque illo; Hic labore , Error illum provident occaecati"""
dr_curtis_9050,44.0,"""Note: At ipsa quisquam soluta, then Nisi iure odio""","""Totam amet quas; Odio eos consequatur , Doloremque alias dolorum"""
kathleen_holloway_9073,31.0,"""Libero minus facilis itaque magni neque; Odio , Praesentium qui natus""","""(Animi sunt distinctio) , Tenetur excepturi commodi and Suscipit debitis odio"""
patrick_bibi_7194,55.0,"""Earum impedit error, Eos temporibus Consequatur impedit dolore""","""Temporibus in at incidunt non: Libero adipisci adipisci, Itaque minima voluptatibus"""
gerard_johnston_3756,72.0,"""Quis nesciunt et; Odit , Consequuntur aut accusamus""","""Note: Recusandae, then Hic quod temporibus minus"""
beverley_brown_8853,26.0,"""(Unde pariatur aliquam distinctio libero) , Esse quisquam and Rem amet voluptate beatae""","""Aperiam veniam enim; A , Nesciunt beatae"""
stanley_clarke_6840,89.0,"""Commodi autem unde, Quia dolore eum ut accusamus Asperiores rerum hic officiis sint""","""(Quos dolorem vitae dolore) , Voluptatum adipisci iusto and Architecto"""
joan_anderson_1776,14.0,"""Molestiae tempora, Sint doloribus Alias culpa blanditiis""","""Nemo; Minima dicta error , Facilis quae dolore quo alias nihil"""
roger_cole_5423,94.0,"""Quae reiciendis; Dignissimos est dolorum , Saepe odit""","""Necessitatibus debitis aut, Inventore laudantium Illo aut dicta"""
sian_neill_3138,85.0,"""Note: Architecto eveniet cupiditate et, then Eum""","""Culpa odio earum illum dicta, Aut doloribus iusto error minima veniam Tempore iusto qui beatae"""
malcolm_taylor_4819,76.0,"""(Optio voluptas) , Cum ipsam aspernatur and Maiores vero eum""","""Note: Labore quas harum unde, then Earum molestiae accusamus aut"""
dr_johnson_8726,70.0,"""(Ratione consequuntur) , Id voluptatem accusamus and Dolor ad dolorum""","""Nobis: Sint quisquam, Impedit"""
francesca_nicholson_0193,36.0,"""Molestias ipsum nesciunt saepe modi dolores: Eum excepturi, Ullam""","""Ad explicabo, Maiores Maiores commodi"""
kathleen_burton_5394,,"""Note: Dignissimos aut, then Quas deserunt""","""Minima sint; Labore consequatur dicta , Rem"""
ms_clark_6134,25.0,"""Quam quis provident: Unde, Tenetur repellat""","""Note: Iusto impedit quis, then Tempora voluptates maxime reiciendis"""
dylan_hill_6519,31.0,"""Provident perspiciatis praesentium porro eos, Nemo delectus occaecati Quam deserunt minus enim quaerat voluptate""","""Eaque perferendis: Reprehenderit illum, Quia nesciunt"""
carole_barnett_1705,14.0,"""Necessitatibus a, Dolores voluptatibus eaque iure quos impedit Dolorem quisquam possimus iusto dignissimos""","""Eaque eum eos, Eveniet amet dolores qui Sapiente et dicta"""
bethan_arnold_1375,2.0,"""Quasi ullam voluptate officiis, Est explicabo labore In eum""","""(Quod non quasi) , Fugiat and Quia commodi"""
