# This is a comment line to skip
username;rating;total_count;comment
melissa_allen_5537;26.0;92.1;'''Note: Threat live; then Maintain seven computer the election'''
matthew_smith_7463;10.0;91.1;'''Ever sometimes rich; Financial economic point north Every'''
debra_dds_0682;34.0;;'''Not music determine; Service new ; Push improve someone avoid nearly'''
julie_singh_7296;53.0;56.1;'''Positive five what decade mind production; Realize company compare word ; Gun'''
brett_mann_6628;77.0;90.1;'''Sign: Common able; Fly'''
lauren_martin_9586;54.0;59.1;'''Technology customer sing something; Play radio kitchen Kitchen probably thousand'''
christina_miller_9285;45.0;87.1;'''Note: Agree television; then Life'''
gregory_giles_2468;39.0;58.1;'''Notice body require; Own ; Coach great final pass single maintain'''
john_sims_6280;41.0;1.1;'''Popular image: Country town; Phone ever address'''
joseph_hunt_9307;13.0;58.1;'''Before: Understand near; Teacher court'''
jacqueline_brewer_7589;62.0;98.1;'''Month; Manage speak Film'''
zachary_smith_1984;95.0;46.1;'''Note: Third statement such series audience response; then Cover indeed majority'''
edward_turner_5632;85.0;13.1;'''State: Picture outside short seek; Book town open probably'''
curtis_trujillo_6021;98.0;24.1;'''Note: Subject he; then Level several'''
jennifer_smith_6512;42.0;4.1;'''Evening through; Station third Make argue'''
melinda_mccarthy_2725;69.0;26.1;'''Edge success drug; Surface feel continue Fight'''
chad_campbell_9411;1.0;64.1;'''(Discuss test read our administration) ; Anything and Brother see'''
kayla_rose_7999;86.0;56.1;'''Seem manager: Expert yes art senior local it; Interesting nature'''
danny_roman_1828;24.0;83.1;'''Sea speech young meet less air; Like oil different contain improve ; North beat value dream positive'''
rebecca_williams_2456;5.0;74.1;'''Note: Notice; then Wife this else'''
dawn_jordan_1846;45.0;27.1;'''(Ready foot) ; Beautiful and Act'''
angela_hull_0266;49.0;54.1;'''Time however avoid staff Mr: Wide another; Trip'''
jeffrey_hawkins_1275;91.0;17.1;'''Form ahead how kind teacher others: Really none crime character south; Site if'''
ms_king_8362;41.0;100.1;'''(Now contain make way) ; Few final wind cost and Court'''
charles_ward_9695;16.0;60.1;'''Put; Up night door ; People nearly'''
mason_snyder_7992;94.0;43.1;'''Foot treatment true up consumer: Nice arrive tend; Little change information'''
ruben_carpenter_5286;29.0;16.1;'''Change star: Likely; Mr another'''
brian_jones_4579;29.0;72.1;'''Good reveal list; Heart movement Question possible top industry'''
dustin_mitchell_8015;82.0;48.1;'''(Whole food continue scientist) ; Clear half grow administration car do and Single push term'''
tiffany_olson_5595;45.0;28.1;'''I more size term; Be ; Condition hear school'''
jessica_ball_2966;45.0;63.1;'''(Happen high) ; Pass win really and Share that senior'''
susan_mccormick_9257;66.0;81.1;'''Chair why test: South today rather must so; Deal organization late explain'''
jennifer_phd_1621;58.0;94.1;'''(Tell large stock well) ; Try fish do and Enough TV game baby'''
bobby_young_3887;56.0;84.1;'''Because series grow; Own song Allow body yourself'''
mark_bell_9618;26.0;98.1;'''Note: Allow later town stage; then Benefit full line'''
annette_robinson_0736;89.0;20.1;'''Note: Describe; then Energy fly'''
kristine_moore_6486;76.0;96.1;'''Down natural table: May inside institution; Common one friend arrive'''
samantha_bowers_8879;34.0;91.1;'''Note: Need any; then Thought make'''
jonathan_patrick_7467;30.0;34.1;'''Issue; Prepare possible Account mouth pull already'''
karen_jones_9151;13.0;1.1;'''Skill: Team ahead; Laugh'''
ashley_mcclure_7502;16.0;29.1;'''(Agreement employee) ; Network off and Four they professional'''
jennifer_smith_7355;76.0;46.1;'''The hour continue; Enjoy analysis real ; Son type improve'''
travis_parker_0733;;10.1;'''Note: Important firm; then Production enjoy century'''
vanessa_schwartz_1528;90.0;32.1;'''(Explain third list) ; Especially dinner training smile theory not and Seek small last nothing'''
