# This is a comment line to skip
username	rating	note
kevin_morrow_7166	30.0	"""Note: Leave drive student	 then Per attack must season"""
pamela_mills_9554	73.0	"""(Sign how) 	 Husband baby staff and Environment mention"""
taylor_bush_2930	26.0	"""(Hear officer) 	 Onto determine and During smile either"""
jessica_murphy_5886	47.0	"""Attention fill difficult recent: Growth along order high performance	 Tax"""
thomas_johnson_5573	25.0	"""Green than idea; Suggest form 	 Shoulder"""
michael_jenkins_6698	91.0	"""Soldier almost key specific; Relationship economic up on 	 Statement finally"""
emily_ray_4158	66.0	"""Respond approach: Write hope value well	 Each beyond money"""
michelle_solomon_3864	96.0	"""Enough; Laugh put prepare 	 Raise middle key"""
billy_kidd_0543	87.0	"""Buy simple low agreement much; Hospital 	 Cultural at"""
kimberly_short_6751	44.0	"""Story hundred: Hold clear agree	 Administration"""
dana_taylor_9385	18.0	"""They discuss: Source	 Forget"""
anna_livingston_0123		"""The street: Mission use executive experience sort	 Maybe treat catch evidence score"""
taylor_pace_2627	5.0	"""Medical make; Head another 	 Blood than both sea factor catch"""
rebecca_reyes_8597	44.0	"""Receive billion; Make season alone 	 Myself service sometimes center"""
shane_johnson_1214	44.0	"""Herself eight suddenly series: Six	 Response list where manage"""
fernando_jordan_2949	63.0	"""Develop room dream turn executive hand; Risk travel 	 Short whom"""
john_griffith_3347	4.0	"""(Second how) 	 Rise turn and Security might sister"""
sharon_hawkins_3770	42.0	"""Note: Loss that	 then Writer think food"""
caitlin_hood_9041	11.0	"""Operation force relationship truth low all: Only	 Everybody teacher wait world up"""
daniel_davis_4243	92.0	"""Form production onto; Tax build 	 Strong business foreign certain late he"""
hannah_rodriguez_8371	99.0	"""Rise early: Exist sell heart leave	 Bank himself quite cup"""
jordan_reid_2925	31.0	"""Happen person: While truth represent significant	 Everyone threat American war million"""
amber_watson_7598	61.0	"""(Deep activity) 	 These and Artist surface"""
holly_howard_8530	42.0	"""Into community; Whom in few 	 Account second individual green price hundred"""
brandi_bailey_7062	17.0	"""More	 Truth Dinner note"""
samantha_callahan_3081	54.0	"""Note: Money here me owner yes none	 then City product win one idea"""
robin_guzman_7487	24.0	"""Art be safe loss music	 In crime Two gun factor success"""
alan_lambert_1991	60.0	"""Serious plant check; Toward ball 	 Training"""
crystal_white_0111	7.0	"""Beautiful seat drop could since line: Surface quality fight	 Card contain"""
