username,score,rating,salary,message
nigel_young_2636,16.0,81.1,63.2,'''Quibusdam labore: Nostrum non odit, Officiis eum sapiente adipisci natus'''
joel_parsons_5046,40.0,53.1,75.2,'''Blanditiis ad error sit itaque; Quis itaque , Eveniet dolores'''
tony_wilkinson_0884,87.0,32.1,,'''Minus; Dignissimos deleniti , Facilis suscipit voluptatum veritatis'''
ms_shaw_9320,23.0,20.1,24.2,'''Molestias deleniti nemo culpa dicta; Architecto unde , Rerum autem molestias sed nemo corrupti'''
andrea_gibson_0818,89.0,55.1,76.2,'''Note: Veritatis sapiente in cumque ullam, then Porro nulla'''
carol_kelly_9194,93.0,14.1,59.2,'''(Eius temporibus impedit) , Reiciendis dicta ullam nesciunt and Saepe'''
max_singh_7266,42.0,48.1,86.2,'''Ipsa aliquam perspiciatis; Voluptatem earum esse , Aut quisquam cumque fuga quibusdam'''
hazel_morgan_4019,92.0,6.1,31.2,'''Dolorem: Quo inventore praesentium, Laborum minus neque'''
dr_hughes_6783,42.0,,81.2,'''Maxime veniam vel; Laborum at , Et voluptates similique'''
janet_lowe_0301,92.0,53.1,58.2,'''Esse accusamus, Magni Nemo eligendi libero'''
mrs_lane_8296,9.0,93.1,75.2,'''Accusamus quos dolorum: Fugit et aspernatur, Ad maiores molestias magni'''
derek_taylor_2146,20.0,27.1,30.2,'''Rerum; Magnam doloremque , Molestias eligendi nam'''
mr_thompson_2551,9.0,83.1,89.2,'''Recusandae cum sunt: Unde sint, Asperiores commodi iusto'''
mr_mills_1304,81.0,75.1,44.2,'''Magnam distinctio rem aperiam atque incidunt; Iste quae voluptates , Necessitatibus quo maxime'''
mrs_ingram_5636,67.0,12.1,74.2,'''Repellendus corrupti dolorum nemo; Fugiat facilis modi , Natus provident error autem nobis ullam'''
louis_phillips_3708,,8.1,61.2,'''Velit adipisci: Culpa a, Voluptatum accusantium'''
dr_fraser_5728,73.0,17.1,67.2,'''(Ratione laudantium voluptatem expedita) , Eaque velit and Corporis est harum voluptatum possimus minima'''
mrs_butler_1394,1.0,56.1,11.2,'''Nulla: Repellat minus, Expedita culpa'''
nicola_smith_7382,88.0,65.1,65.2,'''Ipsam nisi nisi quasi ratione quis: Omnis corrupti impedit culpa, Laborum repellendus'''
mitchell_harper_2838,13.0,32.1,73.2,'''(Ad beatae) , Iusto alias and Quibusdam tempore'''
debra_wright_6439,98.0,67.1,8.2,'''Laudantium: Autem repellendus veritatis repellat veritatis corrupti, Illo'''
mr_phillips_3265,82.0,62.1,46.2,'''(Provident adipisci laudantium id mollitia) , Totam minus and Esse aut ab'''
martin_clements_8127,68.0,18.1,56.2,'''Excepturi: Alias esse, Sed dicta eos laudantium delectus'''
dr_begum_2113,94.0,51.1,12.2,'''Debitis in; Accusamus , Ex adipisci similique possimus qui cum'''
miss_morgan_9067,76.0,88.1,99.2,'''(Necessitatibus illum iure) , Voluptatem quod laboriosam unde and Magnam vel'''
antony_donnell_7015,80.0,81.1,10.2,'''Impedit unde consequuntur ratione nesciunt; Possimus debitis tenetur eum , Laborum ipsa'''
dr_fletcher_0892,67.0,34.1,90.2,'''Totam velit dolores ex fuga occaecati: Ab ullam praesentium, Neque'''
amy_kay_9022,3.0,44.1,18.2,'''Omnis ipsum; Quisquam reprehenderit , Officiis amet'''
dr_donnelly_5233,48.0,4.1,85.2,'''Officia saepe itaque recusandae iusto, Tempora libero consectetur Eveniet quibusdam'''
claire_saunders_0376,26.0,95.1,83.2,'''Saepe eius dicta excepturi: Unde, Dolore fugit'''
natalie_smith_2352,56.0,27.1,89.2,'''Dolor soluta quis, Illum Quasi veniam quidem'''
mr_davison_0327,63.0,7.1,32.2,'''Quia perferendis assumenda ipsam voluptatibus: Vel amet, Voluptates commodi optio'''
ms_graham_0274,37.0,4.1,53.2,'''(Accusantium) , Delectus voluptates vel dolore and Voluptatibus quod eaque'''
