username,price,review
sean_norman_3153,67.0,"""(Eum reiciendis tempora) , Nisi maiores distinctio and Dolorem nesciunt assumenda beatae laudantium molestias"""
charles_thomas_1449,77.0,"""Odit laboriosam, Quo eaque iste minus molestias Voluptates perspiciatis"""
grace_wilson_8876,68.0,"""Eaque fugiat: Nemo sapiente inventore quam, Ipsa quasi perferendis corrupti saepe"""
ms_lewis_0360,19.0,"""Laudantium earum tenetur, Perferendis harum In dicta"""
miss_rice_5745,46.0,"""Nemo velit nesciunt, Delectus Minima nam dignissimos vero"""
stewart_fraser_7462,80.0,"""(Fuga ratione sapiente) , Libero impedit and Earum distinctio odio eligendi repellendus in"""
jason_harrison_7803,96.0,"""Note: Blanditiis error consequatur vitae saepe, then Iure aut"""
jasmine_flynn_1688,76.0,"""Cum, Facilis odio sapiente explicabo Hic sequi"""
jane_jackson_0231,73.0,"""Omnis: Ipsa, Voluptatem itaque officiis optio"""
alexander_cartwright_0151,65.0,"""Facere nostrum; Quam minima iste , Tempore"""
hilary_ward_6975,3.0,"""(Dolore itaque excepturi nihil) , Quos doloremque molestias and Animi"""
shaun_lane_2660,74.0,"""Note: Voluptatibus, then Ipsa hic nisi"""
mr_jackson_2009,96.0,"""Totam tempora, Consectetur fugiat quia dolore ratione libero Sapiente nisi vel"""
clifford_parkinson_9535,92.0,"""Note: Soluta hic voluptatum sed, then Quae"""
lee_hurst_3583,32.0,"""Voluptatibus odio amet eos: Ab quia, Nemo ducimus officia"""
miss_ryan_2737,92.0,"""Occaecati inventore quia illo voluptates neque; Fuga vero sunt reiciendis , Aliquid iusto"""
richard_andrews_6038,94.0,"""Minus placeat itaque numquam id; Eaque quae nemo , Harum accusamus"""
clive_patel_8642,98.0,"""Neque hic: Atque, Consectetur voluptates atque"""
mr_burrows_6727,14.0,"""Veniam ipsa; Magnam , Ea qui nobis"""
ms_nolan_5299,19.0,"""Aliquid itaque dolore; Perferendis nihil ea explicabo quae , Earum in voluptatem totam"""
carol_robinson_0269,30.0,"""(Saepe) , Cum quibusdam and Illo architecto cum"""
dr_howe_0724,15.0,"""(Impedit dolore fuga debitis) , Incidunt ducimus and Nam vel veniam"""
mr_holden_0270,8.0,"""Impedit suscipit pariatur quos, Excepturi cumque Voluptates"""
dr_hall_9215,16.0,"""Note: Totam sit, then Aspernatur neque aliquid cumque"""
dorothy_mcdonald_1577,19.0,"""Architecto maiores quo: Numquam laborum maiores rerum unde, Aspernatur officia cumque"""
lesley_webster_4071,,"""Tenetur aut eligendi sit recusandae ipsa, Quia quia corrupti Iste porro nemo"""
francesca_poole_4372,81.0,"""(Saepe quaerat) , Necessitatibus fugiat eos and Ratione eius eligendi hic ullam pariatur"""
caroline_kerr_5451,10.0,"""Neque sequi numquam optio, Totam atque minima labore Illo debitis reprehenderit pariatur"""
eric_pratt_7873,42.0,"""Explicabo temporibus, Officiis Deleniti veniam est"""
toby_wells_7226,56.0,"""Note: Perferendis temporibus optio recusandae, then Id consequatur rerum facilis"""
mrs_williams_4220,6.0,"""Soluta inventore aliquid esse dolores, Iure Tempora incidunt"""
darren_bibi_3183,54.0,"""Maxime illo aut praesentium: Exercitationem amet alias deleniti, Nihil debitis sit quasi libero"""
frank_gregory_0096,15.0,"""(Fugit) , Molestiae quisquam molestiae repellat and Ullam dicta"""
dr_clark_2101,51.0,"""Doloribus officia iure, Ipsam aliquid Quidem voluptatum"""
dr_higgins_7776,47.0,"""Tenetur vitae amet, Quos qui sunt incidunt voluptates fugiat Saepe ullam"""
andrea_burton_0352,97.0,"""Aspernatur magni, Nisi dolor accusantium Nam id nihil"""
lydia_hunt_7858,38.0,"""Note: Exercitationem nostrum inventore fugiat animi debitis ut, then Debitis quo"""
