username	salary	rating	age	message	remark
matthew_cox_2078	49.0	95.1	61.2	'''Cultural yes game	 Floor others Simply shake measure likely'''	'''Remain human man; Involve never level others 	 Agency police'''
shannon_adams_8618	69.0	78.1	49.2	'''Worker compare: Play there article	 Job top society'''	'''Pretty shoulder; Others us 	 Ball present'''
joshua_arellano_0537	79.0	72.1	25.2	'''(Point leader) 	 Letter past possible research smile and Increase short'''	'''Stage benefit industry month everybody pass; Be yeah fire 	 Song'''
lisa_davis_9616	50.0	16.1	4.2	'''(Reveal force Democrat social use) 	 Sister and Carry make have away'''	'''Vote near process stock shoulder go; Agreement person join moment 	 Father hospital team day we'''
jasmine_rodriguez_0808	12.0	61.1	74.2	'''Note: Reach model	 then Sometimes'''	'''Effort; Remember 	 Modern bank information'''
anthony_barajas_1893	4.0	16.1	90.2	'''(Letter occur method majority very) 	 Her consider and Threat turn less debate discover life'''	'''Among	 Job Clear somebody should'''
regina_morris_5536	62.0	86.1	76.2	'''Usually dinner professor benefit agreement; Stage page herself part 	 Simply really'''	'''Note: Speech case common lay	 then Simply'''
jonathan_anderson_5010	32.0	100.1	51.2	'''Training; Information 	 Born dinner'''	'''Want answer part true; Ask case realize middle 	 Fish'''
laura_moore_4447	45.0	44.1	20.2	'''Ask still father manager: Everyone	 Source they'''	'''Note: Billion hand management country	 then Citizen security force'''
amber_yates_4557	22.0	8.1	86.2	'''Hold shake eat	 Protect Everybody'''	'''Onto during issue stuff sport	 Sister entire season system Special improve human'''
stephen_robles_6103	66.0	13.1	65.2	'''(Finish go) 	 Environment truth floor boy and After worry question'''	'''Town tough school	 Talk like top spring compare Effect probably challenge beautiful'''
richard_sanchez_2535	21.0		28.2	'''Note: Idea	 then Forward'''	'''Finally middle thank: Leader strategy	 Democratic current'''
eric_estrada_5287	76.0	4.1	81.2	'''Full together	 Sort responsibility drive whatever accept Maybe light'''	'''Themselves teacher particularly; Force 	 Simply her agreement my'''
cody_torres_1075	52.0	85.1	36.2	'''Action government for	 Start need hold shake including Character'''	'''View eye	 Behavior point ahead blood who Beat finish position'''
kelly_wallace_3056	77.0	29.1	41.2	'''Himself mouth area return: Apply light	 Lead gun central for child'''	'''Happen edge each; Great 	 Time'''
