username;total_count;rating;message;summary
bryan_blackburn_7190;72.0;34.1;"""Note: Eum facilis sit; then Provident nobis esse""";"""Quae cum quas distinctio; Beatae illum pariatur soluta sit Doloremque laboriosam"""
miss_davies_2470;29.0;22.1;"""(In) ; Necessitatibus totam aperiam natus and Magni totam""";"""(Temporibus) ; Adipisci quisquam and Accusantium incidunt rerum"""
hugh_clark_7359;44.0;98.1;"""Velit; Voluptatem id ; Harum eos tempore molestias ab ipsam""";"""Note: Nisi aliquam porro nobis repudiandae; then Iste animi veritatis iure"""
john_stewart_3194;4.0;4.1;"""Note: Eum sequi nemo; then Asperiores atque""";"""Corporis quam voluptate pariatur; Quasi sequi dolorum Architecto"""
luke_cox_5446;83.0;93.1;"""Recusandae; Provident facere sint esse quia ; Nisi""";"""(In aliquid) ; Reprehenderit id maxime voluptas and Maiores voluptatibus"""
ruth_johnson_0808;55.0;51.1;"""Molestiae perspiciatis; Eligendi et molestias Impedit corrupti""";"""Modi voluptatem; Quia qui ; Similique accusamus occaecati facilis repellendus"""
karen_randall_7927;22.0;94.1;"""(Nemo ratione doloribus corporis iusto iste) ; Alias placeat voluptas eaque veritatis and Fuga consequuntur mollitia""";"""Note: Libero; then Omnis velit"""
gregory_ellis_4437;32.0;49.1;"""Nobis; Quo dicta voluptates labore itaque iure Quam fugit doloribus esse""";"""(Deleniti quia) ; Recusandae animi dolorum delectus debitis animi and Qui perspiciatis"""
danny_pritchard_9471;99.0;42.1;"""(Laudantium a) ; Animi tempore veritatis and Laborum non""";"""Note: Necessitatibus nemo; then Ullam"""
kevin_martin_1077;33.0;88.1;"""Tempora tenetur magnam consequatur provident: Odit aliquam; Maxime nobis in""";"""Quaerat nemo sapiente magnam cupiditate laborum: Ipsum beatae; Ad vitae occaecati totam"""
abigail_ali_4048;79.0;;"""Assumenda cupiditate illo iste nesciunt; Sapiente quos repellat Incidunt at""";"""Doloremque mollitia sed mollitia; Eius exercitationem architecto aliquam At repellat"""
chloe_gray_1186;57.0;73.1;"""Voluptatibus repellat neque necessitatibus totam; Repudiandae porro ; Saepe voluptate tenetur""";"""(Nostrum) ; Voluptatum eum nobis and Quisquam et neque"""
gareth_vincent_6933;74.0;39.1;"""Voluptate ea; Rerum iusto ad laboriosam ad deserunt Assumenda""";"""Quaerat id; Itaque eum veritatis Accusantium sed"""
christine_james_8351;60.0;56.1;"""Note: Distinctio quas illum; then Quam eum""";"""Adipisci molestias consequuntur: Fugit et nulla voluptatibus vel; At dolorem necessitatibus"""
charlie_baker_2264;84.0;94.1;"""Note: Et ipsa esse sed officiis; then Voluptatum""";"""Harum soluta voluptates eligendi iure: Omnis sapiente dolor; Accusantium"""
kathryn_morgan_5958;10.0;1.1;"""(Animi tempore) ; Dolorem officia consequuntur inventore and Dignissimos cum nulla aut vel""";"""Et magnam ea quos; Vel consequatur reiciendis quaerat Nihil est officiis fugit"""
dr_armstrong_7204;19.0;58.1;"""(Labore quam est) ; Cumque reprehenderit ad nemo and Minima fugiat odit""";"""Sapiente cupiditate: Numquam; Mollitia esse consequatur sequi nostrum"""
duncan_lewis_6169;15.0;71.1;"""Note: Nemo; then Nisi""";"""Pariatur dolorem: Distinctio; Molestiae labore"""
ms_griffin_8263;76.0;57.1;"""Note: Magni nobis rerum neque; then Illo facere consequatur magnam""";"""Note: Maxime natus; then Quod doloribus officia non ex unde"""
james_iqbal_1791;83.0;28.1;"""Temporibus vero praesentium: Maxime dolorum iure; Consectetur dicta debitis molestiae consequatur ex""";"""Accusamus in; Repellendus Provident"""
dr_atkinson_6722;;9.1;"""Ad consequatur quisquam; Quibusdam adipisci saepe nihil ; Ea soluta magnam ullam error""";"""Commodi dignissimos laborum necessitatibus nobis; Magnam Cupiditate officiis necessitatibus repudiandae"""
ms_smith_9809;72.0;32.1;"""Illo eum repudiandae ipsam; Illum velit doloribus ; Culpa eius odio""";"""Quibusdam minima: Labore ratione tempora a; Iste quam esse voluptate"""
bradley_wilson_5524;81.0;93.1;"""Voluptatem reiciendis laborum fuga ea voluptatum: Aut unde; Sunt quae""";"""(Eius neque dolorem voluptatem eveniet) ; Ut and Soluta dolorem"""
kirsty_goodwin_0786;90.0;19.1;"""Illo: Reprehenderit aspernatur mollitia nobis; Voluptatibus eveniet maiores doloremque""";"""Tempora: Magnam eaque; Sunt consequuntur quibusdam"""
