# This is a comment line to skip
username;rating;age;price;message
mr_reeves_8878;84.0;87.1;54.2;'''Odit est; Velit hic ; Distinctio quisquam voluptate'''
dr_lawrence_1527;14.0;68.1;72.2;'''Dolorem fugiat ex iste modi: Dolores saepe similique enim rem ipsam; Corrupti'''
mr_lewis_8934;83.0;;82.2;'''Note: Adipisci iure recusandae quos; then Officiis ea'''
stanley_jennings_7927;43.0;39.1;;'''Veniam repudiandae ipsam odio quod; Repellat excepturi numquam dolore accusamus alias Animi a repudiandae quidem quaerat'''
connor_smith_5670;98.0;53.1;47.2;'''(Aut non sit) ; Harum deleniti beatae and Nemo hic'''
ruth_mason_1072;70.0;64.1;28.2;'''(Adipisci consectetur exercitationem) ; Nihil laudantium iusto est and Eius libero numquam aliquid laudantium'''
dr_berry_7479;13.0;81.1;68.2;'''Quibusdam nemo veniam occaecati; Recusandae commodi ; Laboriosam ea voluptate'''
mr_kirby_3288;58.0;14.1;45.2;'''(Nam) ; Asperiores deserunt and Velit'''
graeme_harrison_0930;85.0;96.1;42.2;'''(Sed atque et hic at) ; Amet and Laborum totam recusandae odit'''
kimberley_osborne_1402;60.0;41.1;78.2;'''Corporis inventore quo mollitia magni; Maiores numquam ea ex Laborum nam numquam'''
dr_smith_4305;;97.1;100.2;'''Perspiciatis eos assumenda adipisci; Provident a et nihil odit ; In suscipit voluptatum'''
rita_lewis_1093;17.0;3.1;100.2;'''Note: Ea ex pariatur; then Perferendis deserunt consequatur'''
angela_king_3077;23.0;53.1;68.2;'''Commodi: A possimus perspiciatis; Ullam fugiat amet in nulla consequuntur'''
louis_murray_4324;49.0;4.1;18.2;'''Note: Tempora deleniti minima quas provident; then Laudantium a quod blanditiis quis'''
janice_hill_0112;14.0;31.1;51.2;'''Dicta odio quis; Quae quod ; Cum ducimus'''
georgia_andrews_0413;99.0;49.1;5.2;'''Ut iusto iure; Saepe illum nesciunt vel repellendus Alias illum'''
gary_daniels_6408;10.0;64.1;88.2;'''(Vel enim unde vel dolorum) ; Molestias assumenda and Vitae consectetur esse voluptatem iusto'''
lydia_edwards_7175;43.0;51.1;8.2;'''Note: Vero labore ea; then In perspiciatis numquam'''
joshua_walker_6533;63.0;49.1;17.2;'''Ab ullam iure iure: Doloremque ipsum illum iste; Fuga dolor tempore'''
dr_jones_8338;51.0;98.1;67.2;'''(Ullam ratione distinctio sed) ; Soluta and Reiciendis magnam'''
mr_dixon_4119;63.0;33.1;20.2;'''Note: Culpa; then Illo assumenda necessitatibus culpa'''
lawrence_hawkins_4160;59.0;97.1;8.2;'''Repellendus; Recusandae corporis Repellendus quas quidem ducimus'''
annette_bentley_1681;69.0;60.1;51.2;'''Note: Magnam molestiae ad nostrum; then Voluptates ipsam expedita'''
mr_robinson_2555;42.0;54.1;81.2;'''(Illum explicabo ducimus) ; Voluptate quis minus in and Nobis'''
