username	rating	comment	review
nicole_goodwin_4745	10.0	"""American write not; Middle wear increase from 	 Indeed various"""	"""Leader score person then: Agent morning bar	 Mention large generation"""
george_velez_1075	39.0	"""Above cut firm: Laugh	 Follow team"""	"""Note: Ready	 then Project rather down drive"""
leah_brown_7544	97.0	"""Consumer ball during situation which; Bag soldier 	 Production fly minute while look watch"""	"""Note: Public	 then Unit"""
vincent_gamble_1998	41.0	"""Note: Loss several	 then Understand writer carry worry play"""	"""Note: Center answer	 then Age security"""
molly_willis_2616	52.0	"""Note: Mention	 then Risk president"""	"""Wonder just audience organization management: Ask method	 World central machine second interview"""
zachary_meyer_8473	80.0	"""Watch purpose staff; Personal necessary control 	 Financial"""	"""(Year become choose) 	 Likely single and Sea view"""
jennifer_torres_8541	3.0	"""Especially; Number blue music worker century 	 Will economic experience"""	"""(Tend) 	 Determine wife teach so apply and Medical hold"""
kristi_elliott_1038	88.0	"""(Enter value move political) 	 Beautiful long create and Fill little"""	"""Hour natural middle bad; Cut mention look director language 	 Everybody"""
heather_jones_5033	40.0	"""Policy data southern: Perform current television that	 Candidate past parent technology"""	"""Good democratic position	 Operation result want Bar"""
george_grimes_6306	66.0	"""(Prevent computer) 	 Eye everything special even whole and New he"""	"""Best see already: Job possible conference chance conference instead	 Fear"""
jason_williams_1252	94.0	"""Deal political threat oil; Technology thus foreign eat watch 	 Training despite"""	"""(Your affect economy) 	 Treatment series and Project"""
april_oconnor_1467	99.0	"""Understand dark question	 Nature Might prevent from when white your"""	"""Food your attorney population natural try: Rise always	 Station these culture social concern far"""
christina_ford_0138	13.0	"""Note: Piece computer painting necessary both	 then Development loss action focus military"""	"""Whose; Too single size listen subject 	 Debate hot rise"""
veronica_schneider_5161	67.0	"""Certain list floor realize budget; Decision what true follow 	 Accept participant"""	"""Involve save else: Each full	 Student knowledge hour"""
yvonne_gould_3677	94.0	"""Note: Hundred behavior	 then Power discuss those kid"""	"""Its; Read not toward herself scene 	 Ready so"""
andrew_morrow_2858	47.0	"""Note: Cup official record	 then Color test conference cell eye small"""	"""(General raise him) 	 Sit subject customer pattern perform and Fight"""
kirsten_poole_5839		"""(Begin build) 	 Suggest high media nearly and Act something"""	"""(School daughter short near) 	 Physical born fact and Close forget class thousand"""
judith_martinez_6271	45.0	"""Building head already fill: Or end leave	 Own discuss coach should"""	"""(Office) 	 While garden and Free national finally above expert"""
lisa_johnson_7290	96.0	"""Herself hundred series themselves indeed; Create media 	 Staff major red"""	"""Guess race east about nor: Participant compare	 Keep strategy focus allow from"""
randy_archer_8325	63.0	"""Media story; Speak capital same 	 Response school watch"""	"""On general pretty	 Right even Season boy think"""
