username,score,review,remark
mr_moss_8869,99.0,"""Note: Ipsa aliquam eum, then Ipsa deserunt magni consectetur""","""Aliquid laborum voluptas; Dolorem quis , Nobis ducimus similique"""
shane_davis_2451,40.0,"""Sed sit; Nostrum ut , Dolorum occaecati autem non""","""Similique amet fugit, Tempora nisi molestias aperiam Porro maxime repellat dolore"""
mrs_reed_8026,48.0,"""Eum accusamus: Expedita aperiam aperiam, Earum corrupti necessitatibus""","""Ullam atque, Fugit quaerat assumenda iste Optio eos"""
tracey_reynolds_4741,95.0,"""Iusto voluptas: Ducimus voluptas eum blanditiis debitis, Quas impedit vitae""","""(Amet quos et vero excepturi) , Dolorem repellendus fuga and Ut aliquam"""
maria_hall_8007,,"""Perspiciatis eveniet; Beatae tempore quaerat aut , Voluptatem eligendi omnis quasi incidunt odio""","""Note: Molestias natus, then Repellat nulla maxime non enim velit"""
janice_gregory_9790,32.0,"""(Deserunt nihil) , Distinctio placeat ipsa earum laudantium and Reprehenderit provident ab ab deserunt""","""Iure possimus; Aperiam beatae dicta , Amet atque"""
grace_bird_1826,83.0,"""Nihil; Minus natus eaque , Enim libero nobis""","""Sed in eius; Fugit molestiae at labore , Ullam ex rerum aliquam rem commodi"""
mrs_bryant_6585,62.0,"""(Eaque) , Id in quae cupiditate and Iusto sit culpa""","""Optio sit libero totam, Expedita id vel quos Blanditiis nulla harum modi qui"""
mr_dixon_6954,73.0,"""Numquam voluptas minus, Alias Dolorum""","""(Animi ex nisi) , Veritatis error repellat odit and Veniam"""
andrew_farrell_4913,42.0,"""Repellat temporibus nihil quisquam; Velit maxime aliquid , Dolore rem""","""(Magnam cumque debitis) , Ea and Mollitia aut"""
mathew_murphy_5282,7.0,"""Inventore unde, Error Facilis""","""Note: A, then Quos architecto vitae voluptate"""
miss_neill_1322,80.0,"""(Incidunt reprehenderit quae laborum) , Ad ad and Ut accusantium asperiores iste officiis illo""","""Officiis; Provident corporis , Saepe voluptatibus"""
joel_coleman_5192,74.0,"""Fuga sit: Unde eligendi a nulla necessitatibus dolore, Quos quis dignissimos similique magnam cupiditate""","""Note: Fugit accusantium illum, then Nulla"""
mrs_lees_0195,20.0,"""Ut eligendi nam, Error qui eligendi corporis Dolor vel perspiciatis""","""Quam porro; Accusantium , Expedita"""
hazel_marsh_7093,38.0,"""Eligendi sapiente, Libero natus eos asperiores explicabo Veniam asperiores perspiciatis""","""Tempora mollitia quis eos; Laborum saepe , Minus aspernatur"""
dr_lewis_2210,33.0,"""Repudiandae vitae consequatur cumque dicta; Dolores aliquam repellendus sed eum , Laboriosam dolorem minus""","""Voluptate cumque; Sapiente recusandae , Ad aliquid"""
dr_parkin_8083,40.0,"""(Voluptates velit dignissimos) , Quae tempora cupiditate quae cupiditate and Explicabo quidem voluptatum""","""Possimus dolor: Dolore sunt magnam molestias, Vitae iusto"""
emma_brown_5957,24.0,"""Provident maxime eveniet, Adipisci sit Quisquam tempore""","""Possimus nam, Esse ab nulla ipsam Eligendi eaque aut"""
mr_wood_6387,62.0,"""Ducimus quos rem numquam quo; Itaque accusantium eligendi , Illum corporis recusandae libero""","""Eius atque temporibus veniam, Dolorem at accusamus illum molestias Mollitia eius eaque fuga magnam"""
mr_fisher_8405,5.0,"""Quia error earum, Harum Expedita nostrum""","""Mollitia ipsa, Veritatis doloribus cum eum Consectetur amet"""
mr_hughes_8256,81.0,"""Nisi ad velit, Eos illum Perspiciatis inventore accusantium""","""(Tenetur optio libero error) , Adipisci eos and Adipisci illum"""
rosemary_chapman_5006,92.0,"""(Dolorem unde) , Nesciunt suscipit facere and Perspiciatis aperiam sint""","""(Est numquam soluta rerum nesciunt dolor) , Deserunt molestiae ea and Eveniet"""
chloe_miller_6034,81.0,"""Note: Beatae eius odio sint, then Et quaerat et consequatur""","""Quidem, Iure culpa occaecati debitis Voluptates accusantium unde"""
owen_webster_2014,40.0,"""(Pariatur) , Mollitia impedit laudantium asperiores and Est quod hic commodi""","""Fuga officia; Explicabo harum doloribus , Non necessitatibus molestiae"""
