# This is a comment line to skip
username;rating;comment
toni_barker_4604;66.0;'''Public: Continue; Gas ball enjoy'''
patricia_dds_8827;29.0;'''Call discuss serious later; End maintain mind Should'''
david_wells_2338;78.0;'''Including former: Several others; Accept reach experience small per show'''
karen_chapman_6622;82.0;'''Specific either; Miss she audience need theory Follow beautiful see move cell break'''
robert_ortega_8539;98.0;'''Tv wind do which bill: Forward alone prepare control project; Lawyer fill down yet adult'''
heather_sutton_2660;2.0;'''Stock; From condition draw tough address ; Able decade'''
terri_brown_5700;84.0;'''All task; Simply Home challenge choice able'''
susan_huynh_6558;83.0;'''(Approach someone game) ; While student and Scientist view'''
lisa_smith_1512;82.0;'''Note: Magazine charge key determine; then American particularly across simply bar different'''
michelle_robinson_8212;79.0;'''Magazine beat; Whose lawyer Office ever garden'''
rodney_webster_2259;79.0;'''Vote maintain teach; Beautiful the Reality forget term seat'''
jessica_vasquez_2637;13.0;'''(Guy language) ; Dream life and Reality until stop direction lot over'''
jason_benjamin_8048;8.0;'''(Theory major) ; Event TV and Throughout'''
eric_diaz_1219;92.0;'''Note: That strategy election discuss ball; then While'''
nicholas_johnson_4071;3.0;'''Note: Heart enter rise pay hospital; then Court take'''
james_johnson_2088;28.0;'''No situation probably: Right challenge glass; Their'''
kimberly_moss_9368;37.0;'''Into; Trouble world Whose power'''
melissa_bryan_1554;30.0;'''(Sure design management) ; Quite peace and Beat hospital build'''
alyssa_clark_4346;13.0;'''(How listen beautiful in magazine air) ; Line and Later throw'''
matthew_reeves_8019;74.0;'''(Last fill) ; Well fire he high and Myself recently along build'''
meghan_cobb_9409;4.0;'''Analysis ok bar light success; Three nor how Democrat wonder finally ; Number thought'''
tyler_figueroa_6414;14.0;'''Challenge big imagine Democrat thus less: Garden investment; Huge news best area kitchen'''
linda_mckay_7057;94.0;'''Win push; Eight itself operation whole what color Short newspaper remember staff'''
jamie_smith_5406;64.0;'''Describe for heavy; Account ; Team hospital drop ask size near'''
michelle_mendoza_7608;24.0;'''Compare executive; Prepare her ; Standard family message former minute'''
kathleen_donovan_2270;62.0;'''Property edge: Executive enough decide; Away under court'''
adam_murphy_3850;;'''After impact television; Artist peace ; Reason fast'''
linda_henderson_9586;99.0;'''(Before TV) ; Behind magazine bar player station and Area bad'''
mrs_brown_5117;51.0;'''Note: Attack particularly close tell; then Morning'''
stephanie_robertson_3054;98.0;'''Hope store; Indicate final lay into huge Pull drop'''
stefanie_dennis_6474;7.0;'''Hard key by system stop again second; Our then ; Statement alone even around wear'''
