username	total_count	price	score	message
mary_whitehead_9571	78.0	74.1	18.2	"""Region true: How	 Ok need"""
henry_smith_4735	9.0	79.1	21.2	"""(Generation however this) 	 Onto strategy street board site vote and If decade rock call"""
linda_cline_6187	53.0	44.1	40.2	"""Film successful: Work	 More exist card"""
terry_andrade_4558	72.0	5.1	14.2	"""Note: All film entire I	 then Wonder better sometimes general"""
zachary_howell_7143	73.0	31.1	27.2	"""Without	 Run reason marriage Story actually peace state"""
maria_williams_2217	81.0	61.1	86.2	"""(Market both) 	 Such heavy through ten color kind and Box"""
eric_smith_4499	66.0	64.1	60.2	"""Dog reach drive	 Here born prove series feeling Behavior everybody"""
patricia_adams_1986	83.0	55.1	64.2	"""Eat	 Society idea Race consumer"""
michael_myers_7079	12.0	85.1	28.2	"""Note: Stay heart dream condition day	 then Fine"""
brittany_holt_0325	2.0	49.1	100.2	"""Eye time	 Challenge themselves view Center community his third"""
morgan_mckenzie_0049	12.0	89.1	17.2	"""Environmental certainly; Size cultural nearly 	 Still nor despite"""
chelsea_shah_7176	72.0	66.1	93.2	"""Hotel	 Military message work Too"""
taylor_macdonald_7429	45.0	48.1	50.2	"""Community gun; Test exist former figure 	 Finally"""
larry_davis_3361	91.0	80.1	75.2	"""Note: Establish responsibility save investment	 then Worry song hour development rest degree"""
bradley_harvey_5819	11.0	41.1	78.2	"""Reality per feel; International vote drop 	 Physical so likely"""
karen_lee_4174	36.0	65.1	83.2	"""Note: Experience fine stop	 then Best throughout"""
michael_garcia_4269	69.0	91.1	20.2	"""Note: Rich nice	 then Sport bag how"""
elizabeth_richardson_2796	100.0	71.1	39.2	"""Watch under nation	 Possible level learn that new Usually star full make easy"""
richard_macdonald_3316	80.0	79.1	2.2	"""(Hair civil effort hot over cause) 	 Officer discussion offer and Short peace owner southern suggest"""
donald_smith_6239	42.0	92.1	81.2	"""(Action) 	 Those focus physical statement century purpose and Care offer"""
heather_cooper_1223	24.0	90.1	92.2	"""Shoulder interview create: Pay many likely see child	 Series include draw"""
heather_kerr_4147	43.0	32.1	25.2	"""Nor dinner hand all; Test hear 	 Need worker pretty fill red"""
christopher_tucker_8904	62.0	72.1	10.2	"""Note: Behind time style that million interest	 then My sound"""
keith_gill_8585	23.0	64.1	69.2	"""Office federal why; Message research 	 Production practice serious"""
beth_evans_3006	35.0	8.1	89.2	"""Character	 Would Real could"""
jeanette_warner_1582	33.0	69.1	5.2	"""(Agent win fast) 	 Security matter and Physical especially"""
richard_cooper_9228	68.0	70.1	57.2	"""Break: Page as hard	 Side"""
brenda_rivera_6545		48.1	76.2	"""(Type doctor forget worker than fact) 	 Memory store collection and Stay first hit include"""
jennifer_scott_0873	20.0	16.1	90.2	"""Party arrive shake heavy; Blood base strategy 	 Above break"""
timothy_medina_8245	62.0	65.1		"""Note: Southern when move like power	 then This lawyer accept wife lay"""
ashley_avila_1398	56.0	11.1	76.2	"""(Financial first) 	 Deep account prepare low and Nearly guess data"""
madison_maxwell_5727	51.0		94.2	"""(Then) 	 Spring author wear and Too"""
david_nelson_7708	21.0	72.1	68.2	"""People thing single recently performance: Sure consumer	 Direction walk red"""
jared_george_0521	9.0	96.1	45.2	"""Positive improve cause; Better hot 	 Sport practice those kind"""
steven_orozco_3871	33.0	78.1	43.2	"""Young local; Apply hotel 	 Decision"""
alyssa_cardenas_5856	64.0	39.1	100.2	"""(Race beat choice study) 	 Down matter term him him and Computer sometimes boy charge star"""
anthony_thomas_8108	67.0	65.1	55.2	"""Show source area wind community	 Size let story Over"""
alexa_york_2182	28.0	92.1	78.2	"""Likely purpose	 Almost exist grow Apply court analysis commercial"""
michael_daniels_2591	20.0	76.1	95.2	"""Early test beautiful paper: Culture including	 Nature special"""
carlos_meyer_1148	47.0	8.1	74.2	"""Note: Young upon firm	 then Free quite care factor"""
julie_reynolds_8927	15.0	11.1	27.2	"""Institution now nature civil: Center stage oil financial data generation	 Commercial actually now church professor"""
alyssa_myers_3057	42.0	50.1	48.2	"""Note: Reality purpose offer language morning	 then Difference buy stuff"""
steven_wilson_9659	59.0	56.1	63.2	"""(Mention establish bring trip sort) 	 Easy dark and Heart maintain bar add specific"""
paul_green_0109	29.0	64.1	38.2	"""Take national	 Manager national System sound"""
ronald_coleman_5181	25.0	86.1	8.2	"""(Quickly well) 	 Bank research and Clearly question"""
katherine_md_5102	52.0	54.1	29.2	"""Area office; Reflect media per 	 Can happen threat full"""
robert_jensen_8023	78.0	100.1	26.2	"""Mother; Man rule 	 From"""
seth_fry_0816	93.0	28.1	38.2	"""Push participant ability series: Morning west already	 Help event suddenly"""
pamela_mayer_2597	15.0	73.1	99.2	"""Far total similar	 Five nice again figure site Choice city surface"""
jeffrey_schmidt_8937	17.0	17.1	73.2	"""Environment; Gas yourself show moment base 	 Laugh act one"""
