username	price	age	message
amy_webb_6389	97.0	49.1	"""Strategy walk: Return camera	 Door system value what international"""
rhonda_solis_3653	23.0	29.1	"""Discussion surface security its sure response: Involve	 Start network appear"""
lisa_gallagher_9595	43.0	73.1	"""(Despite network) 	 Leader and Them"""
julia_garcia_5582	88.0	94.1	"""Bad pass say	 Crime record risk almost Her sit"""
chelsea_lee_8753	4.0	32.1	"""Their organization every; Task major best edge individual 	 Future treatment despite accept art"""
kendra_anderson_8521	14.0	89.1	"""Yes human; Control 	 Whose condition time"""
lori_wright_9055	63.0	38.1	"""Rest region moment discussion: Major method we fill	 Soon"""
william_baker_1266	45.0	58.1	"""(Yet language) 	 Condition worry and Seek"""
christopher_jennings_5407	69.0	69.1	"""Wife standard: Collection accept	 Theory around"""
robert_johnson_3878	35.0	67.1	"""Major detail sister white; Fly lose several occur hospital cost 	 Prepare defense dark"""
ryan_adams_0974	4.0	45.1	"""(Toward market site) 	 Author cup and Information citizen court"""
christina_wilson_8058	67.0	69.1	"""Note: Tonight travel that administration	 then Run myself too poor"""
heidi_strickland_1862	29.0	77.1	"""Note: Century contain	 then Price power"""
renee_bond_2179	1.0	37.1	"""Republican interest Mrs; While mother general entire 	 Later exist campaign"""
john_lee_7157	47.0		"""Note: Own table standard defense almost	 then Station indicate you evidence raise"""
christopher_martinez_6334	19.0	39.1	"""Account garden; Glass 	 Everything more store form common"""
joseph_johnston_1961	55.0	59.1	"""Note: Research drug answer knowledge	 then Want bad story"""
brian_schneider_5953	25.0	19.1	"""President simple clearly speech; Note marriage air single condition 	 Body safe government"""
jeremy_jones_8339		39.1	"""Risk leave fear; Price our along 	 Themselves trip make"""
sarah_quinn_7130	20.0	13.1	"""Note: More happy include	 then Eat easy election young"""
john_mitchell_2107	97.0	36.1	"""Half: Population	 Must"""
barbara_dds_8186	11.0	29.1	"""Note: Institution second send about	 then Describe evening candidate play"""
annette_romero_8907	27.0	53.1	"""Visit send; Worker office 	 Challenge"""
marvin_mclaughlin_5431	100.0	58.1	"""Number catch cost discuss: Road	 Executive"""
randy_murphy_5555	95.0	63.1	"""Word require board half attention	 Rate see Sense take ready"""
john_simmons_8455	87.0	52.1	"""Long simple: Go	 Friend star arm both"""
tiffany_reed_6487	74.0	75.1	"""Note: Could discussion board	 then Down drop"""
tristan_burke_1490	46.0	95.1	"""Wear same idea; Myself necessary 	 Travel deal involve recently because scene"""
randy_poole_6936	91.0	95.1	"""(Place require sea) 	 Why year give service and Between door"""
john_torres_8794	66.0	1.1	"""Note: Night consider piece investment foreign open	 then Particularly opportunity sometimes gas remember during"""
christopher_ferguson_4666	16.0	5.1	"""Fast training experience white; Little 	 Response attack"""
crystal_johnson_8741	47.0	15.1	"""Ten include leg people: No resource time once technology certainly	 Structure star moment product seek"""
shari_schwartz_0430	24.0	85.1	"""Material to; Serve page 	 Role check film"""
gina_bryan_3145	98.0	39.1	"""Note: Career newspaper hair	 then Factor appear generation party"""
louis_campbell_3017	29.0	90.1	"""Note: Political writer education	 then Interesting teach if call employee"""
kayla_montoya_0998	19.0	79.1	"""Note: Share	 then Eat"""
cody_huff_9440	57.0	98.1	"""Fear offer theory	 Page federal increase out indeed Artist various thing point religious"""
diana_phd_5844	58.0	91.1	"""Push north; Represent candidate size official capital 	 Attention respond accept"""
