username;age;salary;total_count;summary;comment
ricky_hall_6279;75.0;4.1;3.2;"""(Cost couple) ; Among home cultural character and One deal as""";"""Morning dinner; Government wife difficult pull sea ; Section approach"""
adam_stewart_4122;6.0;94.1;99.2;"""(Large) ; Per and Read large issue""";"""(Break choose responsibility financial month) ; Family and Notice school science people among"""
tom_sawyer_8748;87.0;61.1;82.2;"""Body she heavy: Dark sometimes food fish; Study reduce test""";"""Call rest: Positive pull even chair; Everything"""
brittney_walker_1184;78.0;38.1;74.2;"""(Hair prepare) ; Space TV sing and Hand""";"""Decade strong: Customer near; Toward suffer"""
robert_walker_1832;82.0;48.1;27.2;"""(Future meeting arrive) ; Arm movie prove and Senior full available gun""";"""Claim; Major across ; Own guy become boy"""
stephanie_walker_3348;67.0;64.1;57.2;"""(Expect out next must box exactly) ; Newspaper artist page camera and Professor scene author assume expert""";"""Respond remember home rule foreign; Magazine question night leader Policy painting"""
alyssa_duncan_9275;23.0;87.1;66.2;"""Grow ever tend choose see week: Tough may reality capital doctor; Until over what""";"""Series fear near rate factor field; Low Station raise data claim operation"""
scott_roberson_2384;34.0;27.1;37.2;"""Both; Western including Him""";"""Chair answer; Read pressure instead Federal commercial"""
mrs_dds_1372;62.0;91.1;99.2;"""(Home health change together find) ; Bill protect and Half student""";"""Often source: Kind member white; Vote hand"""
angie_lane_0014;84.0;;67.2;"""Me; Treat may Easy Republican crime either""";"""Direction central; Hot try contain ; Class film suffer"""
michael_middleton_7479;51.0;3.1;34.2;"""Series reason style; Follow ; Course""";"""Note: Choice party; then They rise"""
teresa_nash_4282;97.0;53.1;43.2;"""Financial those; Site cause wear ; Son day""";"""Democratic send office; Admit reveal hear Movement surface fly treat"""
elijah_spencer_4280;77.0;60.1;84.2;"""Note: Stay next past; then Difficult course decide work""";"""Us anyone why actually; Report TV similar risk during huge Poor"""
breanna_ortiz_6239;58.0;58.1;39.2;"""Note: Spend authority choice; then Magazine service""";"""Note: Fall charge total notice maintain sign; then Think list"""
toni_williams_9647;93.0;97.1;5.2;"""Note: Carry everybody cell; then Drug leg concern""";"""Month them: Police happy line; Cut between"""
todd_huffman_5540;9.0;80.1;72.2;"""(White such) ; Blood note boy whether point and Report process score""";"""Note: Work interest; then Determine service"""
anna_daniels_5278;8.0;64.1;59.2;"""Newspaper party somebody forget; Black management Ask more use""";"""Realize break: Politics win film free; Almost yes"""
bailey_long_5141;16.0;7.1;22.2;"""Benefit act issue one: Wish movie bar; Different most management""";"""Total cup start; Design between range important sister ; With health"""
holly_lowery_4656;63.0;3.1;25.2;"""(Hair again) ; Page and Section one""";"""Baby thing: Watch however continue; Think hand recent"""
kendra_williams_5199;11.0;15.1;52.2;"""Direction scientist: Difficult early; Behind long situation""";"""Note: Give; then Standard suddenly"""
regina_mueller_4910;15.0;53.1;74.2;"""Note: Step lot college white; then Education training hour""";"""Herself he condition company present; Development other Mean actually"""
michael_fisher_5625;44.0;99.1;80.2;"""Nice much: Step school notice clearly; Nothing from couple quite""";"""(Material peace) ; Well race charge water thought and Head paper"""
crystal_peters_2230;46.0;12.1;83.2;"""Body fish: Same report; All food production""";"""Agree pattern foot under already; Any garden international ; With fine"""
david_bruce_7919;92.0;43.1;65.2;"""Note: Rule better; then Gun""";"""Let may piece somebody consider: Road answer protect also; Red skill lot note husband"""
mark_johnson_4000;68.0;62.1;57.2;"""Note: Too; then Strategy kitchen local wall""";"""Note: Build dinner; then Her worry citizen"""
dennis_rodriguez_9738;52.0;43.1;91.2;"""(Gas name could) ; Mind system have central card and He suddenly""";"""Budget probably officer us; Attack son pull summer Need policy"""
nicole_lewis_2795;17.0;29.1;69.2;"""Tell remain begin far medical late; Team generation Last magazine""";"""(Adult possible arm) ; Information environmental your and Down"""
david_casey_2446;44.0;84.1;31.2;"""Note: Success above; then Loss expect others""";"""Go nor possible; Community watch crime Around hotel"""
ryan_barron_2186;15.0;88.1;96.2;"""Describe raise voice; Manager ; Goal paper let church head""";"""First agency process general huge: There upon home; Recent"""
jose_silva_1396;20.0;19.1;16.2;"""Space citizen sea law nation research; Such race follow ; Like that meeting store win""";"""With experience; Attack reduce site leave per above Yet hard physical"""
