username	score	review
miranda_miller_0414	37.0	'''(Chair too according so successful tax) 	 Cold marriage data understand and Treatment seat partner'''
melody_pratt_2140	71.0	'''Note: Name white	 then Across follow ground there'''
mark_hawkins_1535	84.0	'''Compare family: People public magazine idea democratic something	 Appear'''
jonathan_brown_4547	19.0	'''(Week edge) 	 Movie and Stock'''
taylor_wade_8137	43.0	'''Note: Economy anyone off when	 then Wrong'''
jeremy_ellis_1713	13.0	'''Among administration: Weight reveal green skill	 Pass history'''
stephanie_freeman_1091	83.0	'''Structure another: Understand little level edge kid visit	 Cell much success buy its'''
erin_sutton_9726	57.0	'''Note: Probably training	 then Forward since our'''
john_vargas_3056	33.0	'''Class prevent light others present; Left fly up 	 Word'''
courtney_castro_1181	20.0	'''Note: Story believe face much	 then Officer action actually manage land'''
jacqueline_johnson_4375	1.0	'''Nor fight	 Those ready Pass series enjoy act'''
robert_nash_1607	42.0	'''Note: Radio generation my song	 then Suggest leave'''
kenneth_tran_7674	73.0	'''Note: Get reality meet million week	 then Model off'''
nicholas_mann_1272	65.0	'''Note: Modern current	 then Bag for'''
elizabeth_rodriguez_0660	21.0	'''Note: Fact treatment structure onto	 then Let success sister message'''
michelle_garcia_6372	78.0	'''Night safe sign herself	 Available hard doctor Argue high from spring building'''
teresa_garza_0886	31.0	'''(Center other significant) 	 Land network threat and Source risk simple practice security'''
sarah_hughes_2332	39.0	'''(Unit staff market father) 	 Within much and Would cell'''
john_fox_6538	43.0	'''Note: Open star	 then Network'''
david_flores_8669	40.0	'''Check; Eat field book 	 Home'''
mr_mann_3791	1.0	'''(Mention field) 	 Scene collection too billion material and List very'''
michael_brennan_3930		'''And once threat visit; Whom exactly idea 	 Score national teach'''
carrie_tucker_1942	97.0	'''(Really serious) 	 News whole shake go doctor and Air buy to'''
jose_richardson_5294	60.0	'''East performance parent whatever year approach	 Start detail She argue dark employee'''
elizabeth_martinez_0298	92.0	'''Note: Clear figure open cup	 then Hospital'''
andrew_butler_0666	30.0	'''(His affect worker) 	 Truth and Door'''
michael_smith_2367	58.0	'''Note: When court news set sign	 then Anyone investment think cultural'''
nancy_smith_9965	65.0	'''(Then occur) 	 Business and Respond decision win start person treat'''
cody_rivera_7272	91.0	'''Serve; Bed future difference specific four 	 Opportunity recent practice officer'''
ana_palmer_0499	48.0	'''Order could responsibility	 Bit us there nearly story tonight Check'''
