name,username,price,rating,comment
Joan Parsons,joan_parsons_4164,90.0,90.1,'''Deserunt repudiandae sequi: Quisquam nostrum doloremque, Commodi eum earum'''
Ben Pritchard,ben_pritchard_1561,2.0,77.1,'''Ipsum similique quis; Iusto consectetur at , Adipisci reprehenderit tenetur aperiam'''
Irene Jones,irene_jones_5021,69.0,19.1,'''(Odit voluptatum iusto) , Eaque illo expedita amet numquam perferendis and Numquam eveniet voluptas aspernatur provident quidem'''
Wayne McDonald,wayne_mcdonald_5884,42.0,85.1,'''Officiis: Blanditiis consequatur, Quidem hic facere cum nostrum'''
Samantha Johnson-Hall,samantha_hall_7576,12.0,66.1,'''Blanditiis dolorum ut commodi: Earum accusantium, Laudantium quos'''
Kayleigh Kerr-Rose,kayleigh_rose_4745,94.0,59.1,'''Note: Laboriosam ratione, then Sint'''
Mr Neil Coleman,mr_coleman_8639,9.0,48.1,'''Note: Eveniet, then Ipsa'''
Joan Bull,joan_bull_2283,84.0,52.1,'''(Aspernatur molestiae saepe consequuntur totam) , Eos ducimus and Sit minus'''
Miss Jasmine Adams,miss_adams_1908,63.0,47.1,'''(Magnam excepturi) , Esse possimus suscipit and Laborum maxime qui perferendis'''
Tracy Griffiths,tracy_griffiths_1280,60.0,17.1,'''(Minus mollitia aliquid) , Maiores adipisci accusantium unde neque provident and Mollitia voluptatum sequi nam voluptatum'''
Diana Davies,diana_davies_1747,51.0,36.1,'''Assumenda commodi: Ut, Molestiae facere'''
Dr Karl Baker,dr_baker_0753,46.0,77.1,'''Repellat, Exercitationem quis repellendus Beatae'''
Beth Rogers,beth_rogers_3296,20.0,80.1,'''Iure reiciendis aut ut: Velit aliquid, Veritatis amet numquam'''
Mr Michael Kirby,mr_kirby_1173,53.0,21.1,'''Note: Ipsam veniam ut porro, then Dolores fugiat iure omnis reiciendis'''
Dr Alex Winter,dr_winter_4953,45.0,24.1,'''Praesentium omnis repudiandae placeat, Totam dolor quibusdam facilis eum Eius'''
Keith Jenkins,keith_jenkins_1855,40.0,8.1,'''Note: Animi aspernatur assumenda, then Illum tempore ex modi ipsam ut'''
Ms Jennifer Davies,ms_davies_6191,79.0,6.1,'''Fugiat recusandae placeat, Enim Dolores necessitatibus aliquid excepturi corrupti voluptatibus'''
Joanne Bradshaw-Ryan,joanne_ryan_6200,18.0,92.1,'''(Rerum ex itaque) , Rerum est and Ratione error nulla'''
x,tony_adams_3146,,51.1,'''Note: Consequatur cum, then At'''
Paula Allen,paula_allen_4224,58.0,35.1,'''Voluptas ullam beatae magnam: Ipsa aspernatur totam aliquid, Occaecati quae repudiandae'''
Natasha Rees-Allen,natasha_allen_0715,19.0,,'''Sapiente occaecati accusantium: Vero, Quas cum'''
Mathew Harrison,mathew_harrison_0594,55.0,90.1,'''Note: Ducimus facere, then Sed animi'''
Alex Field,alex_field_8586,81.0,87.1,'''Distinctio eligendi beatae, Aspernatur et ducimus Delectus alias'''
Jodie Shah,jodie_shah_5657,75.0,67.1,'''Ducimus: Vitae ipsam quo animi, Doloribus'''
Dr Danielle Collins,dr_collins_0137,41.0,20.1,'''Veniam nihil expedita, Modi Soluta id'''
Stacey Knight,stacey_knight_2092,46.0,33.1,'''Repellendus fugit; Perferendis corporis porro rem blanditiis recusandae , Ut modi corporis sapiente harum similique'''
Dr Martin Hunt,dr_hunt_3861,30.0,63.1,'''Maxime commodi sequi: Tempore pariatur deleniti, Reprehenderit laborum aperiam assumenda'''
Martyn Davis,martyn_davis_9553,62.0,79.1,'''Quo quibusdam; Delectus tempora , Aliquid accusamus'''
