username	price	total_count	note
jennifer_pugh_6724		62.1	'''Information by: At scene	 Deal spend order car'''
stephen_gilbert_3450	16.0	19.1	'''Indicate appear prove case put; Miss seek mean mind 	 Science provide bar'''
brandon_chapman_6477	73.0	49.1	'''Note: Group	 then Have prepare'''
jason_jensen_2461	64.0	37.1	'''Some child during effort when rich; Bed 	 Name throw'''
abigail_harrison_6222	64.0	41.1	'''Add bit theory public: Bring record	 Your future'''
peter_montoya_9753	44.0	77.1	'''Eight attack human evening wall program: Book if shoulder beat	 Since apply one'''
alicia_wilson_8734	16.0	44.1	'''Through show five class money accept: Raise behind far opportunity between here	 Radio note perhaps product kind'''
anita_johnson_3655	50.0	26.1	'''(Clear budget experience effect) 	 Work order management and Few else follow'''
kristi_richardson_4099	88.0	91.1	'''(Require determine eye) 	 All party continue wear technology and Magazine country kid'''
ryan_zamora_3056	92.0	76.1	'''Impact; Role protect 	 Act add itself herself'''
jennifer_henderson_3191	38.0	32.1	'''Network hot discussion: Theory third have red police tell	 Effect learn else answer young'''
michael_king_9723	57.0	77.1	'''Thank couple tend	 Near executive economic Sell him century provide say'''
monica_salinas_9156	53.0	33.1	'''Note: Moment brother there	 then Among marriage'''
sheena_higgins_0010	27.0		'''Note: Under standard serve party	 then Debate strong'''
elizabeth_schmidt_6715	40.0	10.1	'''(Chair job tend live lawyer performance) 	 Statement and Direction'''
michael_weaver_4851	93.0	76.1	'''Note: Analysis article share	 then Focus'''
robert_rogers_2165	75.0	61.1	'''Wear civil; Read general true money bad 	 South'''
heidi_dodson_9882	88.0	19.1	'''But which would onto production edge	 Least across media example Pressure agreement red management'''
jennifer_solis_7609	50.0	64.1	'''No; Quite dark 	 Save really'''
elizabeth_rogers_9852	4.0	86.1	'''Site resource both voice	 Grow half By movie difficult'''
alexis_simmons_3122	32.0	67.1	'''Tell know risk; Clearly Mr what 	 Full name under protect issue heavy'''
matthew_patterson_3551	21.0	92.1	'''(Home simple idea measure series close) 	 Research size history and Dream compare'''
joanna_foster_5613	93.0	28.1	'''Note: Life cell travel relationship	 then Relationship magazine quite'''
david_murphy_3951	51.0	26.1	'''Turn; Board at media station 	 New cover agreement about'''
jennifer_wilson_0007	6.0	62.1	'''Might movie; Individual space sport north performance budget 	 Sort billion'''
jeremy_woods_9989	74.0	47.1	'''When: Later hotel nearly general art important	 Store'''
