username;age;score;total_count;description
lindsey_smith_3568;26.0;62.1;64.2;"""(Eos laudantium) ; Nisi reprehenderit rem in and Aut veritatis nostrum"""
dr_ward_4477;60.0;45.1;92.2;"""(A est quae laboriosam) ; Odit aspernatur and A repellendus quo nam nobis nesciunt"""
sandra_read_2292;56.0;20.1;91.2;"""Porro; Modi voluptate facere quisquam Inventore ad porro"""
ian_armstrong_3350;81.0;88.1;55.2;"""(Voluptatum amet tempore) ; Officia id and Nobis dolorum officiis debitis ea"""
janice_hudson_9180;37.0;91.1;;"""Note: Ducimus sunt; then Aspernatur nihil in voluptas repellat numquam"""
dr_phillips_5577;52.0;54.1;43.2;"""Sequi consequuntur perspiciatis tempore; Unde delectus deleniti aliquam vitae vero Facilis tenetur"""
lewis_robinson_4905;8.0;11.1;41.2;"""Quibusdam minus error dicta; Excepturi rerum quae Veritatis ratione quasi"""
norman_atkinson_5345;7.0;100.1;52.2;"""At cumque; Unde facere Quidem cumque sit saepe"""
tom_bennett_9637;29.0;12.1;97.2;"""Cumque quam; Sunt dolorum eveniet molestiae ; Numquam accusamus maxime"""
mr_sharpe_8775;100.0;65.1;14.2;"""Quae error: Soluta mollitia perspiciatis repudiandae consectetur itaque; Recusandae perspiciatis quas"""
gavin_hughes_5641;35.0;30.1;28.2;"""Numquam: Accusantium veniam perspiciatis; Quae"""
mrs_wilkinson_8528;3.0;46.1;37.2;"""Inventore nesciunt autem: Sapiente occaecati reprehenderit; Blanditiis exercitationem commodi beatae"""
paul_harrison_6177;91.0;68.1;79.2;"""(Provident dolorum sapiente voluptatem voluptate) ; Recusandae and Minus officia ipsum voluptatum"""
christopher_king_2820;60.0;10.1;18.2;"""Note: Quis tempore numquam neque sint; then Unde animi"""
dr_cooper_7854;37.0;66.1;8.2;"""Note: Repellat fugit sit; then Possimus"""
bryan_smith_3234;25.0;24.1;92.2;"""Architecto animi sunt eius maiores repellat; Ducimus Voluptatem ea perferendis dignissimos"""
jill_evans_5206;97.0;80.1;25.2;"""Nulla reprehenderit accusamus; Eius exercitationem natus sit similique Deserunt facere odit minima"""
graeme_johnson_3022;90.0;62.1;2.2;"""Numquam sunt: Cumque; Cumque"""
miss_smith_6738;38.0;9.1;15.2;"""Note: Ratione cumque; then Expedita"""
jade_andrews_8200;7.0;12.1;90.2;"""(Natus dolores) ; Architecto and Iste eveniet ipsam"""
mohammad_ali_2706;90.0;93.1;31.2;"""Note: Nihil pariatur quibusdam porro; then Quo aliquid"""
marian_hope_3065;91.0;90.1;12.2;"""Iure: Suscipit quae quae; Aperiam voluptas molestiae"""
gordon_davies_4463;20.0;34.1;77.2;"""Veniam consequuntur: Eum; Consequuntur"""
miss_finch_3389;78.0;90.1;74.2;"""Aspernatur voluptatibus qui asperiores; Corporis ex hic Quisquam ducimus officia mollitia voluptatum"""
miss_jones_2190;34.0;40.1;48.2;"""Laboriosam possimus; Distinctio non ; Numquam voluptas"""
lewis_akhtar_3930;62.0;14.1;48.2;"""Note: Consequuntur delectus; then Reprehenderit"""
jamie_mann_7185;19.0;97.1;9.2;"""Cumque; Ratione animi repudiandae ; Nemo unde et totam aliquam"""
dr_sinclair_8981;1.0;76.1;36.2;"""Note: Quia quo a perferendis numquam; then Soluta maiores"""
dr_white_7487;79.0;92.1;33.2;"""Id atque neque vel: Inventore cupiditate placeat aperiam; Iusto non saepe hic"""
naomi_hunter_8963;56.0;45.1;92.2;"""Doloremque in id vitae; Exercitationem Consequatur non labore"""
mitchell_williams_8336;16.0;;39.2;"""Consectetur ducimus eveniet; Adipisci provident consequuntur quo ; Officia nesciunt ut"""
abdul_jackson_8077;82.0;97.1;44.2;"""Repudiandae quaerat voluptate amet; Non Minima esse exercitationem officia totam"""
cameron_phillips_7226;67.0;41.1;17.2;"""Modi harum provident earum sed nemo ducimus; Cumque atque Perspiciatis cumque eveniet"""
mr_dawson_7026;40.0;50.1;61.2;"""Note: Temporibus repudiandae; then Magni optio"""
amber_pickering_1524;17.0;18.1;44.2;"""(Vero laboriosam ea molestias molestiae) ; Nulla and Eveniet incidunt molestiae"""
kyle_welch_5739;54.0;13.1;73.2;"""Note: Quidem; then Enim quisquam odit dolores"""
