# This is a comment line to skip
username;total_count;score;note
sean_tucker_6770;45.0;65.1;"""Or design offer town event man; Prove nation ; Audience talk"""
louis_schultz_1861;4.0;96.1;"""Theory late eight himself else: Treat rise leave raise; Spring hour question"""
dakota_fisher_4544;78.0;53.1;"""Future really culture set: Rather per its; Responsibility third response difficult floor"""
patricia_oconnell_4404;62.0;71.1;"""Open end; Science scene head national ; Help majority method"""
antonio_santiago_7306;45.0;28.1;"""Red: As; President stock car"""
justin_carter_8593;74.0;22.1;"""(Role ability) ; Ten through and Among politics difference television"""
stephen_dennis_6377;14.0;;"""(Serious friend) ; Especially firm teacher understand and Election"""
sandra_gomez_7952;33.0;58.1;"""White cultural recent; Difficult recent why data ; Seem maybe"""
sean_hall_7155;;95.1;"""Even; Single ; Guy training and"""
ian_bailey_5266;33.0;54.1;"""Skill trouble: Audience something responsibility; Music"""
renee_brown_4642;75.0;71.1;"""Born sister; Ground Include board firm"""
ronald_melendez_2097;7.0;60.1;"""(Low kitchen scene line option) ; Suffer determine less and Main popular sign at"""
thomas_barker_4193;90.0;72.1;"""City right whose wife mean: What wrong somebody; Commercial"""
brandi_gonzalez_4352;90.0;96.1;"""Fact table; Adult part attorney save Begin as"""
mark_brown_3420;70.0;41.1;"""Note: Fast put there; then Truth bed"""
kevin_clay_1401;87.0;72.1;"""Chair; Rate me Energy figure letter"""
tony_dixon_0535;57.0;14.1;"""Red; Majority really win certainly ; Table goal care"""
andrea_williams_6770;14.0;65.1;"""Arm task control move: Student art or; While"""
jennifer_jones_6558;68.0;87.1;"""Actually police; Song major somebody subject Inside court shoulder hope"""
scott_olsen_4541;14.0;29.1;"""School left might central discuss: Serious ten test result; Moment glass main"""
jay_smith_4911;16.0;17.1;"""Heart; Shoulder Song bring newspaper"""
david_padilla_1673;98.0;21.1;"""Detail challenge century; Far expert South group fall government environmental"""
terry_hartman_5360;91.0;100.1;"""Certainly time kid player: Data section minute; Finally"""
marcus_medina_9103;27.0;94.1;"""(Yourself) ; Check store sort stay small about and Space up foreign risk"""
amanda_garcia_2757;25.0;99.1;"""(Anyone themselves reflect dark part) ; Herself southern and Finish where own"""
gloria_morgan_8323;94.0;50.1;"""Century impact; Ability number Forget"""
hector_hall_7309;96.0;24.1;"""(Security move blood wind drop) ; Community end growth social nor and Keep whole bring"""
mary_ellis_3528;19.0;51.1;"""Scientist: Behind institution; Me family I close"""
brandon_knight_5910;40.0;90.1;"""Note: Still we finish community red moment; then Different source newspaper"""
jennifer_warren_7272;17.0;43.1;"""Public rest social risk visit: Society situation letter billion; Half stand girl produce"""
kara_brooks_9134;55.0;43.1;"""Note: Want various performance; then Number official"""
tyrone_guerra_9550;22.0;82.1;"""Risk ready third suddenly stock magazine; Well common our prove event ; Affect collection"""
richard_johnson_6174;75.0;17.1;"""East financial study event thus; Land condition mind hair special At ago tell word rise"""
mr_woods_5055;31.0;75.1;"""Note: She staff; then Traditional for"""
jasmine_burton_4601;37.0;26.1;"""International let sell: Customer; As card exist order"""
brooke_foster_5586;74.0;27.1;"""(Great office pattern) ; Mouth whom and Unit"""
jon_valdez_7483;86.0;24.1;"""(Ever continue) ; Herself stock chance and Including raise"""
mr_ward_2904;62.0;56.1;"""See church drug; Among detail ; Coach page player"""
courtney_smith_2557;3.0;28.1;"""(Current book heart) ; Term fact section ever else everyone and Argue probably enjoy"""
aaron_long_6378;64.0;44.1;"""(Customer soon simple war) ; Much clearly and Close throw chair top"""
kayla_foley_3816;91.0;14.1;"""Develop degree out daughter field; While up week hit ; End western"""
