# This is a comment line to skip
username;score;review;note
jason_matthews_0991;38.0;"""Vitae porro ab: Earum quia porro; Quibusdam reprehenderit vitae impedit nisi""";"""(Dolorum illum) ; Ratione praesentium accusantium and Expedita"""
alan_brown_7652;36.0;"""Explicabo eveniet; Rerum ; Ducimus ab""";"""Note: Soluta quibusdam non beatae; then Animi laudantium ad debitis dolorem corporis"""
mohammad_walker_7643;82.0;"""Illo quam voluptate; Exercitationem corrupti Corrupti nam minima eligendi vitae""";"""Iure: Architecto adipisci dicta; Praesentium eum amet"""
eleanor_turnbull_5532;80.0;"""(Officiis impedit) ; Hic quasi deserunt quae atque and Accusamus dolore dicta asperiores a vitae eos""";"""Maiores voluptatem et ipsum: Pariatur molestiae; Non mollitia enim facere"""
mathew_blake_6420;87.0;"""(Saepe corrupti nulla) ; Vero quidem facere expedita harum blanditiis and Alias fuga""";"""Harum aspernatur aut repudiandae asperiores omnis; Quis ipsa sequi debitis Quam doloribus"""
leonard_sanderson_0629;11.0;"""Excepturi aut: Animi; Nesciunt rem odit""";"""Veritatis consectetur occaecati quaerat assumenda: Sunt porro; Beatae placeat"""
iain_lawson_9301;46.0;"""Quas ullam officiis cupiditate itaque iure; Fugiat ab autem culpa qui Pariatur ad deserunt""";"""(Dolores nihil reiciendis necessitatibus vitae) ; Cupiditate and Vel sunt"""
diana_payne_3176;71.0;"""(Veritatis est laboriosam provident) ; Amet and Vel""";"""(Velit quas expedita soluta quis saepe) ; Dolor and Harum ipsam"""
cameron_holland_0854;;"""Autem non libero: Id nihil; Mollitia fugit quasi esse illum quae""";"""(Amet atque deleniti) ; Amet tenetur praesentium ducimus and Eveniet occaecati necessitatibus inventore facilis optio"""
kevin_brown_5941;5.0;"""(Doloremque harum nemo asperiores) ; Ullam velit iure porro inventore minus and Hic asperiores quis cum eaque""";"""Asperiores mollitia voluptatum quia sapiente; Consectetur explicabo amet aperiam vitae sit ; Voluptates quam error"""
dorothy_evans_9760;90.0;"""Consectetur doloremque adipisci: Esse similique; Autem minima labore quasi nostrum""";"""Nihil et quam commodi ea; Eligendi illum commodi natus itaque Dolores"""
dr_james_0546;41.0;"""Note: Nulla quia consequatur error; then Facere facilis""";"""Nam numquam blanditiis earum officiis quam: Ipsa fugiat; Quaerat aut at"""
christopher_morris_5717;97.0;"""Dignissimos commodi cupiditate; Quidem Eos maiores consequatur consequuntur sapiente id""";"""Note: Impedit ut dolorem; then Amet dignissimos"""
georgina_swift_7066;43.0;"""Ipsum voluptas est nostrum; Nobis tempore harum voluptatem laudantium ; Dolores in perspiciatis""";"""(Amet impedit quis nobis totam) ; Quos doloremque and Repudiandae quam"""
mr_taylor_9736;86.0;"""Velit dolor impedit: Vitae incidunt eligendi deserunt; Doloremque sed""";"""At modi cum; Explicabo inventore iure ; Alias"""
rachael_hawkins_3426;12.0;"""(Iusto harum) ; Molestias ab and Quasi hic nesciunt id et""";"""Odio dolorem; Reprehenderit minima omnis minus Expedita commodi"""
martin_may_3547;8.0;"""Note: Ullam veritatis sed; then Eveniet amet voluptates""";"""Aliquam; Eligendi nulla Recusandae cum"""
stephen_smith_2835;93.0;"""Sint cupiditate laudantium; Doloribus excepturi ; Sint exercitationem""";"""Ullam fugiat amet reiciendis ipsum; Ut ipsam tempora ipsa similique Expedita"""
catherine_patel_0960;81.0;"""Quibusdam; Repudiandae nemo Tempora ducimus""";"""Vel repellat nihil ullam; Quasi commodi ; Eveniet sint error maiores"""
deborah_bentley_9365;31.0;"""Unde doloremque velit debitis sit quaerat; Nulla architecto repellendus ; Exercitationem perferendis natus quibusdam nisi tempora""";"""(Ex quidem voluptatum earum harum) ; Eaque iure nisi and Veritatis nemo perferendis voluptate"""
mr_smith_2674;60.0;"""Vel minima explicabo modi vel: Dolorum; Cumque""";"""Accusantium deleniti; Quisquam nam ; Animi inventore labore"""
allan_smith_5647;39.0;"""Note: Provident maiores iure doloribus deleniti; then Impedit a eaque""";"""Note: Ipsam distinctio; then Nulla esse vel"""
gillian_arnold_9742;47.0;"""(Quae itaque) ; Similique odit and Ut ipsum ipsam ea eligendi""";"""Note: Nesciunt; then Quae dolores officia veritatis"""
mr_gibbons_7840;77.0;"""Vel vitae; Magni ut perspiciatis iste expedita ; Magni quae""";"""Note: Natus voluptatum; then Qui minus eius provident"""
jean_pugh_8744;34.0;"""Voluptatum quisquam libero doloremque: Suscipit corrupti facere tempora; Tempore sequi ipsum""";"""(Ut repellat ad facere) ; Dignissimos blanditiis and Rerum odit"""
gary_ahmed_3138;37.0;"""(Hic facilis) ; A sapiente deserunt and Cum pariatur vel illum""";"""(Architecto) ; Eum dolorem and Recusandae iure expedita"""
christopher_coates_7810;74.0;"""Facere esse corrupti veritatis ducimus aut doloribus; Aperiam fuga officiis ; Voluptate nihil repudiandae eaque repudiandae""";"""Ducimus dolorem repudiandae; Laboriosam reprehenderit quas neque neque voluptas ; Architecto minima ipsam"""
mrs_newton_6452;91.0;"""Saepe debitis; Ducimus ; Deserunt ratione impedit""";"""(Qui) ; Eum et error and Minima laboriosam dolorem"""
miss_perkins_3316;4.0;"""Fuga inventore molestias; Veniam earum Deleniti reprehenderit""";"""Sint fuga nihil; Quae maxime ; Illo"""
jeremy_jackson_7191;22.0;"""At ipsum fugiat: Magni molestiae qui; Debitis saepe""";"""(At magni veniam) ; Tempore laborum officia and In est"""
brandon_gray_5592;71.0;"""(Iusto possimus) ; Perspiciatis and Tempore""";"""Odio minima fuga dolore; Eligendi ; Provident esse"""
dr_whitehouse_8749;81.0;"""Tempore quidem: Adipisci ex impedit; Tempore voluptas quam voluptatibus fuga dolorum""";"""Ab: Dolorem; Ex aliquid explicabo"""
jake_lamb_8030;22.0;"""Odio animi ut; Nostrum quidem rem fugit quo ; Id mollitia doloribus""";"""Repudiandae labore; Quibusdam adipisci repellat commodi ea Qui quod suscipit sint sed"""
caroline_norton_7127;19.0;"""Necessitatibus enim sint; Culpa sequi ex voluptatem ; Atque""";"""(Debitis iure consequuntur) ; Perspiciatis labore and Facilis eligendi quia rem dolorem"""
scott_hargreaves_7272;55.0;"""Note: Commodi eveniet ex pariatur; then Sit accusantium aperiam""";"""A cupiditate; Et veniam Repudiandae non"""
steven_harris_8349;44.0;"""Odio beatae: Dolorem modi accusamus reiciendis; Officiis odio cumque quisquam repudiandae""";"""Note: Non facilis; then Soluta voluptas earum maiores"""
rachael_hawkins_2639;91.0;"""Note: Illo magnam aperiam expedita; then Commodi voluptates dolores dolorum culpa""";"""Sint pariatur et deserunt: Consequuntur alias; Cumque atque"""
kathryn_nash_1453;73.0;"""Repudiandae inventore: Saepe placeat laudantium maiores cupiditate ut; Quis ex repudiandae""";"""(Ducimus necessitatibus et repellendus fugit) ; Fuga vero aliquid quod natus iusto and Veritatis nihil"""
liam_robinson_5474;75.0;"""Note: Enim aliquam; then Reiciendis""";"""Quo perferendis esse exercitationem natus; Ad neque eaque ratione ; Blanditiis distinctio at"""
debra_mccarthy_7072;18.0;"""Nemo dolor necessitatibus: Repellat recusandae; Aspernatur""";"""Esse tenetur itaque ducimus accusamus; Repellat Quaerat"""
dorothy_randall_8169;46.0;"""(Nihil nesciunt at) ; Sunt and Ad nulla qui voluptate""";"""Note: Dolorem sapiente rem ratione dolor; then Facilis"""
dr_taylor_0898;3.0;"""Alias nihil fugiat laudantium; Unde eum Architecto ad eaque voluptatum""";"""Note: Minima modi molestiae laboriosam; then Quibusdam nihil"""
shane_turnbull_5740;18.0;"""Velit cumque distinctio; Eligendi minima sequi cumque tempora ; Soluta amet quas blanditiis""";"""Explicabo fuga explicabo sit ipsum; Nulla ; Cupiditate minus"""
