username;score;rating;salary;review
alexandra_allen_1661;43.0;100.1;25.2;'''(Sapiente deserunt voluptatem doloribus) ; Et libero and Repellat sequi'''
dr_oliver_5593;95.0;31.1;96.2;'''Note: Natus commodi vitae ipsa; then Quidem eligendi'''
miss_price_8046;32.0;32.1;84.2;'''Debitis consequuntur; Nulla quam sit nobis at ; Sed repellendus exercitationem'''
shane_ali_5472;56.0;50.1;40.2;'''Facere id repellendus nam: Natus quia; Saepe distinctio'''
mohammad_murphy_7352;22.0;37.1;29.2;'''Aperiam fugiat est accusantium est consequuntur: Iure quisquam; Sint deleniti impedit'''
shaun_dean_9296;88.0;97.1;24.2;'''Note: Cupiditate; then Accusantium qui ea non ratione'''
diana_oliver_1878;28.0;72.1;77.2;'''Note: Eligendi; then Itaque laudantium repellendus molestias'''
sarah_williams_4398;8.0;90.1;71.2;'''(Dolorem ipsa) ; Impedit et ad porro tenetur and Ullam quasi amet hic aspernatur'''
christopher_pugh_3266;55.0;70.1;17.2;'''Saepe: Iure incidunt corporis repellendus; Non ducimus sed magnam'''
ms_howells_7984;46.0;49.1;10.2;'''Omnis animi velit nostrum quam aperiam: Nobis quisquam ut est; Accusantium ipsum corporis'''
joe_thomson_6916;90.0;39.1;;'''Note: Ut nihil alias; then Voluptate vel'''
kerry_norton_6275;64.0;6.1;5.2;'''Iure doloribus; Voluptate ; Cupiditate deleniti dolor optio magnam'''
ms_riley_4328;18.0;22.1;78.2;'''Dolor nemo nemo nihil a doloremque: Dignissimos reprehenderit quibusdam beatae veniam; Earum dolore consequuntur eveniet'''
june_banks_9110;10.0;13.1;54.2;'''Note: Delectus architecto error vitae; then Eius magni sint animi sequi nihil'''
dominic_young_6380;30.0;7.1;36.2;'''Note: Sint; then Unde dolores dicta mollitia blanditiis'''
ms_walker_8642;25.0;39.1;66.2;'''Magni nulla reiciendis doloremque deserunt nisi vero; Dolorem neque vel excepturi excepturi nihil ; Beatae iure'''
mr_gardner_4925;49.0;81.1;62.2;'''Tenetur corporis vitae; Consectetur ; In dicta labore aut'''
louise_johnson_2108;84.0;1.1;21.2;'''Note: Nostrum harum perspiciatis; then Unde expedita fuga'''
beverley_martin_3338;36.0;42.1;48.2;'''(Aspernatur aut saepe exercitationem) ; Hic occaecati and Ea consequuntur'''
marian_singh_9208;45.0;60.1;82.2;'''Note: Similique sint; then Non rerum'''
miss_nicholls_0174;39.0;9.1;62.2;'''Est dolores quidem ratione; Fuga ; Quae tempora id'''
neil_sinclair_9879;23.0;42.1;95.2;'''Id occaecati voluptas enim: Optio cumque distinctio; Perferendis magni repudiandae'''
thomas_taylor_0684;60.0;62.1;69.2;'''Maiores quasi enim accusantium; Ea cum Est'''
catherine_jordan_0964;39.0;80.1;1.2;'''Note: Tenetur; then Ex error deserunt et'''
holly_king_6571;58.0;66.1;33.2;'''Vel minus veritatis nesciunt; Nisi animi cumque ; Nisi'''
nicola_ford_8329;100.0;45.1;95.2;'''(Esse ab deserunt) ; Eaque sunt eos optio and Molestias earum facilis ducimus'''
dr_taylor_2107;69.0;43.1;13.2;'''Note: Cupiditate; then Vel eaque pariatur vero reiciendis'''
eleanor_walker_2675;21.0;68.1;31.2;'''(Vitae corrupti impedit vel impedit) ; Quia occaecati and Harum vitae'''
eleanor_taylor_5467;43.0;13.1;5.2;'''Repellat esse debitis ullam doloribus: Repellendus ipsam nobis; Facere doloribus magni'''
dr_miles_8708;10.0;46.1;84.2;'''Fuga excepturi soluta reprehenderit voluptatum; Praesentium vero recusandae doloremque adipisci Eligendi itaque mollitia aliquam'''
damien_kent_4826;;96.1;13.2;'''(Enim deleniti eaque quod) ; Et and Aliquid quia id repudiandae'''
valerie_walker_9116;30.0;93.1;97.2;'''(Incidunt facere in) ; Iure est and Aperiam sequi fugit officiis'''
joseph_griffin_2326;50.0;15.1;39.2;'''Pariatur voluptates; Fuga officiis cum magnam ; Placeat atque minus expedita laboriosam neque'''
hugh_watts_6393;39.0;65.1;78.2;'''Quibusdam illum sequi accusamus aliquam; Nobis facere suscipit ; Vel'''
gillian_adams_7689;5.0;45.1;6.2;'''(Asperiores vel modi placeat consequatur) ; Corporis eos unde amet and Accusamus eveniet sint a sint vel'''
sam_griffin_1357;95.0;44.1;7.2;'''(Explicabo) ; Doloremque dolore vitae rerum and Optio illo'''
douglas_hopkins_4941;60.0;8.1;28.2;'''(Hic autem asperiores amet) ; Aperiam and Maxime omnis'''
joe_dobson_3796;25.0;49.1;34.2;'''Note: Quae neque doloribus; then Error porro'''
katherine_holmes_7577;50.0;;16.2;'''Quas quibusdam: Hic nam voluptatibus; Enim voluptates voluptatum similique'''
george_davidson_9474;27.0;99.1;50.2;'''(Ratione non nesciunt) ; Voluptatibus maxime ut excepturi perspiciatis natus and Quas fugit'''
leanne_haynes_4469;76.0;20.1;1.2;'''Pariatur rem non labore; Beatae aperiam itaque libero recusandae sint ; Occaecati enim consequuntur'''
damian_bailey_1406;26.0;27.1;44.2;'''Nostrum quisquam magnam magni minus repellat: Provident dignissimos; Incidunt est soluta possimus'''
daniel_hill_6694;71.0;31.1;15.2;'''(Ipsum accusantium optio incidunt) ; Inventore and Totam quibusdam esse quidem'''
dr_kemp_3252;72.0;88.1;35.2;'''Consectetur repudiandae impedit; Alias ; Repellat autem soluta debitis placeat'''
cameron_ball_5230;20.0;29.1;71.2;'''Quia officiis; Excepturi libero sint tempore incidunt Veritatis atque'''
