username,age,score,rating,review,description
damian_johnson_1214,51.0,45.1,63.2,"""Laborum labore; Quas unde , Placeat laboriosam magnam similique et tenetur""","""(A culpa) , Similique et praesentium inventore sint et and Sit voluptatum"""
dr_james_9142,80.0,66.1,81.2,"""Odit excepturi pariatur eveniet: Enim consequatur nisi neque incidunt, Incidunt""","""Note: Consequuntur rerum tempora, then Similique dolor cumque"""
paige_greenwood_2793,,17.1,44.2,"""(Corporis nulla officia) , Laborum alias libero iure soluta and Sit accusamus""","""Ea distinctio autem; Neque perferendis , Vitae necessitatibus ratione"""
mrs_harrison_4902,1.0,68.1,13.2,"""(Deserunt nisi quasi nobis a) , Impedit ab delectus nam natus and Molestiae ut""","""Note: Iusto dicta, then Soluta error"""
leonard_martin_5324,72.0,28.1,69.2,"""(Nam molestias) , Quo vitae dolores and Quisquam iure quis nesciunt cupiditate""","""Note: Eum consequatur autem distinctio, then Dolorum dolores blanditiis eaque"""
leah_nash_8359,73.0,9.1,70.2,"""(Asperiores) , Tempora id assumenda and Veritatis""","""Note: Id aliquid expedita ratione at, then Accusantium mollitia ad quidem enim"""
mr_edwards_7958,66.0,15.1,71.2,"""(Incidunt excepturi officiis fugiat) , Maxime unde quae and Ipsam atque repellat""","""Soluta odio repellat, Ipsum nulla Beatae suscipit"""
julie_walker_9873,7.0,9.1,33.2,"""Ea exercitationem enim: Ex facilis, Occaecati at""","""Doloribus qui exercitationem natus est; Cum veritatis quo nemo tempore cupiditate , Quae nam"""
mitchell_lucas_6900,13.0,43.1,66.2,"""(Provident praesentium) , Ex inventore and Maxime itaque""","""Saepe: Placeat similique harum, Distinctio nesciunt ut"""
sara_mason_2459,12.0,93.1,40.2,"""Rem quis repellat; Qui ipsa aliquam , Sunt sequi minima autem impedit""","""Note: Quos, then Nulla velit sed nulla"""
rachel_goodwin_8801,27.0,19.1,22.2,"""Ad est, Odio molestiae aliquid Ipsam""","""Cumque: Voluptate, Explicabo officiis quisquam odit"""
harriet_lee_6112,14.0,72.1,55.2,"""Totam velit at: Odit, Hic quibusdam molestias""","""Molestiae nisi harum eligendi, Itaque quis Harum officiis harum ad ducimus"""
carly_hale_0751,55.0,31.1,1.2,"""Sint assumenda nulla cum aspernatur maxime, Laborum ad molestiae nesciunt Magni facilis soluta architecto libero veniam""","""Libero accusantium consequuntur cumque ipsam molestiae: Ex iste tenetur, Consequatur aliquam facilis reprehenderit"""
elliott_hussain_3057,10.0,21.1,29.2,"""Quisquam fuga; Aliquam dolore , Ratione""","""Iure magni iste inventore incidunt; Nihil , Omnis"""
stephen_walters_9329,45.0,66.1,62.2,"""(Provident vitae) , Quia natus voluptates commodi deserunt and Molestias possimus quo""","""Iste maxime, Reiciendis aliquam quas magnam Ut magnam ea"""
caroline_hunter_9660,47.0,72.1,6.2,"""Perferendis distinctio doloremque architecto esse iure; Pariatur , Culpa repellendus commodi nisi""","""Note: Nihil maiores vitae eaque, then Debitis"""
linda_harris_9244,62.0,56.1,48.2,"""Note: Ut exercitationem, then Suscipit""","""Qui sapiente alias sint; Rerum , Culpa voluptas error"""
dr_rhodes_6452,63.0,89.1,70.2,"""Note: Maxime ut excepturi explicabo sapiente, then Nulla consectetur""","""Note: Vel vero, then Dolores amet reiciendis ratione sed eos tenetur"""
dr_reed_9210,3.0,67.1,51.2,"""At explicabo reprehenderit dicta: Quasi earum exercitationem et quia veritatis, Aspernatur sunt soluta""","""Aspernatur eveniet at pariatur, Ipsum cupiditate dolore architecto Eius odit laborum"""
lynn_dodd_0681,18.0,70.1,12.2,"""Note: Hic, then Illo ad""","""Temporibus; Quod modi aliquid placeat quia , Doloremque quibusdam"""
beth_nash_8132,100.0,66.1,99.2,"""Commodi quos: Aperiam architecto quos sit, Saepe""","""Id; Incidunt eius corrupti similique , Sunt"""
danielle_iqbal_5258,31.0,30.1,41.2,"""Animi quibusdam voluptates, Doloremque eveniet alias hic Praesentium animi minima veniam atque""","""Officia quaerat pariatur; Adipisci , Natus earum eaque"""
george_houghton_2263,3.0,46.1,32.2,"""Quisquam aspernatur: Expedita aliquid, Placeat quasi""","""Iusto praesentium incidunt incidunt iste, Maxime alias aliquam dolor Impedit"""
patrick_lambert_2987,44.0,60.1,65.2,"""Minus molestias quia, Perspiciatis dolor Harum aut""","""Tempore: Doloribus debitis eos excepturi, Rem asperiores"""
mr_read_6127,49.0,,43.2,"""Note: Natus odio, then Nemo sint""","""Itaque: Commodi, Eum error possimus nostrum"""
georgia_jackson_2935,46.0,89.1,65.2,"""(Eligendi quod) , Magni vero sapiente and Impedit corrupti odit sapiente dolorem""","""Repellat; Quod , Cupiditate tempore odio"""
leonard_yates_9309,53.0,30.1,21.2,"""(Facere molestias corporis quod autem) , Molestias and Consequuntur""","""(Recusandae ipsam numquam) , Maxime corporis and Voluptatem vitae sequi"""
danny_norris_2591,77.0,10.1,14.2,"""Ducimus: Rerum, Voluptate earum nemo repellat repudiandae quaerat""","""Nihil voluptates non, Qui at Molestiae aut magni"""
gary_brown_0820,25.0,16.1,83.2,"""Temporibus doloremque ipsam corrupti, In labore quibusdam iusto Saepe repudiandae sint""","""(Neque fuga reprehenderit tempore) , Error quasi provident nulla odit and Sit itaque doloremque"""
marion_john_5520,63.0,76.1,78.2,"""At perspiciatis: Aliquid eaque exercitationem fugiat sapiente, Minima necessitatibus""","""Laboriosam nihil harum in; Magnam quisquam numquam molestiae illum , Vero voluptatibus"""
mr_walsh_5705,71.0,37.1,7.2,"""Eius libero: Non sequi sit, Corrupti quisquam doloribus quis delectus""","""Recusandae, Nulla ullam omnis laborum Dignissimos amet itaque illo"""
graham_brown_0251,92.0,55.1,61.2,"""(Amet ullam) , Expedita sapiente and Odio nesciunt""","""(Aliquid et) , Natus maxime and Voluptate ipsum aut"""
miss_harris_7437,63.0,99.1,66.2,"""Note: Dolor error, then Recusandae possimus saepe earum sunt quod""","""(Vero ipsum) , Sunt unde and Iusto perspiciatis"""
sharon_anderson_9044,98.0,31.1,71.2,"""Excepturi; Tempora cupiditate , Blanditiis""","""Note: Est excepturi neque ratione sequi, then Aspernatur libero inventore"""
justin_mcdonald_0021,95.0,42.1,7.2,"""(Nisi vel ea voluptatem unde) , Necessitatibus doloribus error quas and Perspiciatis quis quisquam""","""Ad blanditiis autem, Harum modi nobis harum Asperiores alias laudantium"""
carl_carr_8690,50.0,23.1,71.2,"""Note: Cum, then Ab nisi tempore vero assumenda""","""Minus eos sed accusamus amet: Eligendi blanditiis, Quam dolores"""
mr_gibbs_6717,6.0,78.1,,"""Maiores eius numquam alias: Neque commodi, Facilis facere""","""Dolores: Quas, Explicabo mollitia voluptates"""
barbara_thomas_1482,28.0,38.1,45.2,"""(Et tempore omnis dolor) , Optio accusamus ipsum quia and Harum consectetur perspiciatis""","""Vero neque ad voluptatum odit: Consequatur expedita ratione porro, Accusantium molestias aut suscipit quasi"""
jason_patterson_0210,32.0,77.1,92.2,"""Note: Neque mollitia ipsam eligendi labore, then Ad""","""(Eaque labore) , Esse vel laborum expedita autem and Ullam molestias nobis"""
jonathan_kelly_8288,70.0,32.1,25.2,"""Nostrum, Laboriosam laboriosam Occaecati""","""Non error; Ut iste laboriosam eligendi , Ab commodi voluptatum"""
