username	total_count	message
craig_moore_4140	79.0	'''Hic totam asperiores: Perspiciatis	 Praesentium impedit nam'''
lisa_russell_1157	2.0	'''(Velit alias accusantium) 	 Blanditiis modi and Fuga sunt'''
john_patel_7578	73.0	'''(Omnis itaque quibusdam) 	 Animi recusandae and Cupiditate nostrum veniam saepe deleniti'''
mr_lewis_9572	18.0	'''Excepturi sint itaque: Illo blanditiis	 Iste corporis'''
mohammad_smith_1995	33.0	'''Porro: Soluta nulla itaque	 Quaerat occaecati unde'''
jessica_brown_3887	81.0	'''Praesentium magnam quas	 Fugit beatae praesentium soluta magnam Architecto soluta debitis'''
sheila_bradley_1957	33.0	'''Repudiandae voluptatum natus omnis: Error veniam iusto minima facere voluptas	 A atque'''
eric_francis_9467		'''Note: Fugiat culpa labore neque consequatur nemo	 then Optio similique ad temporibus eaque ab'''
dr_lynch_6251	62.0	'''Note: Totam asperiores asperiores	 then Sit excepturi'''
dr_jordan_0351	45.0	'''Quibusdam ut: Animi	 Numquam quod ipsum perspiciatis'''
melissa_kaur_8107	27.0	'''Hic fuga omnis repellat: Earum exercitationem saepe	 Expedita'''
mr_bibi_0463	32.0	'''(Nisi ex) 	 Praesentium exercitationem and Cum perferendis laboriosam possimus'''
carol_smith_7148	36.0	'''Note: Consequatur aut quae	 then Ratione praesentium ipsum'''
dr_ball_6617	44.0	'''(Fugit cupiditate) 	 Reprehenderit beatae doloremque and Hic ab cum harum delectus'''
alexandra_walker_0927	40.0	'''Officiis numquam perferendis eveniet: Quas	 Delectus exercitationem cum nesciunt'''
ms_roberts_6259	55.0	'''Enim iure exercitationem debitis	 Error molestiae Aliquam tempore sunt vero molestiae'''
derek_bell_2431	62.0	'''Distinctio; Suscipit 	 Quaerat consequatur'''
naomi_thomas_1159	54.0	'''Note: Blanditiis fugiat accusamus eaque	 then Molestiae doloremque'''
ryan_smith_4744	9.0	'''Corrupti aut: Ullam quam dolore	 Molestias reprehenderit aliquam atque quibusdam a'''
dominic_barton_1445	86.0	'''Nisi architecto: Inventore labore	 Perspiciatis veniam'''
dr_jones_4162	95.0	'''(Optio excepturi) 	 Atque magni and Perferendis modi'''
wayne_bennett_8295	63.0	'''Note: Ipsam harum voluptates	 then Libero reiciendis ea'''
lawrence_lane_4130	24.0	'''Nihil	 Cumque iure molestiae Quasi rerum quis maxime'''
zoe_baxter_3936	60.0	'''Note: Ipsam commodi deleniti	 then Cumque fugit harum'''
