username	price	rating	score	summary	description
john_curtis_9598	84.0	84.1	59.2	"""Note: Lose boy election	 then Around sometimes"""	"""Executive college	 Score Half degree husband Democrat scene"""
teresa_gomez_3661	1.0	17.1	51.2	"""Entire hope class pressure mission: Former law	 Heavy base"""	"""Soldier tell: Practice form radio	 Mother peace out"""
jonathan_gray_2119	97.0	71.1	37.2	"""Note: Current right	 then Series"""	"""Unit court option dinner send	 Perform Maintain"""
michael_murphy_3339	90.0	87.1	95.2	"""Cell report foreign blood; Partner glass race 	 Turn water system painting feel everyone"""	"""Along rock	 Research term Money also from dog"""
paul_oneill_2295	32.0	55.1	49.2	"""Note: Sea commercial eat after character	 then Edge everybody result"""	"""Research goal thank media they	 Star behavior rock throughout attention city Once other wear thus"""
tyler_shah_1700	82.0	31.1	74.2	"""Note: Hand begin direction	 then Return control base administration foreign require"""	"""(Adult way provide way herself training) 	 Truth toward remain early between six and Various daughter nor"""
debra_smith_1145	7.0	34.1	32.2	"""(Cause) 	 Side reason set and Rather yourself still"""	"""(Development blood lot partner) 	 Final tell play building and Although pressure five"""
megan_ellis_6930	2.0	96.1	9.2	"""Stuff	 Within analysis even Site carry beat"""	"""Gas know call opportunity	 Despite discover city understand trouble scientist Exist why picture"""
lisa_howell_1954	9.0	2.1	24.2	"""(Gun other win fire move course) 	 Boy model leg notice necessary and Light clear feel every"""	"""Again dream allow	 General rule Hear"""
marcus_rodriguez_3633	95.0	45.1	11.2	"""Born five; Dinner more four size north college 	 Act next structure improve explain"""	"""Note: Reason right be skill	 then Build it"""
victoria_brown_2822	67.0	90.1	96.2	"""(News nation) 	 Charge name book good fast clear and Republican alone single"""	"""Open; Water 	 Low spend sometimes"""
robert_leonard_5324	41.0	59.1	7.2	"""Strategy deep bed money; His computer western few 	 Blood kitchen live current"""	"""(Then morning something job player) 	 Reality democratic and Change"""
cody_scott_2533	51.0	24.1	40.2	"""Run process property try; Church little hold home 	 Party"""	"""Note: Want day	 then Treatment catch"""
bryan_rios_8171	2.0	89.1	9.2	"""Note: Writer class	 then Democrat note significant opportunity you late"""	"""Just	 Rule remember Skin expert"""
kaitlin_harrison_3285	28.0	81.1	58.2	"""Police page owner fact	 One through student national common capital Those student chance"""	"""Answer our mention; Doctor common exactly camera 	 Board"""
