username,age,price,note
jennifer_owens_0507,72.0,48.1,'''From send tonight ten ahead new question; Phone store , Candidate then determine foot its significant friend'''
catherine_scott_3331,24.0,91.1,'''Kitchen case draw; Western year couple , Truth decide'''
mark_cole_9802,65.0,17.1,'''Note: Evening officer range traditional new run, then Character according'''
gerald_barber_2550,15.0,75.1,'''Note: Probably let, then Institution through stand against'''
chelsea_robinson_5772,65.0,67.1,'''(Fall) , Gun spring and Plan benefit meet'''
nicholas_king_3674,66.0,9.1,'''Act explain: Control job, Career time carry'''
dr_randall_1712,74.0,21.1,'''Beat bring guess leave, Artist training rest Catch begin box'''
charles_davidson_8925,18.0,81.1,'''Rock Mrs: Important bank, Interview training base'''
alyssa_md_8896,18.0,6.1,'''Note: Local hospital similar, then Affect kid'''
christy_wilson_0948,62.0,67.1,'''(Lawyer every) , Figure quality according mission and Commercial she speech strong'''
heather_miles_9999,71.0,80.1,'''(Road fill organization young) , Politics middle expect and And'''
jeffrey_cox_8354,65.0,66.1,'''City bad: Care, Away news me use begin matter'''
peter_stevenson_8716,99.0,39.1,'''Note: Decade unit, then Floor team personal nothing'''
michael_ward_0327,53.0,78.1,'''Economy, Light tax security democratic form Authority memory'''
jonathan_perez_4616,59.0,46.1,'''(Special discussion) , Instead conference and Direction land design own'''
tara_gordon_0047,29.0,89.1,'''Note: White doctor, then Step responsibility'''
marcus_owen_3286,76.0,42.1,'''(Many figure) , Entire ok and Financial officer bad fast'''
melissa_torres_8066,53.0,87.1,'''Help program international check: When short center, Community pass'''
daniel_fox_4354,5.0,78.1,'''May including: Two time, Civil think whose'''
jodi_arnold_8608,82.0,79.1,'''Note: Agency ground town should play sport, then Sense growth industry challenge kid'''
joshua_ewing_8483,21.0,59.1,'''(Far upon space) , Indeed friend bag and Subject purpose'''
roy_kennedy_5316,64.0,35.1,'''Risk himself wife, Think Could garden crime'''
charles_hill_1898,11.0,39.1,'''Off economy fill few, Surface night choice write Page adult last time Mrs'''
gregory_becker_5560,93.0,100.1,'''Yeah often skin just table participant; Successful , Tonight'''
tracey_mcgee_8572,,12.1,'''(Add role) , Bank than and Remain wait'''
jennifer_adams_9447,20.0,32.1,'''Never practice, Fish executive Voice my'''
janice_schneider_0727,61.0,64.1,'''Note: Avoid little fire, then Knowledge'''
heather_jones_5452,16.0,18.1,'''Include mission throw try also; Possible more significant important , Somebody catch'''
ryan_stafford_2303,67.0,61.1,'''Center plan father difference heart material: Know interest last, Inside ball again it right'''
james_smith_8174,61.0,66.1,'''Say view forward history: Local what, Base before hit who'''
adam_spencer_0209,55.0,75.1,'''Do leg; See , Commercial'''
steven_dvm_4929,77.0,61.1,'''Once security well close: Force your, Religious'''
edward_jones_3970,49.0,58.1,'''Gun available two, Myself sing then partner Which'''
amber_mason_0793,50.0,,'''Ahead half, Happen fire white medical Wrong option choice back'''
melinda_baker_9830,2.0,54.1,'''Near present hard letter serious, Foreign cold suddenly Reduce quality wonder fight'''
laura_henderson_8778,79.0,52.1,'''Skin my sense art; Build majority third always successful , Win figure I task likely'''
