username;score;age;message;comment
bradley_weiss_9721;78.0;25.1;"""Note: Continue former note; then Imagine there reflect""";"""(Wish heavy near daughter meeting evidence) ; Team right and Account information"""
christopher_pacheco_5068;39.0;15.1;"""Floor strategy major whole available notice; Man heart ; Relate course box field""";"""Town finish ask better; Successful rest what little big ; Picture recognize central recognize"""
barbara_jackson_8643;98.0;17.1;"""Meet respond election: Painting policy remember; Cup of design unit decide author""";"""(Federal you occur reason always win) ; Suggest though rock start face gun on and They television"""
mrs_md_1880;81.0;30.1;"""Ok high; Party on central thank ; Skin""";"""Guy training like student; Goal east nearly feeling then Only quite"""
stacy_maldonado_6423;70.0;70.1;"""Walk; Total billion Make alone""";"""Us us strong office; Build letter Particularly produce author"""
paige_peterson_2826;;84.1;"""(Since get clearly focus wait) ; Star box and Wrong exactly or more""";"""Board character: Account civil; Task result door"""
kelsey_romero_6078;84.0;84.1;"""Here ago because: Political guess; Catch""";"""Back purpose; Garden shoulder ; Economic general pass"""
teresa_white_5245;89.0;65.1;"""Note: Camera few note skill black; then Local meeting two""";"""Student step thought cut; Still page ; Receive month in truth"""
carol_dixon_5581;34.0;;"""Reach resource service pass; Take sit individual southern finish Call team Republican""";"""Evening personal; Economy where ; History find teach word"""
katherine_hanson_7160;33.0;87.1;"""Note: Rather smile leave; then Red success half contain change""";"""Alone option; Just parent various size law walk Purpose finally effect"""
brad_hill_3450;47.0;59.1;"""Note: Indicate; then Major""";"""Threat pass exactly; Stand Argue fine"""
christina_brady_2414;35.0;8.1;"""Note: Effect best fight help the; then Political fall""";"""Recognize last prepare on structure; Onto Find president"""
katherine_wilson_2380;35.0;24.1;"""Seven compare teacher method; How model professional Health million thing""";"""Note: Protect who old; then Reveal hundred top"""
jerry_moore_0267;48.0;48.1;"""Note: Current start responsibility above; then Purpose page oil education economic""";"""Note: Green measure sport; then Energy away top rest"""
scott_hines_2919;36.0;98.1;"""Although; Boy ground assume argue Realize""";"""Improve fight ask ground once; Movie company radio forget ; Role field"""
melissa_velasquez_6933;31.0;79.1;"""Behind crime: Job development; Finally magazine""";"""Note: Enter seem; then Above writer catch"""
elizabeth_franklin_4803;45.0;86.1;"""Note: Community; then Tonight""";"""Nothing audience teach; Community suddenly government public eight ; Language guess east least"""
laurie_smith_6629;57.0;20.1;"""Business; Day military of So loss including morning""";"""Identify; Key every evidence threat Hospital hair major"""
amy_roberts_6191;38.0;44.1;"""(Good near professional brother) ; Prevent performance and Party whole dog""";"""Side; Writer image difficult believe business Skin just serve"""
victoria_higgins_8764;34.0;92.1;"""Staff capital catch: Community whole natural; Clear look democratic several""";"""Large; Center gun ; Investment"""
amanda_hayes_4056;53.0;37.1;"""Note: Either; then Meet particularly forward little citizen""";"""Before method shake; Information figure eat president ; Author mean do rate"""
bobby_mason_5791;45.0;87.1;"""Feeling; Various positive number Manage film""";"""(Determine partner create style) ; Forward and Education call"""
jasmine_murphy_4961;5.0;81.1;"""Well: Whether; Stand appear eat care attorney""";"""(Reality public simple spend peace name) ; Research address wind and Call send base change"""
