username;price;rating;salary;message
claire_stephenson_7386;58.0;43.1;33.2;'''Debitis doloribus corrupti: Quibusdam placeat; Eaque'''
suzanne_simpson_3589;28.0;75.1;26.2;'''Note: Nostrum; then Quis unde incidunt odio'''
louise_rogers_2160;18.0;40.1;71.2;'''Quibusdam natus error: Deserunt voluptatum; Enim adipisci quas'''
oliver_stevens_7025;3.0;11.1;22.2;'''Eius error: Non impedit; Laborum dignissimos'''
adrian_wood_3685;33.0;76.1;;'''Nostrum; Quam accusamus repellendus Voluptatibus iste voluptatum quis repellat aperiam'''
dr_townsend_8966;27.0;8.1;63.2;'''Dicta; Pariatur voluptates officiis ; Nam'''
victor_armstrong_1831;16.0;22.1;1.2;'''(Quibusdam quam) ; Similique harum optio eius and Mollitia maiores'''
leonard_richardson_7290;;76.1;98.2;'''Consectetur dolore; Quo nobis ; Commodi ratione'''
donald_fleming_8962;26.0;92.1;99.2;'''Note: Debitis; then Ex hic fugiat'''
mrs_faulkner_0212;13.0;6.1;31.2;'''Sequi atque; Aperiam et magnam exercitationem Enim sint quia beatae'''
christine_young_0069;5.0;42.1;82.2;'''Sequi autem: Mollitia blanditiis fugiat sapiente facere; Ad commodi'''
mr_johnson_2190;33.0;14.1;84.2;'''Esse eius necessitatibus vitae: Quis fugiat voluptatum; Molestiae dolor autem'''
marie_pearce_2306;66.0;61.1;10.2;'''(Aliquid id repudiandae consectetur) ; Ad esse eveniet and Atque autem optio'''
zoe_little_7343;58.0;4.1;65.2;'''Non velit veniam ratione; Sint maiores Quod esse rem'''
angela_khan_9674;91.0;6.1;78.2;'''(Facilis dignissimos dolores) ; Quibusdam and Officiis fugit eaque'''
elliott_godfrey_0067;34.0;15.1;85.2;'''(Expedita sed excepturi) ; Cupiditate illum and Omnis'''
julia_sanders_0745;62.0;41.1;91.2;'''Culpa; Nam modi ducimus consequatur Necessitatibus animi ratione quas voluptatum'''
kathleen_hall_8138;22.0;99.1;64.2;'''Note: Dicta; then Hic recusandae unde harum'''
mary_smith_7738;66.0;23.1;78.2;'''Corrupti aliquid: Officia nostrum; Maxime nihil aliquam laboriosam accusamus'''
jessica_coles_7038;99.0;82.1;53.2;'''Quis veritatis ducimus temporibus; Alias non Magni'''
mr_miller_2274;87.0;46.1;28.2;'''Enim; Delectus fugit Excepturi quae sed'''
miss_stanley_9110;71.0;23.1;9.2;'''Exercitationem totam; Quas libero possimus ipsa laudantium ; Aperiam'''
dr_hughes_4508;43.0;28.1;52.2;'''Quaerat odio; Quasi cum autem adipisci ; Non'''
dr_phillips_1427;41.0;52.1;27.2;'''(Dolor facilis et hic) ; Velit sed ullam dolores odio aperiam and Animi'''
john_lord_4633;68.0;60.1;18.2;'''Ab doloremque nostrum architecto; Esse dolor Accusamus nihil'''
sandra_ashton_0949;27.0;98.1;44.2;'''Placeat exercitationem; Ipsa corporis ; Qui blanditiis rerum'''
gordon_kennedy_3498;94.0;10.1;49.2;'''Aut vitae ex; Nisi inventore recusandae fugit Provident hic voluptate'''
jacqueline_watts_9851;91.0;59.1;12.2;'''(Sapiente veritatis) ; Commodi laudantium and Vel'''
dr_green_4430;35.0;;82.2;'''Omnis fugiat voluptatem; Animi veritatis aliquam unde Nesciunt necessitatibus'''
danielle_robinson_4509;27.0;42.1;4.2;'''(Assumenda delectus atque) ; Qui and Asperiores'''
elliot_moore_0779;85.0;100.1;44.2;'''Aliquid natus; Recusandae omnis Et necessitatibus illum modi asperiores beatae'''
luke_king_3854;37.0;8.1;76.2;'''Note: Neque officiis dolore perspiciatis; then Error'''
mr_williams_9933;11.0;88.1;14.2;'''Praesentium eius; Veritatis Quasi quasi placeat'''
christian_ward_4964;53.0;13.1;13.2;'''Ipsa; Tempora Laborum dignissimos mollitia dolore fuga'''
charlene_king_0571;52.0;64.1;19.2;'''Note: Laborum iste; then Quia commodi reiciendis necessitatibus necessitatibus placeat'''
shannon_baker_0969;46.0;94.1;72.2;'''Note: Impedit perspiciatis; then Fuga cumque laboriosam aspernatur deleniti'''
laura_warren_4277;58.0;29.1;74.2;'''(Debitis minus) ; Temporibus nesciunt and Molestiae'''
yvonne_forster_5127;9.0;68.1;46.2;'''Soluta neque sapiente; Ducimus architecto itaque similique eveniet Consequatur laboriosam quas fuga explicabo'''
miss_davies_0955;89.0;12.1;19.2;'''Note: Perferendis praesentium; then Est neque'''
dr_field_0657;85.0;92.1;59.2;'''Odit repellat; Unde possimus Ducimus cupiditate'''
mr_wood_9878;98.0;46.1;27.2;'''(Cum aliquid temporibus) ; Dignissimos and Quod omnis'''
gordon_clark_5630;51.0;60.1;28.2;'''Impedit quidem; Rerum deserunt incidunt dicta perferendis deleniti Placeat modi'''
