# This is a comment line to skip
username;rating;review
dr_davies_9881;34.0;"""Expedita nostrum ipsam; Hic labore tenetur non facilis ; Sunt"""
hannah_jones_2451;25.0;"""(Repellat modi earum) ; Officiis animi alias similique tempora veniam and Nihil quisquam"""
declan_king_4391;73.0;"""Note: Voluptatem pariatur; then Magni maxime"""
stanley_powell_8735;55.0;"""Note: Eveniet molestias quasi; then Blanditiis libero corrupti rerum"""
graham_butler_8440;13.0;"""(Eaque) ; Facere ipsa quae and Officiis incidunt"""
damien_yates_4824;40.0;"""Repudiandae minus et sunt; Repudiandae harum cupiditate Id explicabo incidunt tempora"""
christopher_pearce_6165;15.0;"""Occaecati eum modi; Suscipit officiis ipsa hic quaerat Error recusandae et dignissimos sit"""
patrick_watson_0981;23.0;"""Maiores; Officiis doloremque ; Totam aliquid iure consequatur soluta nobis"""
barry_harris_9546;12.0;"""(Architecto pariatur autem saepe) ; Quis illum and Dolor"""
mr_patel_0970;99.0;"""Praesentium molestias magni eos; Facere aliquam quod ; Quasi maxime"""
christian_finch_1077;30.0;"""Veritatis tenetur modi soluta voluptate: Iste id laborum deserunt; Repudiandae"""
georgina_preston_5608;46.0;"""(Magnam tempore culpa reiciendis corrupti) ; Illum and Sed nobis minus"""
miss_young_4844;51.0;"""(Accusamus) ; Fugit and A nisi officiis"""
maria_simpson_1307;84.0;"""Note: Nulla ducimus enim; then Nulla"""
jason_wright_4738;94.0;"""Note: Odio fuga et facilis; then Unde sit"""
dr_murray_8597;24.0;"""Note: Aliquid eum quo fugit; then Occaecati hic illum velit"""
stacey_dawson_5093;;"""Note: Molestias laborum; then Quae exercitationem debitis quasi"""
june_barker_8846;77.0;"""Itaque atque modi sapiente quam; Vel numquam facere alias Quibusdam"""
mrs_forster_1083;33.0;"""(Nam voluptatem eos) ; Aperiam molestiae and Nihil saepe officia"""
hollie_davies_3454;32.0;"""Note: Repellat architecto; then Id"""
nicholas_whitehead_7191;72.0;"""(Nisi sit) ; Incidunt and Non quod veniam sit omnis dolores"""
denise_mistry_4255;58.0;"""Debitis tempora ex amet magni quaerat; Placeat ; Eius rerum expedita harum dolorem"""
