username,age,rating,score,review,note
luke_shah_5064,20.0,10.1,15.2,"""(Dolorem consectetur maiores) , Exercitationem enim at laborum and Repellat itaque""","""Note: Iste maxime, then Voluptas vero"""
bethan_jackson_0894,95.0,19.1,3.2,"""Impedit dignissimos non provident; Explicabo facere eligendi , Inventore tenetur""","""Veritatis beatae ut: Facere incidunt sunt, Eius iste"""
william_porter_2548,,93.1,67.2,"""Note: Rerum saepe magni a laudantium soluta, then Autem beatae vero""","""(Eos expedita voluptatibus consequatur) , Necessitatibus sunt perferendis earum and Deleniti aliquid"""
aaron_cross_9803,25.0,9.1,43.2,"""Perferendis quidem minus, Fuga pariatur Ab repudiandae quam at rem animi""","""(Consectetur esse) , Minima adipisci repellendus voluptatum and Expedita voluptatum debitis"""
mr_begum_7754,26.0,98.1,90.2,"""Note: Quos aliquam, then Excepturi autem iste sint""","""Facere ipsa optio, Voluptas officiis officiis Dicta ex ea aliquid possimus"""
gerard_roberts_1794,100.0,89.1,17.2,"""(Voluptates dolores) , Eaque quisquam fugit nesciunt deserunt and Architecto natus""","""Voluptate corrupti deleniti: Assumenda, Labore"""
patrick_thompson_2110,69.0,77.1,71.2,"""Atque nulla, Laborum mollitia Earum dolorum neque doloremque""","""Note: Animi veritatis modi, then Eius nemo quis maiores a praesentium"""
shirley_morgan_8895,85.0,42.1,33.2,"""Aut incidunt repudiandae; Labore doloremque iste voluptatum , Dignissimos""","""Animi incidunt aut; Officia libero , Recusandae consequatur"""
simon_parry_3568,14.0,93.1,,"""Ab fuga vel quod tempora; Nemo tempore adipisci sed labore , Ab maxime""","""Illo minima possimus, Ad Perspiciatis molestias enim doloribus reiciendis"""
neil_jarvis_0429,2.0,98.1,67.2,"""(Omnis similique soluta ducimus) , Natus inventore and Itaque consectetur ipsam""","""Note: Ipsa explicabo pariatur accusamus odit, then Totam iusto iure aut"""
gillian_lewis_6093,63.0,71.1,38.2,"""(Fugit quas) , Tempora illo dolorem and Perferendis ab quidem""","""Quidem dolores voluptas dolore architecto sunt; Quasi omnis aliquam cumque sed praesentium , Sint corrupti placeat"""
glenn_weston_4178,26.0,88.1,3.2,"""Note: Cum harum, then Sed eum temporibus recusandae""","""Delectus cupiditate occaecati, Nihil ab modi Iusto"""
charlotte_brookes_3611,82.0,41.1,94.2,"""Quidem provident; Distinctio quas , Explicabo distinctio excepturi dolore""","""Ea vitae, Eveniet inventore Eius quisquam tenetur corporis"""
denise_murphy_3005,83.0,80.1,51.2,"""Quisquam enim sequi, Accusamus corporis soluta Sed nostrum excepturi dolore repudiandae iure""","""Dolore tempore quaerat incidunt, Ab voluptates modi ab Atque dolores inventore sequi ratione"""
linda_hobbs_4565,2.0,20.1,40.2,"""Dolorem labore sit, Rerum assumenda Voluptate quia""","""Note: Similique architecto exercitationem, then Odio"""
mr_allan_4308,96.0,81.1,78.2,"""Tenetur, Iusto iure Et quos maiores""","""Note: Dolores vel, then Nemo atque veritatis"""
laura_mcdonald_6116,50.0,42.1,57.2,"""Sed eveniet; Voluptatibus dicta , Eius architecto ut esse""","""Ipsum neque iure ipsam eos, Asperiores maxime dolorem consectetur maxime Molestiae aspernatur"""
ms_parry_2208,47.0,89.1,19.2,"""Eos cumque at: Ipsam nobis error accusamus, Repellendus suscipit""","""Accusantium ab; Illo inventore , Dolores voluptate fugiat optio"""
raymond_bowen_2513,91.0,93.1,96.2,"""Minima id officia, Quis reiciendis adipisci ab Assumenda cum corporis""","""Quae reprehenderit; Labore mollitia quod repellat , Minima"""
gemma_perry_6642,15.0,26.1,44.2,"""Note: Minus nisi quasi voluptatum, then Iure dolorem doloribus cupiditate inventore""","""Note: Soluta officiis optio quo nisi, then Eum deserunt"""
dr_anderson_6180,59.0,72.1,74.2,"""Veritatis iusto delectus, Libero dicta dicta sequi Dolorem vero cupiditate""","""Note: Laborum inventore, then At repellat"""
mr_jones_5415,40.0,84.1,73.2,"""(Consequatur) , Molestiae animi and Natus sequi quaerat tenetur itaque quia""","""Nam in illum: Non omnis voluptate dicta rerum, Dolores nihil eveniet"""
dr_woods_3198,3.0,25.1,77.2,"""Pariatur tempora: Ullam unde earum, Ex earum ducimus voluptates officiis""","""(Temporibus aspernatur aliquam quisquam) , Ducimus libero laudantium inventore veritatis and Est"""
daniel_sullivan_6584,51.0,97.1,73.2,"""Nisi vitae molestiae excepturi optio debitis, Modi Minima architecto fugit corrupti""","""Deleniti vel unde vitae itaque: Praesentium nobis ullam qui, Tempore ea"""
miss_lewis_1636,57.0,75.1,96.2,"""(Officiis distinctio nesciunt omnis voluptatum molestiae) , Aliquam illum nisi laboriosam minima et voluptas and Modi dolorum rerum""","""Impedit nisi nisi asperiores, Reprehenderit Veniam adipisci sunt exercitationem voluptatibus"""
charlie_nicholls_9381,19.0,42.1,100.2,"""Commodi atque nulla; Ab , Reiciendis porro""","""Officiis earum sequi aliquam doloremque, Deleniti Id tempora a voluptates magnam modi"""
dr_thompson_9603,9.0,77.1,36.2,"""Note: Non, then Magnam sit consectetur rerum""","""(Doloremque enim pariatur mollitia) , Eaque animi illum and Officia quod aliquam iure"""
colin_clarke_7948,68.0,50.1,63.2,"""(Nostrum nisi nam) , Eos non exercitationem quia and Facere aliquam ipsa""","""(Eligendi occaecati) , Illo aliquam itaque nihil ullam necessitatibus and Ipsam quam"""
emma_morrison_4569,42.0,,95.2,"""Rerum fuga eum; Ducimus dicta , Voluptate""","""Odio cupiditate ad quis harum: Saepe error nostrum, Quisquam non"""
jodie_nash_5063,75.0,92.1,46.2,"""Optio neque magni repellat: Modi corrupti, Accusantium laborum non est iusto""","""Note: Amet ullam quasi, then Sit at"""
miss_knight_2820,96.0,41.1,36.2,"""Qui eius, Id Molestiae quasi esse repellendus aperiam""","""Eaque nisi ducimus: Molestiae quia, At reiciendis deserunt consequuntur atque"""
dr_parker_5462,54.0,85.1,17.2,"""Autem vero inventore accusamus, Occaecati Dolor ut""","""Note: Quos rem nisi quae, then Vitae quas modi"""
adam_jones_3514,81.0,92.1,36.2,"""Note: Eos temporibus repellat placeat, then Officia ipsa aperiam odio occaecati""","""Quasi magni illo; Tempora et sit ab porro iste , Odit nobis"""
sandra_power_7933,36.0,49.1,36.2,"""Quasi; Delectus dolor , Id tenetur numquam voluptatibus adipisci in""","""Note: Exercitationem rem, then Veritatis"""
karl_buckley_9496,39.0,78.1,44.2,"""Note: Harum incidunt architecto, then Quia rem""","""(Fugit perferendis qui) , Dicta quod necessitatibus and Fugit"""
kirsty_middleton_9060,31.0,88.1,29.2,"""(Dolore laudantium) , Similique perspiciatis libero officia itaque and Accusamus minus ut""","""(At earum amet) , Modi maiores and Blanditiis laborum"""
kathryn_smith_4768,87.0,48.1,69.2,"""Molestiae eos corrupti, Minus aliquid Ducimus unde doloremque tempore""","""Quia, Quos dignissimos Explicabo eius voluptatibus placeat"""
dean_powell_8843,93.0,52.1,67.2,"""Incidunt similique quidem expedita consequuntur officia, Ad consectetur Unde""","""Note: Deleniti sint, then Recusandae"""
mr_evans_7050,94.0,1.1,78.2,"""Sequi: Nesciunt porro aperiam, Laboriosam amet""","""Assumenda reiciendis quasi perferendis; Enim tempore , Molestias odio iure numquam"""
miss_jackson_9118,44.0,3.1,41.2,"""Note: Id nesciunt sapiente architecto, then Nisi quibusdam""","""Enim voluptates: Numquam porro inventore quidem, Tempora"""
