username	score	total_count	description
sarah_brown_3032	72.0	36.1	'''Go along candidate three: Past available skin pass college	 Need gun sing across together'''
stephanie_mccoy_2419	77.0	76.1	'''Note: Ahead determine	 then Cultural room wind'''
brianna_freeman_8234	39.0	43.1	'''Note: Along kitchen deal	 then Court popular behind'''
jacob_morrison_9445	61.0	65.1	'''Last until	 Economic use Relate red'''
nicole_sims_9190	28.0	83.1	'''Statement half: Service	 Since tough pressure billion'''
christine_hall_7134	72.0	58.1	'''Wish floor several: Back scene send single	 Hand simple institution'''
joshua_sloan_9331	33.0	69.1	'''Simple; List amount voice 	 Seem character yourself there'''
courtney_rogers_6948	54.0	3.1	'''Set	 Wind Surface student'''
christopher_pope_2444	83.0	81.1	'''Central act determine	 Site Image hospital wrong officer'''
leah_wells_0669	8.0	32.1	'''Church improve almost quite; Machine 	 Attack return forward too magazine office'''
anita_patton_0074	4.0	86.1	'''(Nor executive) 	 Field agency and International skill inside'''
courtney_carey_1490	21.0	85.1	'''Wish painting language form week discuss	 Decision lot least Range candidate occur'''
laura_frey_6997	93.0	4.1	'''Buy upon program body military trial	 Recently force Low above step remain system team'''
david_brooks_6184	67.0	67.1	'''Agree skin	 North military Scientist laugh usually'''
sean_roberts_1852	47.0	34.1	'''For approach ever production	 Action main star everybody change production Watch with'''
allison_reid_6635	50.0	70.1	'''Kitchen candidate; First name suffer north 	 Rate build'''
alexis_lane_2474	13.0	65.1	'''Argue crime	 Where play little might Hand rather'''
karen_flores_1237	81.0	78.1	'''Stay real behind lose short effect	 Response item take represent Full organization'''
michele_booth_6688	73.0	71.1	'''(Begin TV) 	 Perhaps determine perhaps admit quality most and Oil form'''
joseph_pittman_1360	37.0	36.1	'''Note: Item across	 then Blood with catch same'''
amy_burke_1723	10.0	8.1	'''Feel weight ok grow knowledge anything; Sell employee 	 Task second local which'''
andrea_richard_8704	72.0	1.1	'''Prove speak model: Early clearly water	 Opportunity full may TV'''
cameron_williams_5209	6.0	4.1	'''(Fine I sense glass) 	 Dinner talk sound oil admit decade and Early wrong any again'''
connie_mitchell_2789	63.0	96.1	'''Shake star; Set forward his 	 Born amount include'''
nicholas_valenzuela_3236	5.0	67.1	'''Suffer worker	 Meeting Require think production without'''
albert_schwartz_4921		8.1	'''Hotel owner	 Miss middle reflect meeting short Customer situation take'''
kayla_gross_4893	41.0	77.1	'''(Far through phone realize particular) 	 Gun democratic animal and Drive chance clear'''
tiffany_salas_3650	22.0	28.1	'''Day pass	 Common side Should relate'''
megan_martinez_4689	68.0	56.1	'''(Our peace) 	 Evening national order and Several'''
marc_cox_7249	28.0	34.1	'''Painting drive exist without nearly; Safe support when economic bad quickly 	 Heart under so'''
tina_brown_4195	73.0		'''Note: Group per	 then Still recently pattern'''
