username	price	salary	review
kate_parkin_4175	32.0	63.1	'''Hic totam itaque: Enim tenetur	 Laudantium hic'''
miss_taylor_0730	46.0	58.1	'''Eaque quis: Eius	 Odit reiciendis nostrum'''
tina_hardy_9454	93.0	62.1	'''Eaque tenetur impedit praesentium alias	 Explicabo Neque facilis'''
dr_french_6869	83.0	36.1	'''Note: Modi	 then Eum quos labore'''
garry_andrews_6629	55.0	10.1	'''Commodi ex; Assumenda illo 	 Modi dolore nemo'''
miss_stone_8705	59.0	39.1	'''Molestias	 Cum quidem consectetur tenetur placeat Assumenda suscipit repudiandae'''
valerie_nelson_2074	16.0	65.1	'''Consectetur dignissimos neque; Aperiam sequi dicta 	 Doloribus quam modi'''
mr_watts_4818	25.0	60.1	'''Aperiam ducimus; Assumenda possimus molestias 	 Pariatur nihil'''
dr_phillips_1829	71.0	51.1	'''Recusandae aliquid	 Maxime sapiente eius harum Praesentium corrupti'''
margaret_shah_7825	17.0	11.1	'''Note: Atque dolore expedita	 then Nulla modi'''
gregory_rogers_6972	3.0	12.1	'''Molestiae fugiat vel	 Laborum sequi beatae laborum Natus voluptatum dolore'''
sian_west_2846	54.0	59.1	'''Culpa deleniti	 Odit dolores Reprehenderit inventore'''
mrs_jones_6334	61.0	82.1	'''Ab; Distinctio 	 Cumque sunt eaque'''
emma_savage_7863	84.0	12.1	'''Ipsa deleniti; Temporibus 	 Repellendus dolores alias'''
jenna_jones_5516	35.0	8.1	'''Repellat minima voluptatem porro	 Ea eligendi blanditiis error Ad veritatis'''
stephen_jones_1375	6.0	95.1	'''Quis reiciendis harum aperiam molestias; Repudiandae fugit 	 At'''
christopher_barnett_4752	23.0	53.1	'''Optio occaecati consequatur: Dicta libero velit tempore exercitationem	 Voluptate'''
dr_griffiths_5984	95.0	36.1	'''Facere quaerat ducimus corporis	 Aspernatur Repellendus consequuntur'''
ricky_collier_4017	75.0	67.1	'''Perspiciatis itaque soluta	 Beatae sed suscipit quod dolorem Libero quo consequuntur totam'''
mr_hunt_0010	31.0	1.1	'''Note: Perspiciatis laboriosam	 then Similique rem'''
leon_perry_3781	24.0	20.1	'''Note: Id	 then Ipsum voluptatibus omnis'''
mrs_dickinson_3835	89.0	100.1	'''(Reiciendis porro libero officiis) 	 Explicabo and Vero'''
jake_sharpe_0332	53.0	46.1	'''Optio eligendi	 A tempora Incidunt quam'''
dr_murphy_5030	53.0	77.1	'''Dignissimos; Accusantium dolores saepe 	 Laudantium qui vero placeat'''
james_cook_4151	85.0	10.1	'''Repudiandae aut	 Voluptate inventore repellat Quisquam explicabo eaque'''
francesca_kemp_5493	61.0	19.1	'''(Animi voluptatum) 	 Amet and Modi laudantium'''
catherine_wilson_4736	79.0		'''(Cupiditate laudantium) 	 Sed officiis eligendi doloremque ullam deserunt and Voluptates reiciendis eveniet iste'''
miss_lee_8407	47.0	64.1	'''(Corrupti sit) 	 Doloremque expedita architecto enim and Eveniet similique'''
miss_sharp_6806	99.0	46.1	'''Atque exercitationem laborum: Nisi alias iste	 Officiis'''
ashleigh_kaur_5633	23.0	92.1	'''Mollitia; Numquam sequi 	 Vitae commodi deserunt'''
mr_ellis_8762	15.0	86.1	'''Sunt voluptate asperiores ut soluta; Possimus quis nulla 	 Quidem ea provident ex'''
katherine_saunders_2004	30.0	15.1	'''Iure mollitia debitis: Aspernatur ullam saepe	 Ipsa sint ut soluta'''
graeme_booth_6654	71.0	39.1	'''Note: Sed repellat sapiente excepturi corrupti	 then Molestias earum voluptate temporibus'''
mrs_butler_7262	99.0	9.1	'''Officiis officia reiciendis: Libero delectus quisquam iste vel possimus	 Hic maiores iure ipsum'''
joseph_howard_4099	72.0	10.1	'''Note: Cupiditate voluptas eius minus porro quam	 then Illum ipsum labore enim'''
brenda_ryan_6381	96.0	45.1	'''Neque dolorem: Voluptate provident voluptates similique amet	 Laudantium eveniet iste'''
lewis_robinson_1256	96.0	74.1	'''Perferendis	 Porro laborum Nihil omnis nulla beatae'''
ms_smith_5855	83.0	85.1	'''Ut dolorem mollitia beatae sequi facilis	 Dolore tenetur Aperiam earum occaecati quam quaerat'''
gordon_bishop_8727	25.0	28.1	'''Note: Quasi architecto	 then Fuga sunt animi nostrum maxime ullam'''
kathryn_sykes_3013	14.0	11.1	'''(Incidunt sequi) 	 Laboriosam quidem harum beatae and Aliquid nostrum laboriosam veritatis'''
hugh_jackson_5236	18.0	22.1	'''Velit	 Vel Modi'''
marcus_sharpe_7608		53.1	'''Ratione explicabo; Sequi nesciunt 	 Tempore repellendus quo'''
mrs_vaughan_7622	81.0	83.1	'''Doloribus	 Harum odit quam magni dolorem Minima maxime nemo natus ipsam sed'''
catherine_summers_8876	17.0	7.1	'''Aut id architecto sed: Laboriosam perferendis	 Eligendi'''
dean_begum_6044	50.0	89.1	'''Note: Accusamus neque qui	 then Molestiae cumque ex'''
mr_mcdonald_5895	6.0	61.1	'''Quidem consequuntur vel illum cumque	 Corporis Deserunt voluptatibus'''
hayley_ellis_9368	64.0	49.1	'''Inventore: Voluptatum ducimus ipsa quis	 Velit aperiam rerum'''
