username,age,score,price,remark
alexandra_butler_7163,25.0,49.1,79.2,"""(Blood realize) , Play mean dinner foreign rule and Check"""
victoria_smith_9825,100.0,82.1,74.2,"""Tend four water, Tend describe woman could writer Time would security"""
jeffrey_maxwell_2793,94.0,48.1,82.2,"""Region section population point; Strategy former financial tend , Man its"""
jeffrey_baldwin_2881,40.0,7.1,45.2,"""(Unit) , Environmental cover hospital class rate class and See strategy president suffer"""
rachel_golden_5591,38.0,39.1,39.2,"""(Watch science draw) , Example wait name and Discover these"""
jody_armstrong_5329,92.0,73.1,1.2,"""Increase civil culture, Onto do whether Buy exactly maybe data"""
todd_mitchell_9953,81.0,27.1,51.2,"""Not note business boy; Plant would green , Scene analysis"""
tammy_smith_4139,77.0,85.1,12.2,"""Medical much point; Party natural , Second environmental"""
jacob_conway_4799,66.0,99.1,38.2,"""Note: Eye my, then Own affect against"""
hunter_smith_6575,82.0,16.1,16.2,"""Their, Source risk statement Help threat"""
traci_garner_7932,63.0,14.1,87.2,"""Note: Accept budget, then Be commercial"""
anthony_lynch_4393,59.0,94.1,24.2,"""Require responsibility, School over affect six Chair agency"""
catherine_white_1416,12.0,69.1,79.2,"""Whole color, Fear spring Sell send"""
james_hall_2370,49.0,45.1,88.2,"""(Finish) , Task win and So today"""
mr_lewis_3248,96.0,9.1,52.2,"""(Particular teach away) , Community of major and Consumer month his"""
sherri_hernandez_4440,5.0,40.1,43.2,"""Management improve father: Forward between unit, Later"""
lee_smith_9091,26.0,,45.2,"""Set; Thousand trip provide real television , Beat food trip"""
steven_garcia_9725,17.0,88.1,37.2,"""Note: Green practice pull on, then During rather reflect"""
jody_robinson_5124,41.0,93.1,,"""Out modern one, Seat everyone Majority door garden simple woman"""
martin_garza_6131,61.0,88.1,4.2,"""Note: Authority outside, then Food become explain guess member"""
robert_haynes_3062,2.0,61.1,19.2,"""Me ever day very hit, About various might phone World both all"""
jeremy_austin_3219,,36.1,76.2,"""Wall drop rule five team; Wife likely , Me beautiful"""
april_berry_5748,22.0,22.1,83.2,"""Note: Issue beat job today, then Book sense sing involve town"""
jennifer_alexander_4585,50.0,46.1,30.2,"""(Way us reveal) , Top room war my woman and Fire front"""
martha_martin_2622,74.0,28.1,63.2,"""Note: Against network relationship, then Several address opportunity health include purpose"""
amy_flores_5088,62.0,78.1,46.2,"""Note: Smile clearly hard safe, then Truth wall various since"""
stacey_ward_1444,98.0,7.1,6.2,"""Big control ground myself, Suffer administration audience Business prove daughter"""
