username	rating	age	note
diane_wilson_3137	33.0	58.1	"""Voluptas nihil id quisquam	 Ex Assumenda"""
vanessa_black_2774	69.0	7.1	"""Ullam reprehenderit	 Pariatur odit sequi animi Facilis asperiores amet placeat ea vero"""
anne_burrows_3010	59.0	3.1	"""Note: Quis suscipit vel	 then Laudantium illum officia vero"""
mr_crawford_1321	29.0	24.1	"""(Quidem labore) 	 Laudantium assumenda eligendi doloribus nostrum and Doloribus facilis veritatis eaque suscipit"""
megan_davies_7315	31.0	24.1	"""Aperiam culpa	 Veniam blanditiis Illum dolorum reiciendis"""
glenn_stewart_3572	93.0	26.1	"""Note: Impedit voluptatibus	 then Corrupti voluptatum ipsa tenetur nobis"""
dr_king_8547	41.0	54.1	"""Ullam expedita: Temporibus dicta earum	 A cumque qui"""
amy_ashton_2216	51.0	58.1	"""Suscipit dolores; Harum 	 Atque magnam dolore earum impedit"""
christian_walker_5661	89.0	13.1	"""Sint optio	 Cupiditate Exercitationem expedita ea fuga deserunt tenetur"""
brian_watts_6036	5.0	55.1	"""Dolores numquam eaque ducimus in; Maiores rem veniam 	 Doloribus doloremque"""
suzanne_collins_9432	12.0	77.1	"""(Architecto minus) 	 Illum and Ea"""
kyle_herbert_7560	15.0	50.1	"""Totam; Non fugit natus 	 Occaecati animi provident"""
sean_thompson_0801	50.0	87.1	"""Facere: Consectetur at ex quaerat dicta earum	 Accusamus quae quis facilis"""
iain_shepherd_4066	24.0	50.1	"""Error dolorum: Consequuntur tempora deserunt nam error	 Dolorem soluta maxime et"""
jennifer_bradshaw_7891	51.0	91.1	"""Doloribus cumque illum	 Accusamus provident cupiditate ipsa placeat Totam temporibus vitae minima tempora"""
jennifer_bond_9007		93.1	"""(Quasi animi) 	 Maxime officia and Quos doloremque possimus"""
dr_bibi_4200	20.0	16.1	"""(Accusantium enim corporis placeat) 	 Harum sed accusantium eius cumque dolores and Labore quibusdam similique"""
ian_parry_2936	35.0	19.1	"""Voluptas facere	 Tenetur Iure quod alias ea laboriosam"""
sheila_scott_4973	45.0	76.1	"""(Illum quidem) 	 Ea earum nihil recusandae and Veritatis totam maxime adipisci sed impedit"""
gary_watts_8400	16.0	100.1	"""Similique rerum deserunt; Illo vel architecto 	 Quae odio"""
mrs_miah_5567	30.0		"""(Et sit quam) 	 Itaque omnis doloribus and Aliquam iusto"""
brian_pollard_1009	85.0	21.1	"""Numquam fuga iste; Incidunt 	 Architecto numquam blanditiis facere molestiae aperiam"""
