# This is a comment line to skip
username	rating	price	age	summary	remark
lisa_casey_4478	37.0	4.1	62.2	"""Few always character; Score occur 	 Debate"""	"""(Turn surface read reach) 	 Step and Great pay traditional"""
kevin_kim_1936	85.0	23.1	23.2	"""Sort Democrat home organization all; Democrat 	 Prove hospital"""	"""Population activity suddenly product trade; Fast building sport design type 	 Guess thus"""
gina_hoffman_5963	78.0	70.1	77.2	"""Family; Moment give road understand control 	 Spring conference then"""	"""Note: With charge	 then Land way me himself"""
stephanie_bennett_2497	13.0	26.1	43.2	"""(Animal state life) 	 Respond college side of national and Call"""	"""(Research safe) 	 Peace sea and Difference explain"""
steven_vang_7976	58.0	11.1	59.2	"""Change wonder information; Represent kind weight life sign 	 Discussion common inside"""	"""(Whether growth) 	 Accept after and Peace indicate nature time"""
ronald_bowman_5107	75.0	28.1	4.2	"""It	 State structure dinner Almost everyone"""	"""Note: Mrs leader	 then Break tax exist for cell"""
darren_cook_9740	45.0	68.1	93.2	"""Note: And	 then Field pull contain"""	"""Rest: With near young	 Clearly choice order"""
andrew_yu_9521	77.0	4.1	92.2	"""Note: Security mean natural some take	 then Peace which"""	"""Note: Six deep	 then Word pass million"""
mr_harris_5366	16.0	19.1	48.2	"""East organization also: Mother I	 World data"""	"""Follow thing	 Author work young Investment phone law"""
christine_morales_4935	47.0	29.1	80.2	"""Note: Investment charge	 then Radio rise real Mrs before there any"""	"""(Between these outside) 	 Let and Mission perhaps"""
mary_johnson_1985	97.0	79.1	60.2	"""Note: Model pass take	 then Fine civil current represent push like"""	"""State nor place; Maintain space 	 Performance detail all positive"""
cassandra_hayes_7875	84.0	44.1	99.2	"""(Very interview report) 	 Moment and Official avoid those"""	"""How black style catch	 Friend note Significant"""
leonard_coleman_6657	53.0	45.1	61.2	"""If cause then	 Protect music Of they newspaper"""	"""Computer population; Set those card 	 Inside figure"""
brenda_black_1290	99.0	88.1	12.2	"""(Business stock) 	 Start offer in everyone minute weight and Loss heavy low play"""	"""Other compare poor	 Course writer over Military everybody"""
sydney_ochoa_1005	59.0	47.1	20.2	"""Meeting quite stuff: Line	 Nation respond executive front"""	"""Note: None sound forward pick front	 then Culture than"""
cassandra_brown_2775	4.0	60.1	38.2	"""Treat list; Provide as box 	 Part"""	"""Feel tell wife building: Share	 Agency subject institution real"""
john_chavez_7612	28.0	9.1	9.2	"""(Industry letter will nearly quality) 	 Argue and Important education say"""	"""Language according condition too: Campaign human role	 Fine treat market then"""
kristin_olson_2287	69.0	23.1	93.2	"""(Travel scientist staff skin at) 	 Few expert and That summer"""	"""Movie similar eye space green: Firm security foreign body	 Finally eat"""
