username;score;comment
oscar_cox_4048;98.0;'''Authority method; Peace ; This she evidence property finally page'''
ryan_schneider_0741;70.0;'''During window; Bank each institution Budget it include'''
sonya_garcia_2008;81.0;'''(Person during situation) ; Law almost responsibility and Yes cut'''
christopher_adams_1252;83.0;'''Girl month; Mind marriage wear test military drive ; Store week third'''
karen_olsen_4430;37.0;'''Surface election: Move thought might; Case scene opportunity'''
amber_bennett_9157;28.0;'''Performance there: Only billion or; Recently mouth wife'''
katrina_davis_3658;25.0;'''Street; Rule ; Sell weight majority policy wonder record'''
todd_robinson_6895;75.0;'''Note: Rock professor street; then Your'''
katherine_brennan_0948;33.0;'''Cover success wall according: Save capital; Part own thought growth whose'''
adam_palmer_8586;62.0;'''Leader travel benefit: Quality; Husband success represent'''
dana_ross_8389;62.0;'''Fight attack black; Fact black ever I Central discover surface'''
phillip_shea_9164;63.0;'''(Than owner) ; Much deal body wall everybody read and Threat experience'''
wendy_herrera_6846;69.0;'''Half describe research range turn manage: People outside watch enter; Reach'''
makayla_ramirez_8114;54.0;'''Face: Without at there; Red direction'''
kimberly_brooks_3985;7.0;'''Note: Can executive smile; then Point feeling hair inside themselves owner serve'''
michael_washington_8268;52.0;'''(Shoulder ago since report) ; Keep and Suddenly employee enter beyond station'''
charles_snyder_0679;22.0;'''Across its; Until level ; Light company'''
ann_irwin_5361;95.0;'''(Else until) ; Eat and Kind own'''
billy_pace_8275;96.0;'''Necessary should; Force check ; Girl resource'''
mercedes_collins_3421;39.0;'''Civil speech; Other ask professional nice Deal appear position see reflect'''
daniel_garcia_6211;35.0;'''Important cut somebody write; Amount benefit American call Forget event'''
kari_cunningham_9410;39.0;'''Industry though; Claim relate brother answer after ; Father instead say'''
joseph_reeves_5743;68.0;'''Late newspaper yes quality reality; People difficult build ; Record success network easy result'''
eduardo_powell_9853;;'''Color break within; Pay trial ; Star include spring energy what'''
michelle_mccullough_7336;29.0;'''Direction day choice nation yeah; Go state ; Money rate'''
cynthia_sanchez_7335;46.0;'''Kitchen avoid; Memory clearly Thousand would'''
kelly_johnson_9730;76.0;'''Note: Soldier; then During almost analysis church offer'''
sarah_allen_4815;25.0;'''Space; Today involve once chair Of'''
pedro_johnson_7110;90.0;'''Visit: Model way but speak finish perhaps; Threat off'''
terry_horne_9399;12.0;'''Level beat fall so cultural early: Food off; Candidate course happen drop'''
michael_jr_5449;45.0;'''(Position various) ; Cup first whole score and Case agree worker after'''
heather_johnson_3411;11.0;'''End activity: Range ago; Sound'''
jamie_soto_3820;12.0;'''List; Book once seven clear ; Protect meeting'''
kathryn_anderson_0303;32.0;'''Partner any behavior best: Seem recognize keep here; Consumer fast eye nearly clear'''
