username;total_count;note
abigail_gray_4173;45.0;'''Recusandae vel: Sapiente facilis; Aliquam sunt'''
william_walker_1129;6.0;'''Ea consectetur beatae; Modi earum repudiandae Minima'''
graeme_lee_5388;43.0;'''Repellendus; Eligendi ; Quas vero repellat'''
bradley_akhtar_9850;15.0;'''Cupiditate magnam in: Temporibus deleniti saepe; Laudantium dolore ad'''
kathryn_griffiths_4400;91.0;'''Ipsam mollitia alias illum beatae eaque: Asperiores; Ab aspernatur consectetur nesciunt non reprehenderit'''
christopher_barnes_6752;77.0;'''Aliquam dolore: Soluta at tempora nesciunt; Praesentium in a'''
ellie_little_0490;;'''(Voluptatum) ; Excepturi accusantium fugit and Tenetur'''
mr_robinson_6253;92.0;'''Dolorum; Dicta voluptates minus voluptas ; Aut quo'''
tina_oliver_3454;78.0;'''Note: Quisquam; then Illum repellat'''
dr_kelly_7810;7.0;'''Minima itaque; Saepe tempore ullam qui Neque'''
joan_morton_2471;44.0;'''Aut corrupti modi quos id: Corrupti aspernatur libero; Ab corrupti'''
molly_godfrey_8817;98.0;'''Quos; Vitae fugit itaque ; Quisquam perferendis laudantium doloribus'''
joan_stone_3494;85.0;'''(Tenetur) ; Molestiae inventore and Consequatur dolor dolores'''
dr_hunt_0667;99.0;'''Note: Quisquam impedit; then Recusandae sit'''
matthew_cross_4034;48.0;'''Tempore doloremque at dicta in; Ipsam hic provident ; Vitae omnis sint magni eum itaque'''
mrs_davies_5005;84.0;'''Voluptates mollitia culpa omnis tempore adipisci; Nostrum reprehenderit quisquam sed ; Veniam'''
frances_burgess_5655;62.0;'''Note: Possimus doloribus adipisci necessitatibus molestias; then Facere'''
jamie_patel_9435;68.0;'''Suscipit veritatis blanditiis illo velit: Quasi consequuntur velit; Est quos'''
diane_kemp_3198;98.0;'''Maxime; Reprehenderit quibusdam Libero eveniet'''
ms_shaw_1212;90.0;'''Suscipit aspernatur sit nam hic harum; Totam aliquam ; Voluptate nisi'''
ms_norton_0451;22.0;'''(Ducimus placeat quis ad) ; Doloribus incidunt cum officiis sint and Facilis asperiores praesentium placeat illum magnam'''
ms_adams_3558;65.0;'''Dolorum ad autem molestias; Quidem dolorem animi ducimus deserunt inventore ; Fugit necessitatibus maiores'''
mrs_richardson_5451;16.0;'''Note: Officia illum; then Laboriosam ut'''
leonard_ahmed_2679;49.0;'''Note: Incidunt hic eos; then Exercitationem doloribus saepe'''
lorraine_goddard_4364;96.0;'''Note: Porro; then Architecto culpa aperiam distinctio'''
luke_gray_7611;8.0;'''Odio: Ducimus natus; Ex odio amet dolor commodi'''
kayleigh_turner_1128;13.0;'''(Adipisci nostrum magnam impedit) ; Suscipit fugiat voluptates and Id sunt ratione illum voluptas nulla'''
dr_hall_2876;16.0;'''Aliquam; Dolores ipsa hic praesentium Similique omnis'''
claire_crawford_1785;35.0;'''(Tenetur voluptatem eligendi) ; Sequi nostrum necessitatibus and Quae id repudiandae ad laudantium'''
amanda_collier_1550;5.0;'''(Modi aut ducimus quis) ; Consequatur sunt and Nesciunt'''
sophie_rees_1971;64.0;'''(Ut maiores) ; Deleniti vero perspiciatis fuga and Placeat dolorem dolorum corrupti eligendi'''
rachel_sutton_7994;59.0;'''(Nobis cumque consectetur) ; Sunt quidem aliquam and Illo dolores aliquam provident'''
ms_vincent_6881;97.0;'''(Ullam dolores corporis neque) ; Nihil eum cumque ex and Mollitia voluptate'''
ross_vaughan_2752;45.0;'''(Voluptas) ; Aliquam enim perferendis and Distinctio alias porro'''
connor_simpson_5950;42.0;'''(Quasi) ; Similique and Quae'''
lorraine_price_3964;40.0;'''Note: Dolorum ex quia quibusdam dolores; then Molestias ipsum'''
raymond_williams_7495;46.0;'''Iure ut; Fugit mollitia iure ipsum Excepturi molestiae'''
edward_ahmed_7122;91.0;'''Quis: Porro asperiores unde; Nesciunt nostrum'''
ms_cooper_6163;46.0;'''(A vel possimus) ; Sit occaecati voluptates ipsa quo voluptate and Voluptate illo'''
