username;rating;price;salary;remark;message
gail_taylor_1317;89.0;57.1;64.2;"""Note: Doloremque aut aliquam; then Earum aperiam""";"""Note: Placeat tempora eum minima; then Esse magnam aspernatur at"""
suzanne_little_2109;26.0;88.1;46.2;"""Note: Iure non; then Corporis deleniti atque quia magnam""";"""(Autem nulla dicta) ; Laudantium dolorum cumque and Temporibus ipsam"""
barbara_west_0104;39.0;24.1;83.2;"""Note: Ab cum aspernatur; then Adipisci quas recusandae""";"""Doloribus possimus eius; Praesentium a maxime enim ; Nobis"""
stacey_rice_5345;60.0;31.1;67.2;"""Commodi explicabo: Itaque excepturi illum autem fuga; Tempora veniam quas""";"""Fugiat: Quis; Perspiciatis id saepe quia quisquam rem"""
alan_davies_5108;92.0;98.1;24.2;"""Note: Corrupti explicabo; then Possimus vitae aut ratione""";"""Reprehenderit dicta consectetur; Deserunt ; Itaque nesciunt"""
danielle_smith_2559;93.0;35.1;2.2;"""(Dolorem iure) ; Corporis aspernatur nesciunt iusto optio saepe and Inventore voluptatum repudiandae unde""";"""Dignissimos quam necessitatibus; Nemo ; Sequi sequi nihil perspiciatis accusamus autem"""
marcus_mclean_7710;8.0;53.1;92.2;"""Itaque maiores; Provident voluptatum voluptate Voluptatum quam""";"""Quibusdam omnis voluptates ad vitae; Facere ; Harum odit totam quae"""
terence_whitehead_7103;89.0;45.1;14.2;"""Vel: Doloribus quas consequuntur vitae occaecati; Culpa corporis velit""";"""Placeat itaque nulla: Veniam velit est fugiat; Blanditiis"""
bruce_jones_0631;42.0;11.1;78.2;"""Repellendus doloremque adipisci ab quo voluptas; Numquam ; Commodi optio vero""";"""Expedita: Quo dolores odit voluptatum a; Esse mollitia officiis perferendis"""
stanley_powell_7731;8.0;98.1;94.2;"""Aliquid quae rem velit: Voluptatem rem; Facilis""";"""Ducimus iste omnis explicabo; Voluptates sed quia ; Reiciendis error"""
denise_patel_4845;99.0;47.1;82.2;"""(Est magni neque in) ; Minima ratione and Repudiandae ut sapiente""";"""Consequuntur itaque iste autem corporis; Facilis assumenda animi ex maiores Ad mollitia maxime"""
billy_kelly_1319;72.0;27.1;13.2;"""(Totam iste qui) ; Perferendis architecto and Corrupti doloremque""";"""Note: Animi quae dicta nobis; then Eligendi modi"""
albert_wood_7966;19.0;87.1;33.2;"""Enim aperiam; Ducimus dolor vel ; Sapiente blanditiis saepe unde""";"""Nihil nihil: Numquam laborum dolore consequuntur quidem; Maxime possimus"""
wayne_andrews_6810;60.0;27.1;68.2;"""(Quos occaecati quod sunt cumque) ; Commodi perferendis nisi cumque and Alias quam error""";"""(Enim nam ullam error in) ; Laborum sunt and Ipsam ab natus est magni"""
dr_bull_8373;69.0;37.1;48.2;"""Cum nisi voluptate deserunt: Molestias atque; Ipsam minima nesciunt""";"""Note: Est; then Laborum quae praesentium accusamus"""
martin_jones_6386;40.0;70.1;25.2;"""(Fugiat ab eum eveniet) ; Unde alias repellat officia and Officiis""";"""(Ipsam similique maiores quisquam) ; Dicta and Cum illum quam veritatis ex"""
tony_mckenzie_7064;32.0;69.1;70.2;"""Nemo; Officiis dignissimos Animi earum consectetur""";"""Neque quam non; Veniam itaque Assumenda"""
gareth_harris_1901;45.0;51.1;;"""Eius blanditiis aperiam; Odit Temporibus nostrum exercitationem nisi""";"""Note: Harum distinctio; then Tempora ipsum eveniet"""
eleanor_green_8634;14.0;95.1;51.2;"""Voluptates soluta saepe provident hic; Nesciunt architecto consequuntur esse Doloremque rerum ipsa""";"""Est blanditiis; Dignissimos veritatis Iure ullam expedita"""
robert_russell_2307;93.0;;67.2;"""Eaque in; Culpa cupiditate ; Rerum officia in molestiae magnam libero""";"""(Doloremque) ; Magni odio fuga dolore and Incidunt eligendi"""
dr_thompson_4395;;42.1;73.2;"""Saepe eveniet; Mollitia Dolorem tempora sunt""";"""Facere est reiciendis alias: Odio repellat; Vitae explicabo commodi repudiandae"""
mr_hill_1767;25.0;2.1;19.2;"""(Harum sint eum minus) ; Quaerat sequi and Dolorum quas fugit reprehenderit perspiciatis""";"""(Molestias nostrum) ; Vel perferendis corporis and Possimus aperiam mollitia delectus"""
mr_warner_0076;88.0;54.1;55.2;"""Corporis consectetur iusto assumenda quae natus; Distinctio Consectetur""";"""Note: Exercitationem reprehenderit; then Beatae"""
jemma_kaur_3762;13.0;95.1;81.2;"""Dolorem necessitatibus explicabo; Consequuntur rem ; Excepturi quis aut""";"""Dolor totam: Officia cum provident; Aspernatur eligendi"""
