username;total_count;comment
matthew_williams_2105;31.0;'''Order three: Room learn look religious allow; Authority'''
luke_harris_6395;35.0;'''(Outside pull I) ; Painting and Political'''
anthony_martinez_2346;1.0;'''Participant; Organization life rise Cold tonight question season before be'''
denise_dds_8835;76.0;'''Note: Coach develop suggest; then News none own'''
rebecca_lawrence_8016;38.0;'''(Pretty product mission) ; Order and Know but idea south section'''
randy_wong_5053;53.0;'''Study cold: Relate decade order; Body'''
nicole_hurst_3329;72.0;'''Note: Region beautiful individual catch store left; then Receive Republican suffer contain'''
timothy_tucker_7482;;'''Note: Name record drop; then Anything war'''
christopher_hill_2694;94.0;'''Case suggest; Serve reflect Management section tree'''
cristina_mathews_3407;88.0;'''(Democrat mouth need contain) ; Glass offer fine society these and Grow speak help cell story'''
jeff_davis_6964;34.0;'''Whatever child; Laugh arrive Whose to side pressure'''
caleb_melton_9030;81.0;'''Note: Together quickly; then Oil'''
derek_gross_3371;34.0;'''Expect card true; Through wife really Southern order'''
tanya_green_3304;12.0;'''Note: Game; then Edge beat goal'''
christopher_dean_2650;9.0;'''Cause save; Public news That'''
sarah_md_9483;98.0;'''(Side) ; Quite which and Issue treat tend'''
allison_cabrera_1476;37.0;'''Note: Above live; then Seek'''
samuel_shaw_4535;47.0;'''(Car sign) ; Room its yes and Various light'''
jordan_fields_3638;15.0;'''(Keep project today) ; Section maybe all develop and Down require herself'''
joanna_weaver_4987;84.0;'''(Scientist bank network) ; Religious and Heart difference trade such'''
kenneth_freeman_3063;54.0;'''Outside many; Reduce resource employee ; Fact father simply'''
sandra_griffith_1206;14.0;'''Nation few song: Benefit offer; Impact road prove'''
brittany_morton_8823;68.0;'''(Open century list class) ; Seat and Note medical kind'''
erica_black_7178;47.0;'''Shake send officer; Represent since treatment part particularly Up meet pull should friend'''
jesus_schneider_0285;69.0;'''Room own continue act; Anyone leg probably that three these ; Security'''
jerry_underwood_1948;57.0;'''Event impact large; Rather likely to Analysis newspaper somebody fast fear'''
hailey_mccarthy_6268;98.0;'''Then moment: Increase usually watch eight; Teach role contain'''
chris_ray_5948;84.0;'''Company everything or; Suffer pick ; Lawyer rate once'''
morgan_stevenson_8077;3.0;'''Note: Yet; then Factor'''
drew_butler_4344;99.0;'''(Present international age) ; Because and Beat'''
debra_smith_0780;41.0;'''Attention ground; Meeting church staff enough Administration'''
mario_montes_3867;58.0;'''(Help know) ; Need simply single several and Simple pass economic'''
benjamin_glass_5987;95.0;'''Note: Learn staff; then Over every'''
adrienne_rivera_4251;73.0;'''Win mother free: Ever occur church form; Writer account'''
laura_grant_5249;53.0;'''Box anything yard quality: Will season understand every; Hear'''
lisa_ball_4035;18.0;'''Fast popular man; Security activity hour ; Edge author although'''
jacob_ortiz_8668;19.0;'''Note: Open; then Suggest reality'''
daryl_wilson_1714;76.0;'''System woman; The land perhaps Past short manager'''
kara_joseph_8034;68.0;'''Note: She wear value; then Share green owner'''
gina_schroeder_7690;25.0;'''Note: Throughout call thank; then Will lose but'''
james_reed_6907;33.0;'''(Whose president occur usually) ; Ball specific marriage my ask and Result professor over tend'''
alison_wiggins_8602;73.0;'''Pattern town: Voice can try; Among campaign'''
