username,rating,age,salary,comment
diana_price_5920,35.0,49.1,22.2,"""(Error suscipit) , Mollitia quae molestiae and Id soluta"""
mr_james_6054,18.0,40.1,10.2,"""Commodi repudiandae laudantium: Temporibus vel dolorem necessitatibus ab ab, Repellendus voluptatum exercitationem"""
leon_stanley_5072,39.0,51.1,15.2,"""Incidunt labore cum delectus aliquid cum; Inventore harum eos sint , Repellendus repellendus ab"""
bethany_newman_3392,31.0,75.1,27.2,"""Note: Consequatur explicabo iure accusamus dignissimos delectus, then Nobis quod"""
mr_simpson_1881,27.0,11.1,35.2,"""Porro numquam in: Recusandae nulla deserunt, Facilis ullam natus"""
dr_mahmood_9987,90.0,80.1,60.2,"""Placeat repudiandae, Velit maxime Ab accusantium est voluptatem ipsum"""
alexander_henry_3126,62.0,89.1,26.2,"""Esse: Quo voluptatibus tempore, Autem"""
damien_clarke_0912,12.0,88.1,32.2,"""Nam eius voluptatum fugit; Maxime consequatur adipisci , Qui itaque"""
tracey_johnson_6370,3.0,2.1,69.2,"""Facilis in deserunt ipsa, Saepe repellendus aspernatur doloribus Voluptatibus laudantium ducimus atque"""
bernard_hill_4139,69.0,64.1,62.2,"""Doloribus voluptas dolor nam: Quos deleniti doloremque, Fugit voluptatum"""
mrs_moore_6651,35.0,3.1,39.2,"""Dignissimos maiores deserunt: Sed aliquam beatae quaerat vero, Voluptatum in rerum"""
dr_bird_0450,12.0,81.1,33.2,"""Note: Aperiam, then Error mollitia ab"""
jonathan_jordan_1882,80.0,33.1,30.2,"""In nihil repellat neque, Quisquam incidunt tempore Error molestias ratione beatae"""
lewis_cartwright_9321,50.0,21.1,20.2,"""Note: Minus hic, then Repudiandae labore"""
jayne_morrison_7559,16.0,100.1,78.2,"""Ipsum nulla accusamus; Mollitia labore , Fugiat repellendus veritatis reiciendis itaque"""
cheryl_pearce_3798,,48.1,99.2,"""Sint eius; Nulla non blanditiis ipsa ratione , Maiores minus"""
andrew_stewart_8261,86.0,99.1,57.2,"""Ipsa commodi, Error itaque dignissimos enim recusandae Enim temporibus"""
abbie_slater_3106,92.0,83.1,,"""Maxime dolorum, Repellendus Aut quaerat ipsam"""
kerry_stevenson_7997,68.0,10.1,28.2,"""(Temporibus qui quidem sapiente) , Alias ad molestias excepturi and Pariatur fugit culpa eos"""
miss_coleman_4769,78.0,2.1,23.2,"""Ex aliquam, Unde possimus Sint ut consequatur"""
ryan_powell_1383,71.0,94.1,56.2,"""Aspernatur eligendi nostrum omnis blanditiis, Pariatur inventore odit eius beatae laudantium Nihil soluta"""
ms_higgins_5669,62.0,,42.2,"""(Recusandae sit) , Debitis cum alias minima and Quod ipsam aspernatur mollitia corporis"""
charlotte_saunders_6644,94.0,34.1,40.2,"""Accusantium necessitatibus ipsam accusantium cum, Iste ipsum distinctio Excepturi laboriosam repudiandae vero id laborum"""
lindsey_evans_6578,72.0,84.1,56.2,"""Note: Vero blanditiis at, then Voluptate commodi possimus"""
rita_parry_4481,4.0,74.1,6.2,"""(Distinctio blanditiis beatae) , Sint quos atque and Impedit commodi ullam possimus neque"""
dawn_harvey_2418,64.0,81.1,56.2,"""Cumque neque vel facere: Unde deserunt ad, Dolorem ea quam tempore"""
kyle_davies_5562,34.0,36.1,1.2,"""Illum eius voluptas: Debitis reprehenderit praesentium doloremque, Hic quod"""
mr_wells_5528,62.0,78.1,6.2,"""Note: Earum accusantium, then Iste"""
philip_parry_1826,7.0,57.1,42.2,"""(Quis explicabo) , Perferendis vel accusamus soluta and Placeat"""
barbara_herbert_9774,81.0,20.1,81.2,"""(Aliquam qui) , Corrupti perferendis possimus reiciendis et nobis and Iusto illo omnis"""
carly_lee_1004,78.0,31.1,94.2,"""Note: Dolorum amet eaque natus, then Quis"""
katie_nolan_5782,98.0,33.1,14.2,"""(Expedita) , Rerum est neque commodi nihil and Porro esse at sit"""
mandy_moore_1564,44.0,98.1,62.2,"""Esse iusto reiciendis: Recusandae, Vero similique molestiae exercitationem reiciendis"""
