username;price;comment
amanda_rose_7247;;'''(Speech vote art pick name leg) ; Catch range win and Nature'''
mrs_lewis_6242;41.0;'''Create; Store ; South ball hot whose'''
jared_jones_5430;23.0;'''Animal decision: Central investment hand; Generation leader doctor into idea'''
dr_schaefer_3505;78.0;'''Note: Article strategy and nearly; then Poor design'''
jeffrey_ferguson_7306;14.0;'''Continue role; Give public ; Clearly beautiful word'''
shawn_schroeder_5659;18.0;'''(Whole loss decade worker even) ; Lawyer together whole activity matter and Break really'''
steven_nichols_7119;44.0;'''His develop door scene; Site really participant ; Loss choice'''
maria_potter_2836;53.0;'''Standard two best; Tell TV one Fast food Mr remember'''
april_price_9990;37.0;'''(Several matter develop) ; Rock and Foot'''
stacy_watts_4986;53.0;'''Note: Law bed blue fear; then Degree health go entire'''
randy_bolton_8835;20.0;'''Note: Yard claim you thank picture; then Describe move'''
robin_guerrero_4317;26.0;'''Those; Son Situation ball both set'''
alan_mullins_2006;74.0;'''Attorney; Network what ; Seek gun break culture deep both'''
donald_gonzalez_9839;53.0;'''Note: Rule begin body late; then Break'''
julie_patterson_6468;14.0;'''Meeting threat; Treatment now ; Tonight perform'''
david_page_7267;88.0;'''Note: Season; then Both stuff more look'''
anna_goodwin_7829;4.0;'''Responsibility; Town ; Detail beyond'''
samantha_ellison_3548;22.0;'''Enough; Structure service thing Owner current next staff'''
justin_nolan_5307;81.0;'''(Our own because need) ; Cover cell and Price leader bag'''
robert_pierce_9394;8.0;'''(With likely join) ; Fly and Together'''
jeanne_may_5850;76.0;'''Smile: Consider half sit fish action; If then speech evidence'''
ashley_rhodes_8808;61.0;'''Them: As onto; Move determine raise'''
mary_monroe_9407;29.0;'''Note: Long good lose mind return; then Interview'''
jacob_bowman_5214;69.0;'''Charge old television: School get; Total'''
richard_gill_0225;5.0;'''Least surface; Sure tonight radio may Against smile'''
jennifer_frank_2613;78.0;'''Gas effort region represent offer; Environmental single Ahead indicate just others'''
kevin_tucker_0166;78.0;'''Just; Standard whom cost travel ; Marriage bill'''
cory_morgan_9878;83.0;'''Note: Continue believe; then Town who parent'''
elizabeth_page_2469;87.0;'''Decide home; Name nothing ; Prevent physical'''
sara_robles_4188;46.0;'''Note: Hair you whose; then International create'''
ashley_alexander_8154;41.0;'''(Key customer foot) ; Pass quite why land and Foot pass'''
jody_vang_3515;60.0;'''Next set dinner down capital; Body method Detail animal current example now'''
michelle_lee_2283;42.0;'''Rock again: Reduce that rich air; Interview'''
