username;rating;score;summary
damian_kelly_2298;67.0;20.1;'''Note: Dolorem commodi unde; then Ratione quas'''
bernard_bishop_4101;67.0;53.1;'''Fugit praesentium omnis ullam: Ex nihil iste; Laboriosam debitis maiores facilis reiciendis'''
cameron_reynolds_9140;56.0;93.1;'''Ea non: Placeat minima; Repellendus officia'''
david_saunders_5788;74.0;32.1;'''Note: Vel non laboriosam; then Recusandae enim enim laudantium sapiente'''
natasha_pope_3394;57.0;26.1;'''Deserunt aspernatur eos: Harum; Asperiores'''
dr_brown_5077;43.0;;'''Consequuntur consequatur; Eos vero perspiciatis ; Minima rem'''
mr_boyle_4843;96.0;97.1;'''Neque cumque deserunt quasi eum; At ; Sed'''
abigail_lynch_3355;39.0;97.1;'''Omnis officia dolore fugiat; Voluptatem ; Et culpa perspiciatis'''
joe_harding_7987;69.0;19.1;'''Delectus corporis: Ipsum est laboriosam; Quos facere accusantium'''
dominic_robinson_7948;6.0;35.1;'''Eaque soluta quibusdam; Reprehenderit accusantium dolores dolor magni labore Dignissimos et corporis maxime cum'''
lynn_dean_3954;8.0;73.1;'''Note: Error ratione; then Voluptates odio iste cupiditate'''
dr_blake_6384;47.0;70.1;'''Repellendus; Eos odit sapiente est aspernatur ; Quaerat nostrum tempora'''
iain_smith_0803;;66.1;'''Note: Fugit doloribus; then Deserunt expedita'''
dr_herbert_9965;54.0;60.1;'''Assumenda: Iusto molestiae fuga; Optio nostrum voluptatum'''
patrick_morgan_2172;90.0;34.1;'''Error quis magni; Dolorum iusto harum ; Iusto sapiente'''
patricia_davey_6601;56.0;57.1;'''Minus dolores: Ad suscipit pariatur iure exercitationem; Aliquid ab ipsum impedit'''
francis_clark_5566;90.0;24.1;'''Dignissimos nam ex tenetur; Repellat iste possimus ; Quae blanditiis sapiente'''
kevin_nicholson_7417;28.0;63.1;'''Temporibus ratione; Numquam alias nesciunt Sapiente error sed illum animi'''
mr_mills_1542;85.0;71.1;'''Illo recusandae; Cum saepe ipsum accusantium in sequi Illum nisi'''
jenna_pope_0207;3.0;81.1;'''Note: Mollitia labore hic; then Adipisci fugiat labore suscipit eveniet voluptatum culpa'''
dr_wallace_4033;81.0;6.1;'''(Hic nobis) ; Repellat sit aliquid dolorem and Totam maiores saepe deleniti'''
caroline_curtis_8291;99.0;33.1;'''Note: Exercitationem repudiandae quidem nesciunt; then Occaecati nostrum amet explicabo repudiandae'''
alan_henderson_3176;1.0;51.1;'''Voluptatum adipisci praesentium: Alias fugiat; Laborum hic corrupti dolores temporibus'''
mary_king_9095;12.0;58.1;'''(Exercitationem) ; Illum quis and Nemo temporibus doloremque'''
kayleigh_thomas_6508;37.0;28.1;'''Voluptatibus: A; Cum'''
peter_barker_5780;55.0;19.1;'''Cumque dolorem: Nam quod; Repudiandae non nisi'''
